doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fr_1,279,297,Ernest la Jeunesse,Q3732124,PER,Q3732124,Ernest La Jeunesse,"```json {""wikipedia_page"":""Ernest La Jeunesse"", ""wikidata_id"":""Q3732124""} ```",26.120695114135742
hidden_test_fr_1,898,910,café Mollard,NIL,LOC,NIL,café Mollard,No.,0
hidden_test_fr_2,21,29,Nieuport,Q1231877,ORG,Q849923,Nieuport 17,"```json {""wikipedia_page"":""Nieuport 17"", ""wikidata_id"":""Q849923""} ```",18.974355697631836
hidden_test_fr_2,52,82,escadrille de chasse numéro103,NIL,ORG,Q17074798,Escadrille 3,"```json {""wikipedia_page"":""Escadrille 3"", ""wikidata_id"":""Q17074798""} ```",29.840974807739258
hidden_test_fr_2,192,211,sergent AndreSteuer,NIL,PER,NIL,sergent AndreSteuer,No.,0
hidden_test_fr_2,228,252,sergent François Ro¬mans,NIL,PER,NIL,sergent François Ro¬mans,no,0
hidden_test_fr_2,317,326,Rau¬court,Q227538,LOC,Q227538,Raucourt,"```json {""wikipedia_page"":""Raucourt"", ""wikidata_id"":""Q227538""} ```",22.470849990844727
hidden_test_fr_2,379,405,bois de Saint-Pierre¬Vaast,Q49327089,LOC,NIL,bois de Saint-Pierre¬Vaast,No,0
hidden_test_fr_2,600,611,RHOM SUAMES,Q3030726,ORG,NIL,RHOM SUAMES,no.,0
hidden_test_fr_2,637,645,Antilles,Q166131,LOC,Q166131,Antilles,"```json {""wikipedia_page"": ""Antilles"", ""wikidata_id"": ""Q166131""} ```",18.875835418701172
hidden_test_fr_2,693,701,st-James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json {""wikipedia_page"": ""distillerie Saint-James"", ""wikidata_id"": ""Q3030726""} ```",13.775276184082031
hidden_test_fr_2,1010,1018,St James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json {""wikipedia_page"":""distillerie Saint-James"", ""wikidata_id"":""Q3030726""} ```",18.15184211730957
hidden_test_fr_2,1121,1129,St James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json {""wikipedia_page"":""distillerie Saint-James"", ""wikidata_id"":""Q3030726""} ```",16.474056243896484
hidden_test_fr_2,1169,1177,St James,Q3030726,ORG,NIL,St James,no.,0
hidden_test_fr_2,1208,1214,Europe,Q46,LOC,Q46,Europe,"```json {""wikipedia_page"":""Europe"", ""wikidata_id"":""Q46""} ```",26.074602127075195
hidden_test_fr_2,1396,1434,"Mme EmilienHannoque, née Denise Vaquez",NIL,PER,NIL,"Mme EmilienHannoque, née Denise Vaquez",no,0
hidden_test_fr_2,1445,1505,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »",NIL,PER,NIL,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »",no,0
hidden_test_fr_2,1523,1552,"M. Ernest Criquet,naturaliste",NIL,PER,Q18805,naturaliste,"```json {""wikipedia_page"":"""", ""wikidata_id"":""Q18805""} ```",11.582154273986816
hidden_test_fr_2,1563,1580,professeur Vaquez,NIL,PER,NIL,professeur Vaquez,No,0
hidden_test_fr_2,1616,1637,église de L'Isle¬Adam,Q3582807,ORG,Q3582807,église Saint-Martin de L'Isle-Adam,"```json {""wikipedia_page"": ""église Saint-Martin de L'Isle-Adam"", ""wikidata_id"": ""Q3582807""} ```",25.9290771484375
hidden_test_fr_2,1707,1713,Mériel,Q1457512,LOC,Q1457512,Mériel,"```json {""wikipedia_page"":""Mériel"", ""wikidata_id"":""Q1457512""} ```",24.35757064819336
hidden_test_fr_2,1849,1868,M. Gaston Doumergue,Q296064,PER,Q296064,Gaston Doumergue,"```json {""wikipedia_page"":""Gaston Doumergue"", ""wikidata_id"":""Q296064""} ```",28.670949935913086
hidden_test_fr_2,1881,1896,Palais-Bour¬bon,Q936633,LOC,Q936633,palais Bourbon,"```json {""wikipedia_page"":""palais Bourbon"", ""wikidata_id"":""Q936633""} ```",26.431869506835938
hidden_test_fr_2,1928,1946,Chambredes députés,Q320283,ORG,Q58910280,Chambre des députés,"```json {""wikipedia_page"": ""Chambre des députés"", ""wikidata_id"": ""Q58910280""} ```",25.772619247436523
hidden_test_fr_2,2019,2026,Conseil,Q2993836,ORG,NIL,Conseil,no,0
hidden_test_fr_2,2049,2082,"M. Steeg, gouverneur de l'Algérie",Q717905,PER,Q717905,Théodore Steeg,"```json {""wikipedia_page"":""Théodore Steeg"", ""wikidata_id"":""Q717905""} ```",16.306955337524414
hidden_test_fr_2,2086,2149,"M. Rault, président de la commission dugouvernement de la Sarre",NIL,PER,NIL,"M. Rault, président de la commission dugouvernement de la Sarre",No.,0
hidden_test_fr_2,2157,2171,Halle aux Vins,Q3126085,LOC,Q3126085,Halle aux vins de Paris,"```json {""wikipedia_page"":""Halle aux vins de Paris"", ""wikidata_id"":""Q3126085""} ```",23.328969955444336
hidden_test_fr_2,2173,2186,M. Henri Crag,NIL,PER,NIL,M. Henri Crag,No.,0
hidden_test_fr_2,2188,2209,"11,rue de Romainville",NIL,LOC,Q3451017,rue de Romainville,"```json {""wikipedia_page"":""rue de Romainville"", ""wikidata_id"":""Q3451017""} ```",17.638076782226562
hidden_test_fr_2,2360,2369,M. Ménard,NIL,PER,NIL,M. Ménard,no,0
hidden_test_fr_2,2373,2383,Blancfossé,Q281546,LOC,Q281546,Blancfossé,"```json { ""wikipedia_page"": ""Blancfossé"", ""wikidata_id"": ""Q281546"" } ```",28.368898391723633
hidden_test_fr_2,2675,2680,Œuvre,Q1880717,PROD,Q1880717,L'Œuvre,"```json {""wikipedia_page"": ""L'Œuvre"", ""wikidata_id"": ""Q1880717""} ```",6.152453422546387
hidden_test_fr_2,2682,2691,Compiègne,Q180871,LOC,Q180871,Compiègne,"```json {""wikipedia_page"":""Compiègne"", ""wikidata_id"":""Q180871""} ```",27.370256423950195
hidden_test_fr_2,2710,2800,"fonctionnairedes Régions libérées, M. Boisguillaume, 44ans, agent technique du Génie rural",NIL,PER,NIL,"fonctionnairedes Régions libérées, M. Boisguillaume, 44ans, agent technique du Génie rural",no,0
hidden_test_fr_2,2851,2865,"76, rue Carnot",NIL,LOC,NIL,"76, rue Carnot",no,0
hidden_test_fr_2,2869,2878,Compiègne,Q180871,LOC,Q180871,Compiègne,"```json {""wikipedia_page"":""Compiègne"", ""wikidata_id"":""Q180871""} ```",26.728759765625
hidden_test_fr_2,2881,2886,Œuvre,Q1880717,PROD,Q1880717,L'Œuvre,"```json {""wikipedia_page"":""L'Œuvre"", ""wikidata_id"":""Q1880717""} ```",8.343838691711426
hidden_test_fr_2,2888,2897,Mirecourt,Q659969,LOC,Q659969,Mirecourt,"```json {""wikipedia_page"":""Mirecourt"", ""wikidata_id"":""Q659969""} ```",30.533981323242188
hidden_test_fr_2,2926,2935,Hen¬nezel,Q593153,LOC,Q593153,Hennezel,"```json {""wikipedia_page"":""Hennezel"", ""wikidata_id"":""Q593153""} ```",28.875625610351562
hidden_test_fr_2,2937,2959,"Henri Menier, bûcheron",NIL,PER,NIL,"Henri Menier, bûcheron",No.,0
hidden_test_fr_2,3084,3089,Œuvre,Q1880717,PROD,Q1880717,L'Œuvre,"```json {""wikipedia_page"":""L'Œuvre"", ""wikidata_id"":""Q1880717""} ```",6.793704986572266
hidden_test_fr_2,3091,3101,Draguignan,Q194141,LOC,Q194141,Draguignan,"```json {""wikipedia_page"":""Draguignan"", ""wikidata_id"":""Q194141""} ```",35.66117858886719
hidden_test_fr_2,3120,3140,cour d'assisesdu Var,NIL,ORG,Q47462966,cour d'assises,"```json {""wikipedia_page"":""cour d'assises"", ""wikidata_id"":""Q47462966""} ```",16.896095275878906
hidden_test_fr_2,3204,3280,"Barthélemy Me¬nozzi, âgé de 30 ans, né à Corte (Corse), ou¬vrier électricien",NIL,PER,NIL,"Barthélemy Me¬nozzi, âgé de 30 ans, né à Corte (Corse), ou¬vrier électricien",no,0
hidden_test_fr_2,3308,3315,Tou¬lon,Q44160,LOC,Q44160,Toulon,"```json {""wikipedia_page"":""Toulon"", ""wikidata_id"":""Q44160""} ```",32.623626708984375
hidden_test_fr_2,3412,3417,Brest,Q12193,LOC,Q12193,Brest,"```json {""wikipedia_page"":""Brest"", ""wikidata_id"":""Q12193""} ```",29.272178649902344
hidden_test_fr_2,3436,3463,conseil municipalde Camaret,NIL,ORG,Q2647159,conseil municipal en France,"```json { ""wikipedia_page"": ""conseil municipal en France"", ""wikidata_id"": ""Q2647159"" } ```",16.704994201660156
hidden_test_fr_2,3565,3570,Œuvre,Q1880717,PROD,NIL,Œuvre,no,0
hidden_test_fr_2,3572,3622,"M. Labarthe, rédacteur en chef du RéveilEconomique",NIL,PER,NIL,"M. Labarthe, rédacteur en chef du RéveilEconomique",No.,0
hidden_test_fr_3,130,140,Luxembourg,Q32,LOC,Q32,Luxembourg,"```json {""wikipedia_page"":""Luxembourg"", ""wikidata_id"":""Q32""} ```",20.56899070739746
hidden_test_fr_3,153,243,"M. FUNCK-BRENTANOM. Funck-Brentano, l'érudit conserva¬teur de la bibliothèque de l'Arsenal",NIL,PER,Q1445752,Frantz Funck-Brentano,"```json {""wikipedia_page"": ""Frantz Funck-Brentano"", ""wikidata_id"": ""Q1445752""} ```",19.085309982299805
hidden_test_fr_3,409,435,Hôteldes Sociétés savantes,Q25394124,LOC,Q25394124,hôtel des sociétés savantes,"```json {""wikipedia_page"": ""hôtel des sociétés savantes"", ""wikidata_id"": ""Q25394124""} ```",26.734310150146484
hidden_test_fr_3,471,502,Société luxembourgeoise deParis,NIL,ORG,NIL,Société luxembourgeoise deParis,No.,0
hidden_test_fr_3,598,642,grande-duchesse Marie¬Adélaïde de Luxembourg,Q159075,PER,Q159075,"Grande-Duchesse Marie-Adélaïde I, Grande-Duchesse de Luxembourg","```json {""wikipedia_page"": ""Grande-Duchesse Marie-Adélaïde I, Grande-Duchesse de Luxembourg"", ""wikidata_id"": ""Q159075""} ```",26.607383728027344
