doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
lestragdiesdeso00tourgoog_0064,94,100,Homère,Q6691,PER,Q6691,Homère,"```json {""wikipedia_page"":""Homère"", ""wikidata_id"":""Q6691""} ```",18.621667861938477
lestragdiesdeso00tourgoog_0064,102,110,Euripide,Q48305,PER,Q48305,Euripide,"```json {""wikipedia_page"":""Euripide"", ""wikidata_id"":""Q48305""} ```",27.50162124633789
lestragdiesdeso00tourgoog_0064,161,173,Iphig. Taur.,Q523227,WORK,Q523227,Iphigénie en Tauride,"```json { ""wikipedia_page"": ""Iphigénie en Tauride"", ""wikidata_id"": ""Q523227"" } ```",17.0914306640625
lestragdiesdeso00tourgoog_0064,211,219,Euripide,Q48305,PER,Q48305,Euripide,"```json {""wikipedia_page"":""Euripide"", ""wikidata_id"":""Q48305""} ``` The text mentions ""Le Scholiaste d’Euripide,"" which clearly refers to the ancient Greek tragedian Euripide. The most appropriate Wikidata entity from the list of candidates is ""Euripide"" with the Wikidata ID Q48305.",26.535541534423828
lestragdiesdeso00tourgoog_0064,223,235,Phéniciennes,Q1233660,WORK,Q1233660,Les Phéniciennes,"```json {""wikipedia_page"":""Les Phéniciennes"", ""wikidata_id"":""Q1233660""} ```",17.06334686279297
lestragdiesdeso00tourgoog_0064,350,356,Lobeck,Q84734,PER,Q84734,Christian Lobeck,"```json {""wikipedia_page"":""Christian Lobeck"", ""wikidata_id"":""Q84734""} ```",16.568389892578125
lestragdiesdeso00tourgoog_0064,462,468,Laërte,Q748296,PER,Q748296,Laërte,"```json {""wikipedia_page"":""Laërte"", ""wikidata_id"":""Q748296""} ```",17.27619171142578
lestragdiesdeso00tourgoog_0064,658,665,Ellendt,Q18411800,PER,NIL,Ellendt,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
lestragdiesdeso00tourgoog_0064,696,702,ϑυϊάλ5,Q1534037,PER,NIL,ϑυϊάλ5,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
lestragdiesdeso00tourgoog_0064,729,737,Andocide,Q391654,PER,Q391654,Andocide,"```json {""wikipedia_page"":""Andocide"", ""wikidata_id"":""Q391654""} ```",24.955522537231445
lestragdiesdeso00tourgoog_0064,739,764,discours Sur les Mystères,Q87737021,WORK,NIL,discours Sur les Mystères,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
lestragdiesdeso00tourgoog_0064,1249,1256,Eschine,Q317089,PER,Q317089,Eschine,"```json {""wikipedia_page"":""Eschine"", ""wikidata_id"":""Q317089""} ```",24.96474838256836
lestragdiesdeso00tourgoog_0064,1258,1282,Discours contre Timurque,Q2995964,WORK,Q2995964,Contre Timarque,"```json {""wikipedia_page"": ""Contre Timarque"", ""wikidata_id"": ""Q2995964""} ```",20.544227600097656
lestragdiesdeso00tourgoog_0064,1329,1333,Ajux,Q172725,PER,Q172725,Ajax,"```json { ""wikipedia_page"": ""Ajax"", ""wikidata_id"": ""Q172725"" } ```",14.708311080932617
lestragdiesdeso00tourgoog_0067,11,18,Ellendt,Q18411800,PER,NIL,Ellendt,"```json {""wikipedia_page"": """", ""wikidata_id"": ""NIL""} ```",0
lestragdiesdeso00tourgoog_0067,205,212,Linwood,NIL,PER,NIL,Linwood,"```json {""wikipedia_page"":"""",""wikidata_id"":""NIL""} ```",0
lestragdiesdeso00tourgoog_0067,217,242,hymne homérique à Apollon,Q3798932,WORK,Q3798932,Hymne à Apollon I,"```json {""wikipedia_page"":""Hymne à Apollon I"", ""wikidata_id"":""Q3798932""} ```",17.86932373046875
lestragdiesdeso00tourgoog_0067,251,264,"Lemnos,lcarie",Q209576,LOC,Q192483,Lemnos,"```json {""wikipedia_page"":""Lemnos"", ""wikidata_id"":""Q192483""} ```",12.726658821105957
lestragdiesdeso00tourgoog_0067,266,272,Nhodes,Q43048,LOC,Q43048,Rhodes,"```json {""wikipedia_page"":""Rhodes"", ""wikidata_id"":""Q43048""} ```",12.140798568725586
lestragdiesdeso00tourgoog_0067,276,281,Cnide,Q690575,LOC,Q690575,Cnide,"```json { ""wikipedia_page"": ""Cnide"", ""wikidata_id"": ""Q690575"" } ```",16.19046401977539
lestragdiesdeso00tourgoog_0067,287,297,les Perses,Q788458,WORK,Q788458,Les Perses,"```json {""wikipedia_page"":""Les Perses"", ""wikidata_id"":""Q788458""} ```",24.804683685302734
lestragdiesdeso00tourgoog_0067,300,307,Eschyle,Q40939,PER,Q40939,Eschyle,"```json {""wikipedia_page"":""Eschyle"", ""wikidata_id"":""Q40939""} ```",31.017459869384766
lestragdiesdeso00tourgoog_0067,435,446,Schneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,"```json {""wikipedia_page"":""Friedrich Wilhelm Schneidewin"", ""wikidata_id"":""Q70043""} ```",27.070974349975586
lestragdiesdeso00tourgoog_0067,608,613,Phil.,Q1415903,WORK,Q334570,Philon de Byzance,"```json {""wikipedia_page"":""Philon de Byzance"", ""wikidata_id"":""Q334570""} ```",15.386138916015625
lestragdiesdeso00tourgoog_0067,641,647,Rhésus,Q667750,WORK,Q1061782,Rhésos,"```json { ""wikipedia_page"": ""Rhésos"", ""wikidata_id"": ""Q1061782"" } ```",19.419157028198242
lestragdiesdeso00tourgoog_0067,678,681,ſi.,Q8275,WORK,NIL,ſi.,"```json {""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL""} ```",0
lestragdiesdeso00tourgoog_0067,729,737,fragment,NIL,WORK,Q1440453,fragment,"```json { ""wikipedia_page"": ""fragment"", ""wikidata_id"": ""Q1440453"" } ```",12.527305603027344
lestragdiesdeso00tourgoog_0067,740,747,Eupolis,Q459517,PER,Q459517,Eupolis,"```json {""wikipedia_page"": ""Eupolis"", ""wikidata_id"": ""Q459517""} ```",22.0192813873291
lestragdiesdeso00tourgoog_0067,871,877,Lobeck,Q84734,PER,Q84734,Christian Lobeck,"```json {""wikipedia_page"":""Christian Lobeck"", ""wikidata_id"":""Q84734""} ```",22.83228302001953
lestragdiesdeso00tourgoog_0067,993,1010,Physiognomoniques,Q3303903,WORK,Q3303903,Physiognomica,"```json {""wikipedia_page"":""Physiognomica"",""wikidata_id"":""Q3303903""} ```",18.578935623168945
lestragdiesdeso00tourgoog_0067,1013,1024,"d’Aristote,",Q868,PER,Q1051198,Physique,"```json {""wikipedia_page"": ""Physique"", ""wikidata_id"": ""Q1051198""} ```",12.078269004821777
lestragdiesdeso00tourgoog_0067,1035,1046,Aristophane,Q43353,PER,Q43353,Aristophane,"```json {""wikipedia_page"":""Aristophane"", ""wikidata_id"":""Q43353""} ```",29.87264633178711
lestragdiesdeso00tourgoog_0067,1048,1058,Chevaliers,Q1215817,WORK,Q1215817,Les Cavaliers,"```json { ""wikipedia_page"": ""Les Cavaliers"", ""wikidata_id"": ""Q1215817"" } ```",18.04572868347168
lestragdiesdeso00tourgoog_0067,1093,1108,OEdipe ἃ Οοίοπε,Q294001,WORK,Q130890,Œdipe,"```json {""wikipedia_page"":""Œdipe"", ""wikidata_id"":""Q130890""} ```",19.417694091796875
lestragdiesdeso00tourgoog_0067,1499,1507,Euripide,Q48305,PER,Q48305,Euripide,"```json {""wikipedia_page"":""Euripide"", ""wikidata_id"":""Q48305""} ```",25.036903381347656
lestragdiesdeso00tourgoog_0067,1509,1526,Iphigénie & Aulis,Q1233770,WORK,Q1233770,Iphigénie à Aulis,"```json {""wikipedia_page"":""Iphigénie à Aulis"", ""wikidata_id"":""Q1233770""} ```",17.319406509399414
lestragdiesdeso00tourgoog_0067,1783,1789,Wunder,Q15438962,PER,Q15438962,Eduard Wunder,"```json {""wikipedia_page"":""Eduard Wunder"", ""wikidata_id"":""Q15438962""} ```",11.152718544006348
lestragdiesdeso00tourgoog_0067,1949,1955,Wander,Q15438962,PER,NIL,Wander,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
lestragdiesdeso00tourgoog_0081,312,319,Athènes,Q1524,LOC,Q844930,Athènes,"```json {""wikipedia_page"":""Athènes"", ""wikidata_id"":""Q844930""} ```",23.821401596069336
lestragdiesdeso00tourgoog_0081,325,332,Électre,Q733444,WORK,Q131651,Électre,"```json {""wikipedia_page"": ""Électre"", ""wikidata_id"": ""Q131651""} ```",19.190776824951172
lestragdiesdeso00tourgoog_0081,478,486,OEd. Ro:,Q148643,WORK,Q44996,Oxford English Dictionary,"```json { ""wikipedia_page"": ""Oxford English Dictionary"", ""wikidata_id"": ""Q44996"" } ```",8.962345123291016
lestragdiesdeso00tourgoog_0089,133,143,ΟΕ Δ. (οί.,Q294001,WORK,NIL,ΟΕ Δ. (οί.,"```json { ""wikipedia_page"":"""", ""wikidata_id"":""NIL"" } ```",0
lestragdiesdeso00tourgoog_0089,171,183,ISehneidewin,Q70043,PER,Q666863,Joseph Ijsewijn,"```json { ""wikipedia_page"": ""Joseph Ijsewijn"", ""wikidata_id"": ""Q666863"" } ```",12.161478042602539
