doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
sn83030483-1790-01-02-a-i0004,61,69,NEW-YORK,Q60,LOC,Q60,New York City,,0
sn83030483-1790-01-02-a-i0004,227,242,Uni¬ ted Stares,Q30,LOC,Q30,United States of America,"```json { ""wikipedia_page"": ""United States of America"", ""wikidata_id"": ""Q30"" } ```",13.933012008666992
sn83030483-1790-01-02-a-i0004,428,449,Journal of the Senate,Q7891333,PROD,Q7891333,United States Senate Journal,"```json { ""wikipedia_page"": ""United States Senate Journal"", ""wikidata_id"": ""Q7891333"" } ```",18.807186126708984
sn83030483-1790-02-10-a-i0002,43,49,Senate,Q1525949,ORG,Q1525949,New Hampshire Senate,,0
sn83030483-1790-02-10-a-i0002,54,80,House ^/'Represen¬ tatives,Q1525939,ORG,Q1525939,New Hampshire House of Representatives,,0
sn83030483-1790-02-10-a-i0002,85,98,New-Hampshire,Q759,LOC,Q759,New Hampshire,,0
sn83030483-1790-02-10-a-i0002,569,582,New-Humpfhire,Q759,LOC,Q759,New Hampshire,,0
sn83030483-1790-02-10-a-i0002,1420,1433,United States,Q30,LOC,Q30,United States of America,,0
sn83030483-1790-02-10-a-i0002,1535,1549,New-Hampffiire,Q759,LOC,Q759,New Hampshire,,0
sn83030483-1790-02-10-a-i0002,1593,1606,Federal Court,Q194907,ORG,Q194907,United States federal courts,"```json { ""wikipedia_page"": ""United States federal courts"", ""wikidata_id"": ""Q194907"" } ```",16.084453582763672
sn83030483-1790-02-10-a-i0002,3097,3124,Senate of the United States,Q66096,ORG,Q66096,United States Senate,,0
sn83030483-1790-02-10-a-i0002,3495,3510,New- Hampfttire,Q759,LOC,Q759,New Hampshire,,0
sn83030483-1790-03-03-a-i0004,0,6,LONDON,Q84,LOC,Q84,London,,0
sn83030483-1790-03-03-a-i0004,232,240,Brufiels,Q239,LOC,Q239,City of Brussels,"```json { ""wikipedia_page"": ""City of Brussels"", ""wikidata_id"": ""Q239"" } ```",15.281267166137695
sn83030483-1790-03-03-a-i0004,1120,1132,great market,Q215429,LOC,Q215429,Grand-Place,"```json {""wikipedia_page"":""Grand-Place"", ""wikidata_id"":""Q215429""} ```",6.388361930847168
sn83030483-1790-03-03-a-i0004,2002,2016,Porte de Namur,Q3399071,LOC,Q3399071,Namur Gate," { ""wikipedia_page"": ""Namur Gate"", ""wikidata_id"": ""Q3399071"" }",20.24456024169922
sn84026272-1800-07-09-a-i0003,8,36,Gazstte of the Unites States,Q1496634,PROD,Q1496634,Gazette of the United States,"```json {""wikipedia_page"":""Gazette of the United States"", ""wikidata_id"":""Q1496634""} ```",9.924490928649902
sn84026272-1800-07-09-a-i0003,53,106,"THOMAS JEFFERSON, Vise President of the Unit.! States",Q11812,PER,Q11812,Thomas Jefferson,"{ ""wikipedia_page"": ""Thomas Jefferson"", ""wikidata_id"": ""Q11812"" }",18.348419189453125
sn84026272-1800-07-09-a-i0003,189,202,United States,Q30,LOC,Q30,United States of America,,0
sn84026272-1800-07-09-a-i0003,1240,1247,America,Q30,LOC,Q30,United States of America,"```json {""wikipedia_page"":""United States of America"", ""wikidata_id"":""Q30""} ```",15.554813385009766
sn84026272-1800-07-09-a-i0003,4212,4219,America,Q30,LOC,Q30,United States of America,"Based on the provided context and the candidates, the most appropriate Wikidata entity for the entity tagged with [ENT] is ""United States of America"". Thus, the JSON response is: ```json {""wikipedia_page"":""United States of America"", ""wikidata_id"":""Q30""} ```",20.034351348876953
sn84026272-1800-10-16-a-i0001,138,162,United States of America,Q30,LOC,Q30,United States of America,,0
sn84026272-1800-10-16-a-i0001,516,624,"Alexander Addison, President of the Courts of Common Pleas of me Fifth Cir¬ cuit of the State of Pennlylvann",Q25184130,PER,Q25184130,Alexander Addison,,0
sn84026272-1800-10-16-a-i0001,655,686,Congress of the Uni¬ ted States,Q11268,ORG,Q11268,United States Congress,,0
sn84026272-1800-10-16-a-i0001,870,925,"D.C * I.DWELL, Clerl of lie DiJtriEl of Peonsyl v aoisA",NIL,PER,NIL,"D.C * I.DWELL, Clerl of lie DiJtriEl of Peonsyl v aoisA","```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ``` Upon analyzing the input text, neither of the entities tagged with [ENT] (D.C. Somervell and Daniel O'Connell) matches any of the provided candidates with high confidence. The candidates do not include the specific entities mentioned in the text, therefore both ""wikipedia_page"" and ""wikidata_id"" are set to ""NIL"".",0
sn82014385-1810-01-06-a-i0001,121,143,"Col. Thomas Duff, Esq.",NIL,PER,NIL,"Col. Thomas Duff, Esq.","Based on the provided input text and the list of candidates, the entities within the [ENT] tags are ""Col. Thomas Duff, Esq."" and ""in the village of Newport."" The entity ""Col. Thomas Duff, Esq."" does not have a high-confidence match in the list of candidates. The entity ""in the village of Newport"" also does not have a high-confidence match in the list of candidates. Therefore, the response is: ```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
sn82014385-1810-01-06-a-i0001,162,180,Newport—consisting,Q755805,LOC,Q755805,Newport,"```json {""wikipedia_page"":""Newport"", ""wikidata_id"":""Q755805""} ```",12.70960807800293
sn82014385-1810-01-06-a-i0001,615,632,state of Delaware,Q1393,LOC,Q1393,Delaware,,0
sn82014385-1810-01-06-a-i0001,1094,1115,"TIICWAS DUFF, Esquire",NIL,PER,NIL,"TIICWAS DUFF, Esquire","```json {""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL""} ```",0
sn82014385-1810-01-06-a-i0001,1129,1141,Mrs. FIug™ns,NIL,PER,NIL,Mrs. FIug™ns,"Based on the provided text and the list of candidates, neither ""Mrs. Fuggins"" nor ""Mrs. Wiggins"" corresponds to any entity in the provided candidates with high confidence. Therefore, the result is: ```json {""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL""} ```",0
sn82014385-1810-04-04-a-i0003,12,17,SPAIN,Q29,LOC,Q29,Spain,"Based on the provided text and list of candidates, the entity mentioned between the [ENT] tags is ""Spain"". Given the context and time period (1810), the most appropriate Wikidata entity is ""Spain"" (Q29), which represents the country in southwestern Europe with territories in Africa. Therefore, the response is: ```json {""wikipedia_page"":""Spain"", ""wikidata_id"":""Q29""} ```",19.723915100097656
sn82014385-1810-04-04-a-i0003,69,81,Philadelphia,Q1345,LOC,Q1345,Philadelphia,,0
sn82014385-1810-04-04-a-i0003,98,103,Cadiz,Q15682,LOC,Q15682,Cádiz,,0
sn82014385-1810-04-04-a-i0003,153,166,Sierra Morena,Q686362,LOC,Q686362,Sierra Morena,,0
sn82014385-1810-04-04-a-i0003,178,191,Seville—drove,Q8717,LOC,Q8717,Seville,"```json {""wikipedia_page"": ""Seville"", ""wikidata_id"": ""Q8717""} ```",15.393403053283691
sn82014385-1810-04-04-a-i0003,239,248,Cadiz—cap,Q15682,LOC,Q15682,Cádiz,"```json { ""wikipedia_page"": ""Cádiz"", ""wikidata_id"": ""Q15682"" } ```",17.48401641845703
sn82014385-1810-04-04-a-i0003,310,315,Cadiz,Q15682,LOC,Q15682,Cádiz,"```json { ""wikipedia_page"": ""Cádiz"", ""wikidata_id"": ""Q15682"" } ```",20.980281829833984
sn82014385-1810-04-04-a-i0003,485,490,Cadiz,Q15682,LOC,Q15682,Cádiz,"```json {""wikipedia_page"": ""Cádiz"", ""wikidata_id"": ""Q15682""} ```",20.14168930053711
sn82014385-1810-04-04-a-i0003,553,564,king Joseph,Q7726,PER,Q7726,Joseph Bonaparte,"Based on the input text and the list of candidates, the entity mentioned between the [ENT] tags is ""king Joseph."" The most appropriate match from the list of candidates is ""Joseph Bonaparte"" with the Wikidata ID ""Q7726."" Here is the JSON-formatted answer: ```json {""wikipedia_page"":""Joseph Bonaparte"", ""wikidata_id"":""Q7726""} ```",15.076738357543945
sn82014385-1810-04-04-a-i0003,619,624,Cadiz,Q15682,LOC,Q15682,Cádiz,,0
sn82014385-1810-04-04-a-i0003,643,652,Ferdinand,Q186256,PER,Q186256,Ferdinand VII of Spain,"```json {""wikipedia_page"":""Ferdinand VII of Spain"", ""wikidata_id"":""Q186256""} ```",17.336332321166992
sn82014385-1810-04-04-a-i0003,893,898,Cadiz,Q15682,LOC,Q15682,Cádiz,,0
sn82014385-1810-04-04-a-i0003,946,951,Cadiz,Q15682,LOC,Q15682,Cádiz,"Based on the input text, the entity tagged between the [ENT] tags is ""Cadiz"". The most appropriate Wikidata entity from the list of candidates is: ```json {""wikipedia_page"":""Cádiz"", ""wikidata_id"":""Q15682""} ```",19.29306983947754
sn82014385-1810-04-04-a-i0003,1144,1158,Phila¬ delphia,Q1345,LOC,Q1345,Philadelphia,"```json { ""wikipedia_page"": ""Philadelphia"", ""wikidata_id"": ""Q1345"" } ```",18.482763290405273
sn82014385-1810-04-14-a-i0004,1436,1454,Messrs. 7?. Lee Sr,NIL,PER,NIL,Messrs. 7?. Lee Sr,"Based on the provided text, there are two [ENT] tags: 1. ""Messrs. 7?. Lee Sr"" 2. ""Mr. Edwards"" After analyzing the candidates, neither ""Messrs. 7?. Lee Sr"" nor ""Mr. Edwards"" matches any of the provided candidates with high confidence. Therefore, I will use ""NIL"" for both entities. Here is the JSON response: ```json {""wikipedia_page"":"""",""wikidata_id"":""NIL""} ```",0
sn82014385-1810-04-14-a-i0004,2021,2030,Mr. Vance,NIL,PER,NIL,Mr. Vance,"```json {""wikipedia_page"":""Vance"", ""wikidata_id"":""NIL""} ```",0
sn82014385-1810-04-14-a-i0004,2215,2229,George Harwcod,NIL,PER,NIL,George Harwcod,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags is ""George Harwood"". The most appropriate Wikidata entity from the list of candidates is ""George Harwood"" with the Wikipedia page title ""George Harwood"" and the Wikidata ID ""Q5540299"".",0
sn82014385-1810-05-30-a-i0001,150,163,United States,Q30,LOC,Q30,United States of America,,0
sn82014385-1810-05-30-a-i0001,191,197,Senate,Q66096,ORG,Q66096,United States Senate,,0
sn82014385-1810-05-30-a-i0001,202,260,House of U Representatives of the United States oj America,Q11701,ORG,Q11701,United States House of Representatives,,0
sn82014385-1810-05-30-a-i0001,469,482,United Stares,Q30,LOC,Q30,United States of America,"```json { ""wikipedia_page"": ""United States of America"", ""wikidata_id"": ""Q30"" } ```",12.711372375488281
sn82014385-1810-05-30-a-i0001,1258,1271,United States,Q30,LOC,Q30,United States of America,,0
