doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
EXP-1798-01-04-a-i0005,978,992,Val-de-Travers,Q70526,LOC,Q70526,Val-de-Travers,,0
EXP-1798-01-04-a-i0005,1675,1689,Val de-Travers,Q70526,LOC,Q70526,Val-de-Travers,,0
EXP-1798-02-15-a-i0004,74,83,Neuchatel,Q69345,LOC,Q69345,Neuchâtel,"Based on the input text and the list of candidates, the entity mentioned between the [ENT] tags is ""Neuchâtel"". Given that the candidate with the wikipedia_page ""Neuchâtel"" and wikidata_id ""Q69345"" is highly confident, the corresponding Wikipedia page title and Wikidata ID are selected. The JSON response is: ```json {""wikipedia_page"":""Neuchâtel"", ""wikidata_id"":""Q69345""} ```",4.618776321411133
EXP-1798-02-15-a-i0004,659,672,sœurs _Gendre,NIL,PER,NIL,sœurs _Gendre,"Based on the provided input text and the list of candidates, neither of the entities mentioned between the [ENT] tags, ""Gendre"" and ""sœurs Gendre"", have a highly confident match with the candidates provided. Returning JSON: ```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
EXP-1798-02-15-a-i0004,1900,1909,Neuchatel,Q69345,LOC,Q69345,Neuchâtel,,0
EXP-1798-02-15-a-i0004,2472,2501,sieur Quartier _^ instituteur,NIL,PER,NIL,sieur Quartier _^ instituteur,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
EXP-1798-02-15-a-i0004,3030,3039,Neuchatel,Q69345,LOC,Q69345,Neuchâtel,,0
EXP-1808-09-01-a-i0001,369,383,Chaux-de-Fonds,Q68124,LOC,Q68124,La Chaux-de-Fonds,,0
EXP-1808-09-01-a-i0001,487,501,Chaùx-de-Fonds,Q68124,LOC,Q68124,La Chaux-de-Fonds,,0
EXP-1808-09-01-a-i0001,1088,1102,Chaux-de Fonds,Q68124,LOC,Q68124,La Chaux-de-Fonds,,0
EXP-1808-09-01-a-i0001,1168,1217,sieur cap itaine-lieutenant Jaques Henri Boûrquin,NIL,PER,NIL,sieur cap itaine-lieutenant Jaques Henri Boûrquin,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
EXP-1808-09-01-a-i0001,1304,1317,Cote-aux-Fées,Q68526,LOC,Q68526,La Côte-aux-Fées,,0
EXP-1808-09-01-a-i0001,1865,1890,sieur Charles-Henri vêpre,NIL,PER,NIL,sieur Charles-Henri vêpre,"```json { ""wikipedia_page"": ""Charles-Henri Vêpre"", ""wikidata_id"": ""Q123456789"" } ```",0
EXP-1808-09-01-a-i0001,2083,2092,Neuchatel,Q69345,LOC,Q69345,Neuchâtel,,0
EXP-1808-09-01-a-i0001,2366,2375,Neuchatel,Q69345,LOC,Q69345,Neuchâtel,,0
EXP-1808-09-01-a-i0001,2695,2704,Neuchatel,Q69345,LOC,Q69345,Neuchâtel,,0
EXP-1808-09-01-a-i0001,2768,2775,Engolon,Q70469,LOC,Q70469,Engollon,,0
EXP-1808-09-01-a-i0001,3313,3321,Valangin,Q70194,LOC,Q70194,Valangin,,0
EXP-1808-09-01-a-i0001,3487,3495,Valangin,Q70194,LOC,Q70194,Valangin,,0
EXP-1808-09-01-a-i0001,3525,3533,la Sagne,Q68532,LOC,Q68532,La Sagne,,0
EXP-1808-09-01-a-i0001,3648,3657,Neuchatel,Q69345,LOC,Q69345,Neuchâtel,,0
EXP-1808-09-01-a-i0001,4591,4600,Neuchatel,Q69345,LOC,Q69345,Neuchâtel,,0
EXP-1808-09-01-a-i0001,4920,4927,Yverdon,Q63946,LOC,Q63946,Yverdon-les-Bains,,0
EXP-1808-09-01-a-i0001,5173,5180,Yveidon,Q63946,LOC,Q63946,Yverdon-les-Bains,,0
EXP-1808-09-01-a-i0001,5232,5253,"F. COREVOïT, greffier",NIL,PER,NIL,"F. COREVOïT, greffier","{ ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" }",0
EXP-1808-09-01-a-i0001,5448,5463,ruelle Honhomme,NIL,LOC,NIL,ruelle Honhomme,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
EXP-1808-09-01-a-i0001,6388,6392,Bôle,Q70472,LOC,Q70472,Bôle,,0
EXP-1808-09-01-a-i0001,6906,6912,Bevaix,Q68700,LOC,Q68700,Bevaix,,0
EXP-1808-09-01-a-i0001,7044,7053,Neuchatel,Q69345,LOC,Q69345,Neuchâtel,,0
EXP-1828-06-12-a-i0001,596,601,Berne,Q70,LOC,Q70,Berne,,0
EXP-1828-06-12-a-i0001,744,752,Fribourg,Q36378,LOC,Q36378,Fribourg,,0
EXP-1828-06-12-a-i0001,756,762,Suisse,Q39,LOC,Q39,Suisse,,0
EXP-1828-06-12-a-i0001,972,977,Berne,Q70,LOC,Q70,Berne,,0
EXP-1828-06-12-a-i0001,2167,2172,Berne,Q70,LOC,Q70,Berne,,0
EXP-1828-06-12-a-i0001,2566,2571,Berne,Q70,LOC,Q70,Berne,,0
EXP-1828-06-12-a-i0001,5291,5321,AL le Comte Louis de Pourtalès,Q60107781,PER,Q60107781,Louis de Pourtalès,"```json {""wikipedia_page"":""Louis de Pourtalès"", ""wikidata_id"":""Q60107781""} ```",12.985447883605957
EXP-1828-06-12-a-i0001,5851,5860,Auvernier,Q70385,LOC,Q70385,Auvernier,,0
EXP-1828-06-12-a-i0001,6302,6307,Enges,Q68546,LOC,Q68546,Enges,"```json {""wikipedia_page"":""Enges"", ""wikidata_id"":""Q68546""} ```",13.305853843688965
EXP-1828-06-12-a-i0001,6799,6807,Valangin,Q70194,LOC,Q70194,Valangin,,0
EXP-1828-06-12-a-i0001,7686,7697,B. Viguerie,Q13080819,PER,Q13080819,Bernard Viguerie,,0
EXP-1828-06-12-a-i0001,8182,8191,Neuchâtel,Q69345,LOC,Q69345,Neuchâtel,,0
EXP-1828-06-12-a-i0001,8645,8657,grosdeNaples,Q2634,LOC,Q2634,Naples,"{ ""wikipedia_page"": ""Naples"", ""wikidata_id"": ""Q2634"" }",8.242203712463379
EXP-1828-06-12-a-i0001,8866,8874,Mulhouse,Q79815,LOC,Q79815,Mulhouse,,0
EXP-1828-06-12-a-i0001,9526,9542,Al Julie Steiner,NIL,PER,NIL,Al Julie Steiner,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
EXP-1828-06-12-a-i0001,9753,9761,Florence,Q2044,LOC,Q2044,Florence,,0
EXP-1828-06-12-a-i0001,9986,9991,Paris,Q90,LOC,Q90,Paris,,0
EXP-1828-06-12-a-i0001,10338,10342,Inde,Q668,LOC,Q668,Inde,,0
EXP-1828-06-12-a-i0001,10859,10866,Annonay,Q238366,LOC,Q238366,Annonay,,0
EXP-1828-06-12-a-i0001,10962,10969,Palerme,Q2656,LOC,Q2656,Palerme,,0
EXP-1828-06-12-a-i0001,11110,11115,Dijon,Q7003,LOC,Q7003,Dijon,,0
EXP-1828-06-12-a-i0001,11569,11578,Vaumarcus,Q70467,LOC,Q70467,Vaumarcus,,0
