doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
sn83030483-1790-01-02-a-i0004,7,15,VIRGINIA,Q64358128,LOC,Q1370,Virginia,"```json {""wikipedia_page"": ""Virginia"", ""wikidata_id"": ""Q1370""} ```",15.88766098022461
sn83030483-1790-01-02-a-i0004,967,1000,RICHARD HENRY LEE WILLIAM GRAYSON,NIL,PER,Q82027769,Henry Gerald Richardson,,0
sn83030483-1790-02-10-a-i0002,0,19,PRESIDENT SULL IVAN,Q886420,PER,NIL,PRESIDENT SULL IVAN,"```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
sn83030483-1790-02-10-a-i0002,3549,3562,United States,Q30,LOC,Q11696,President of the United States,"Based on the provided input text and the list of candidates, the entity tagged between the [ENT] tags is ""President of the United States"". Given the context and the fact that this entity is mentioned as the head of state and head of government of the United States of America, the most appropriate Wikidata entity from the list of candidates is: ```json {""wikipedia_page"":""President of the United States"", ""wikidata_id"":""Q11696""} ```",14.128134727478027
sn83030483-1790-02-10-a-i0002,4081,4094,JOHN SULLIVAN,Q886420,PER,Q16029260,John Sullivan,"{ ""wikipedia_page"": ""John Sullivan"", ""wikidata_id"": ""Q16029260"" }",14.248373031616211
sn83030483-1790-03-03-a-i0004,53,63,ofBruffels,Q239,LOC,Q2567094,Bruff,"Based on the provided text and the candidates list, the entity [ENT] appears to be ""Bruffels."" This name seems to be a misspelling of ""Bruff."" Among the provided candidates, the town ""Bruff"" in Munster, Ireland, is a close match. Here is the JSON response: ```json {""wikipedia_page"": ""Bruff"", ""wikidata_id"": ""Q2567094""} ```",10.310385704040527
sn83030483-1790-03-03-a-i0004,491,506,General D’Alton,Q3934904,PER,Q2834153,Alexandre d'Alton,,0
sn83030483-1790-03-03-a-i0004,616,630,Benden-D’Aloft,NIL,PER,Q96391912,Marcel-Ambroise d’Aubenton,"Based on the input text and the provided list of candidates, the entities tagged with [ENT] in the text are ""Benden-D’Aloft"" and ""Boudewijn II van Gent"". Upon reviewing the list of candidates, the most likely Wikidata entity for ""Benden-D’Aloft"" is ""Marcel-Ambroise d’Aubenton"" with Wikidata ID Q96391912 and Wikipedia page title ""Marcel-Ambroise d’Aubenton"". For ""Boudewijn II van Gent"", there is no exact match in the provided list of candidates. Therefore, the Wikidata ID and Wikipedia page title are ""NIL"". The JSON-formatted answer is as follows: ```json {""wikipedia_page"":""Marcel-Ambroise d’Aubenton"", ""wikidata_id"":""Q96391912""} ```",13.268529891967773
sn83030483-1790-03-03-a-i0004,701,715,Grand Pa¬ lace,NIL,LOC,Q215429,Grand-Place,"```json {""wikipedia_page"":""Grand-Place"", ""wikidata_id"":""Q215429""} ```",11.780529975891113
sn83030483-1790-03-03-a-i0004,735,750,General D’Alton,Q3934904,PER,Q2834153,Alexandre d'Alton,"```json { ""wikipedia_page"": ""Alexandre d'Alton"", ""wikidata_id"": ""Q2834153"" } ```",20.38577651977539
sn83030483-1790-03-03-a-i0004,884,894,Bafleville,NIL,LOC,Q211684,Barfleur,"Based on the input text and candidates provided, the entity mentioned between the [ENT] tags, ""Bafleville"", is most likely referring to ""Barfleur"" from the list of candidates. It matches the context of the text as it is a commune in Manche, France, which fits the historical context of 1790. Here is the JSON-formatted answer: ```json { ""wikipedia_page"": ""Barfleur"", ""wikidata_id"": ""Q211684"" } ```",13.368359565734863
sn83030483-1790-03-03-a-i0004,1597,1601,Park,Q1892311,LOC,Q160409,Central Park,"```json { ""wikipedia_page"": ""Central Park"", ""wikidata_id"": ""Q160409"" } ```",6.290030479431152
sn83030483-1790-03-03-a-i0004,1610,1625,Pal¬ ace Royale,Q635307,LOC,Q329948,Palais-Royal,"```json { ""wikipedia_page"": ""Palais-Royal"", ""wikidata_id"": ""Q329948"" } ```",13.203330993652344
sn83030483-1790-03-03-a-i0004,1746,1753,D’Alton,Q3934904,PER,Q2834153,Alexandre d'Alton,,0
sn84026272-1800-07-09-a-i0003,108,114,Philad,NIL,LOC,Q1345,Philadelphia,"```json {""wikipedia_page"": ""Philadelphia"", ""wikidata_id"": ""Q1345""} ```",14.15122127532959
sn84026272-1800-07-09-a-i0003,3502,3510,Virginia,Q1370,LOC,Q878942,Governor of Virginia,"```json {""wikipedia_page"":""Governor of Virginia"",""wikidata_id"":""Q878942""} ```",14.069637298583984
sn84026272-1800-07-09-a-i0003,4255,4263,COLUMBUS,NIL,PER,Q7322,Christopher Columbus,"{ ""wikipedia_page"": ""Christopher Columbus"", ""wikidata_id"": ""Q7322"" }",17.267229080200195
sn84026272-1800-10-16-a-i0001,0,24,District of Pennsylvania,Q7163624,LOC,Q1428625,list of counties in Pennsylvania,,0
sn84026272-1800-10-16-a-i0001,164,183,Alexan¬ der Addison,NIL,PER,Q25184130,Alexander Addison,,0
sn84026272-1800-10-16-a-i0001,438,459,State of Pennsylvania,Q7603789,ORG,Q1400,Pennsylvania,,0
sn84026272-1800-10-16-a-i0001,998,1019,"Mr, Dobson Bookseller",NIL,PER,Q13440730,Thomas Dobson,"```json {""wikipedia_page"": ""Thomas Dobson"", ""wikidata_id"": ""Q13440730""} ```",15.166824340820312
sn84026272-1800-12-27-a-i0002,23,38,Hereford street,NIL,LOC,Q204720,Hereford,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags is ""Hereford street."" Among the candidates, the most appropriate Wikidata entity is: ```json { ""wikipedia_page"": ""Hereford"", ""wikidata_id"": ""Q204720"" } ```",14.228533744812012
sn84026272-1800-12-27-a-i0002,464,470,Fiance,Q142,LOC,NIL,Fiance,"Based on the provided text and the list of candidates, the [ENT] tags refer to ""Fiance"" and ""Finance"". However, neither ""Finance"" nor ""Fiance"" are clear matches with the given candidates. Given the historical context of the text, the term ""Finance"" is more relevant, but it does not directly match any of the provided candidates. Therefore, the appropriate action is to classify it with a NIL value. ```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
sn84026272-1800-12-27-a-i0002,817,821,OTTO,NIL,PER,Q150512,Otto II,"```json { ""wikipedia_page"": ""Otto II"", ""wikidata_id"": ""Q150512"" } ```",4.528416633605957
sn82014385-1810-01-06-a-i0001,297,307,Christiana,Q11103025,LOC,Q5110426,Christiana Historic District,"```json {""wikipedia_page"":""Christiana Historic District"", ""wikidata_id"":""Q5110426""} ```",11.795732498168945
sn82014385-1810-01-06-a-i0001,355,368,Turnpike road,NIL,LOC,Q16939396,toll road,"Based on the input text and the list of candidates, the entity mentioned between the [ENT] tags is likely a ""turnpike road."" The most appropriate Wikidata entity for this term is ""turnpike road"" with the Wikidata ID ""Q16939396."" Here is the JSON-formatted answer: ```json {""wikipedia_page"": ""turnpike road"", ""wikidata_id"": ""Q16939396""} ```",17.132158279418945
sn82014385-1810-01-06-a-i0001,386,398,Gap Ta¬ vern,NIL,LOC,Q175081,Gap,"Based on the provided input text and the list of candidates, the entity mentioned between the [ENT] tags is ""Gap"". From the list of candidates, ""Gap"" corresponds to the following entity: - **Wikipedia Page Title:** Gap - **Wikidata ID:** Q175081 So, the JSON response is: ```json {""wikipedia_page"":""Gap"", ""wikidata_id"":""Q175081""} ```",12.736458778381348
sn82014385-1810-01-06-a-i0001,402,411,Lancaster,NIL,LOC,Q320514,Lancaster,"Given the input text and the list of candidates, the reference marked by [ENT] tags seems to be ""Lancaster"". From the list of candidates, the most relevant entry is: - **`Lancaster`**: Wikidata ID = Q320514, Wikipedia page = Lancaster Given the historical context and the specificity of the mention within the text, this candidate is the most appropriate selection. Here is the JSON response: ```json {""wikipedia_page"":""Lancaster"", ""wikidata_id"":""Q320514""} ```",21.198741912841797
sn82014385-1810-01-06-a-i0001,1145,1155,Wilmington,Q174224,LOC,Q949651,Wilmington,"Based on the analysis of the input text and the list of candidates, the entity mentioned between the [ENT] tags is ""Wilmington"". Among the provided candidates, the most appropriate entity is: - Wikipedia Page: Wilmington - Wikidata ID: Q949651 Therefore, the JSON-formatted answer is: ```json {""wikipedia_page"":""Wilmington"", ""wikidata_id"":""Q949651""} ```",18.706071853637695
