doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fi_1,743,771,duu- man jäsenen Vostrotinin,NIL,PER,NIL,duu- man jäsenen Vostrotinin,no,0
hidden_test_fi_1,790,801,Toulousesta,Q7880,LOC,Q7880,Toulouse,,23.24056053161621
hidden_test_fi_1,1367,1377,Pietarissa,Q656,LOC,Q656,Pietari,,22.116777420043945
hidden_test_fi_1,1564,1575,Newyorkista,Q60,LOC,Q60,New York,,25.4447078704834
hidden_test_fi_1,1682,1693,Englannissa,Q21,LOC,Q21,Englanti,,22.72352409362793
hidden_test_fi_1,2869,2883,Saksi-Weimarin,Q315667,LOC,Q315667,,,21.038009643554688
hidden_test_fi_1,2909,2923,Heidelbergissä,Q2966,LOC,Q2966,Heidelberg,,24.734472274780273
hidden_test_fi_1,3650,3660,Berlinistä,Q64,LOC,Q64,Berliini,,22.738096237182617
hidden_test_fi_1,3980,3998,Berliner Tageblatt,Q455014,PROD,Q455014,,,27.53986358642578
hidden_test_fi_1,4053,4067,Heidelbergissä,Q2966,LOC,Q2966,Heidelberg,,27.255218505859375
hidden_test_fi_1,4099,4109,Wei-mariin,Q3955,LOC,Q3955,Weimar,,21.12015724182129
hidden_test_fi_1,4511,4524,Paul Sabatier,Q104575,PER,Q104575,Paul Sabatier,,26.06829071044922
hidden_test_fi_1,4531,4540,Toulousen,Q7880,LOC,Q7880,Toulouse,,22.09169578552246
hidden_test_fi_1,4613,4697,"yliopiston professorin,Nobelin viimevuotisen kemianpalkin-non saajan Paul Sabatier’n",Q104575,PER,Q104575,Paul Sabatier,yes,15.037687301635742
hidden_test_fi_1,4710,4730,Presidentti Poincaré,Q191974,PER,Q191974,Raymond Poincaré,yes,19.450685501098633
hidden_test_fi_1,4759,4768,Toulousea,Q7880,LOC,Q7880,Toulouse,,22.86128807067871
hidden_test_fi_2,29,45,Helsingin pörssi,Q581755,ORG,Q581755,Helsingin pörssi,,32.79808807373047
hidden_test_fi_2,1825,1853,kauppaneuvosVictor Forselius,Q17380259,PER,Q17380259,Victor Forselius,,22.655277252197266
hidden_test_fi_2,1866,1889,merikapt.G. E. Mattsson,Q17382504,PER,Q17382504,Gustaf Edvard Mattson,,25.206432342529297
