doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent2,1478,1482,Prag,Q1085,LOC,NIL,Prag,no,0
hidden_test_de_1_sent3,14,41,Klub der Vereinigten Linken,NIL,ORG,Q882305,Vereinigte Linke,,23.337562561035156
hidden_test_de_1_sent3,88,97,v. Plener,Q324918,PER,Q75186,Paul Verner,,21.501564025878906
hidden_test_de_1_sent3,162,171,v. Plener,Q324918,PER,Q2647610,Yuval Zellner,,22.765899658203125
hidden_test_de_1_sent3,413,422,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,yes,19.238040924072266
hidden_test_de_1_sent5,876,880,Thun,Q79181,PER,Q80100750,Maximilian Graf von Thun und Hohenstein,yes,14.523977279663086
hidden_test_de_1_sent6,91,100,Kramarsch,NIL,PER,Q159227,Karel Kramář,yes,17.2970027923584
hidden_test_de_1_sent6,133,148,MariePospischil,NIL,PER,Q12035450,Maria Pospischil,,25.909624099731445
hidden_test_de_1_sent6,450,459,Schamanek,NIL,PER,Q11721012,Jarosław Szymanek,,24.628053665161133
hidden_test_de_1_sent6,571,580,Schamanek,NIL,PER,Q11721012,Jarosław Szymanek,,23.70965576171875
hidden_test_de_1_sent6,627,631,Thun,Q79181,PER,Q14790934,Franz Anton II. von Thun und Hohenstein,Yes,16.495378494262695
hidden_test_de_1_sent6,1166,1170,Thun,Q79181,PER,Q80100750,Maximilian Graf von Thun und Hohenstein,yes,16.37982177734375
hidden_test_de_1_sent9,23,44,Johann von Wildenradt,NIL,PER,Q10277579,Ryoichi Kano,,26.978660583496094
hidden_test_de_1_sent14,263,280,Nikolaus von Salm,Q26486738,PER,Q77787,Niklas Graf Salm der Ältere,,29.831356048583984
hidden_test_de_1_sent15,110,127,"„Obersteierblatt""",NIL,PROD,Q218612,Zollern-Alb-Kurier,,35.262001037597656
hidden_test_de_1_sent87,15,19,Wien,NIL,LOC,Q1741,Wien,,26.689189910888672
hidden_test_de_1_sent91,15,25,Josefstadt,NIL,LOC,Q256778,Josefstadt,,21.830123901367188
hidden_test_de_1_sent92,16,27,Rudolfsheim,NIL,LOC,Q2174345,Rudolfsheim,,27.719615936279297
hidden_test_de_1_sent97,38,51,Bruno Zappert,NIL,PER,Q31794012,Bruno Zappert,,30.925952911376953
hidden_test_de_1_sent100,0,20,Aron MandelblühSarah,NIL,PER,Q64030672,,,21.71769142150879
hidden_test_de_1_sent100,32,59,Wenzel PawlizekCarl Schauer,NIL,PER,Q3168715,Jean-Paul Wenzel,,22.12939453125
hidden_test_de_1_sent100,61,72,Mitzi Bardi,NIL,PER,Q18025001,Marie Bardi,,30.148433685302734
hidden_test_de_1_sent102,0,13,Jos. Paulmann,NIL,PER,Q1698128,Johannes Paulmann,,27.077247619628906
hidden_test_de_1_sent103,0,14,Franz Graselli,NIL,PER,Q2001370,Francesco Raselli,,29.22170066833496
hidden_test_de_1_sent106,20,31,Kathi Krenn,NIL,PER,Q1735925,Katharina Kern,,24.430673599243164
hidden_test_de_1_sent107,0,4,Sali,NIL,PER,Q2757170,Sali,,23.429784774780273
hidden_test_de_1_sent107,6,16,Ella Carlé,NIL,PER,Q5364562,Ella Schuler,,22.770286560058594
hidden_test_de_1_sent108,7,19,Elsa Wernier,NIL,PER,Q453545,Els Aarne,,26.001197814941406
hidden_test_de_1_sent109,0,18,Tini Käthi Wernier,NIL,PER,Q2303983,Tini Wagner,yes,19.515581130981445
hidden_test_de_1_sent112,21,30,Mitzi Bär,NIL,PER,Q23953,Maria Bard,,27.082212448120117
hidden_test_de_1_sent113,0,4,Emmy,NIL,PER,Q60763,Emmy Göring,yes,15.922800064086914
hidden_test_de_1_sent113,6,16,Lina Stöhr,NIL,PER,Q16596498,Martina Stöhr,,25.4241943359375
hidden_test_de_1_sent114,6,18,Mitzi Theser,NIL,PER,Q47460506,Mitzi Tesar,,23.8115291595459
hidden_test_de_1_sent115,54,66,Gustav Marik,NIL,PER,Q78511,Gustav Meyrink,,24.31613540649414
hidden_test_de_1_sent116,0,5,Willy,NIL,PER,Q2577075,Willy Frank,Yes,17.97245216369629
hidden_test_de_1_sent116,7,18,Josef Frank,NIL,PER,Q1212284,Josef Frank,,23.24346160888672
hidden_test_de_1_sent117,53,67,Arthur Lorette,NIL,PER,Q110539251,,,22.541851043701172
hidden_test_de_1_sent118,0,5,Maier,NIL,PER,Q1372750,Eugen Maier,Yes,17.1195068359375
hidden_test_de_1_sent118,23,37,Arthur Müllner,NIL,PER,Q4775920,Anton Müller,,32.412742614746094
hidden_test_de_1_sent119,19,34,Adolf Karlinger,NIL,PER,Q362939,Adolf Kissling,,22.101329803466797
hidden_test_de_1_sent120,20,32,Carl Haßmann,NIL,PER,Q15452248,Karl Haußmann,,30.419870376586914
hidden_test_de_1_sent122,20,32,Heinrich Baß,NIL,PER,Q1596656,Heinrich Bass,,24.37710952758789
hidden_test_de_1_sent123,0,18,Arthur Schanenburg,NIL,PER,Q38193,Arthur Schopenhauer,,26.31085205078125
hidden_test_de_1_sent123,21,32,Albert Reiß,NIL,PER,Q4711094,Albert Reiss,,28.62725067138672
hidden_test_de_1_sent128,165,169,Daun,NIL,PER,Q93365,Leopold Joseph von Daun,,21.986413955688477
hidden_test_de_1_sent132,1,8,Venedig,NIL,LOC,Q641,Venedig,Yes,21.25467300415039
hidden_test_de_1_sent132,12,16,Wien,NIL,LOC,Q1741,Wien,,22.460939407348633
hidden_test_de_1_sent144,109,117,Hainfeld,NIL,LOC,Q671275,Hainfeld,,25.61237335205078
hidden_test_de_1_sent147,8,22,Franz Lütgenau,NIL,PER,Q1448138,Franz Lütgenau,,29.214122772216797
hidden_test_de_1_sent152,4,14,Paul Kempe,NIL,PER,Q11814157,,,35.5950813293457
hidden_test_de_1_sent153,4,22,Wilhelm Liebknecht,NIL,PER,Q20127,Wilhelm Liebknecht,,31.197811126708984
hidden_test_de_1_sent154,80,94,Sigmund Weiler,NIL,PER,Q2284813,Sigismund Weier,,25.775020599365234
hidden_test_de_1_sent154,110,114,Wien,NIL,LOC,Q1741,Wien,,21.335025787353516
hidden_test_de_1_sent163,65,81,Jacob Rothberger,NIL,PER,Q2549156,Warenhaus Rothberger,,21.661603927612305
hidden_test_de_1_sent163,229,245,Jakob Weinberger,NIL,PER,Q19668022,Jacob Weinberg,,24.885244369506836
hidden_test_de_1_sent163,354,360,Ditmar,NIL,PER,Q95292865,Rudolf Ditmar,Yes.,15.898209571838379
hidden_test_de_1_sent172,71,75,Wien,NIL,LOC,Q1741,Wien,,24.957683563232422
hidden_test_de_1_sent184,424,429,Brünn,NIL,LOC,Q14960,Brünn,,28.868803024291992
hidden_test_de_1_sent184,490,501,Ignaz Brand,NIL,PER,Q1657382,Ignatz Brenner von Felsach,"""yes""",17.055906295776367
hidden_test_de_1_sent184,502,506,Wien,NIL,LOC,Q1741,Wien,,29.433149337768555
hidden_test_de_1_sent186,34,38,Wien,NIL,LOC,Q1741,Wien,yes,12.480757713317871
hidden_test_de_1_sent187,18,22,Wien,NIL,LOC,Q1741,Wien,,27.811416625976562
hidden_test_de_1_sent192,29,33,Wien,NIL,LOC,Q1741,Wien,,27.92399024963379
hidden_test_de_1_sent194,209,215,Leoben,NIL,LOC,Q485294,Leoben,"""yes""",18.384183883666992
hidden_test_de_1_sent195,286,293,Mödling,NIL,LOC,Q277965,Mödling,yes,20.503368377685547
hidden_test_de_1_sent195,456,462,Böslau,NIL,LOC,Q798800,Bad Vöslau,yes,14.446083068847656
hidden_test_de_1_sent195,1175,1190,Kaltenleutgeben,NIL,LOC,Q665008,Kaltenleutgeben,yes,13.31446361541748
hidden_test_de_1_sent195,1192,1201,Laxenburg,NIL,LOC,Q699437,Laxenburg,yes,17.54595947265625
hidden_test_de_1_sent197,204,213,Laxenburg,NIL,LOC,Q699437,Laxenburg,,23.632728576660156
hidden_test_de_1_sent197,225,232,Mödling,NIL,LOC,Q277965,Mödling,,22.302831649780273
hidden_test_de_1_sent197,341,350,Laxenburg,NIL,LOC,Q699437,Laxenburg,,22.87691307067871
hidden_test_de_1_sent197,463,472,Laxenburg,NIL,LOC,Q699437,Laxenburg,,22.408477783203125
hidden_test_de_1_sent197,626,635,Laxenburg,NIL,LOC,Q699437,Laxenburg,yes,20.622018814086914
hidden_test_de_1_sent197,963,972,Laxenburg,NIL,LOC,Q699437,Laxenburg,yes,17.760114669799805
hidden_test_de_1_sent197,1351,1357,Triest,NIL,LOC,Q546,Triest,,23.52787208557129
hidden_test_de_1_sent198,344,348,Wien,NIL,LOC,Q1741,Wien,,24.03516960144043
hidden_test_de_1_sent199,31,35,Wien,NIL,LOC,Q1741,Wien,,25.108686447143555
hidden_test_de_1_sent201,3,8,Basel,NIL,LOC,Q78,Basel,,21.83570098876953
hidden_test_de_1_sent201,82,87,Basel,NIL,LOC,Q78,Basel,,23.73236846923828
hidden_test_de_1_sent204,0,6,Neapel,NIL,LOC,Q2634,Neapel,,24.707910537719727
hidden_test_de_1_sent204,100,106,Neapel,NIL,LOC,Q2634,Neapel,,23.81682014465332
hidden_test_de_1_sent206,177,187,Petersburg,NIL,LOC,Q656,Sankt Petersburg,,23.240652084350586
hidden_test_de_1_sent206,259,266,Rußland,NIL,LOC,Q159,Russland,,26.751623153686523
hidden_test_de_1_sent207,258,265,Rußland,NIL,LOC,Q159,Russland,,23.13937759399414
