doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
lestragdiesdeso00tourgoog_0064,94,100,Homère,Q6691,PER,Q6691,Homère,"```json {""wikipedia_page"":""Homère"", ""wikidata_id"":""Q6691""} ```",18.621667861938477
lestragdiesdeso00tourgoog_0064,102,110,Euripide,Q48305,PER,Q48305,Euripide,"```json { ""wikipedia_page"": ""Euripide"", ""wikidata_id"": ""Q48305"" } ```",27.50162124633789
lestragdiesdeso00tourgoog_0064,161,173,Iphig. Taur.,Q523227,WORK,NIL,Iphig. Taur.,```json {} ```,0
lestragdiesdeso00tourgoog_0064,211,219,Euripide,Q48305,PER,Q48305,Euripide,"{""wikipedia_page"":""Euripide"", ""wikidata_id"":""Q48305""}",26.535541534423828
lestragdiesdeso00tourgoog_0064,223,235,Phéniciennes,Q1233660,WORK,NIL,Phéniciennes,no,0
lestragdiesdeso00tourgoog_0064,350,356,Lobeck,Q84734,PER,Q84734,Christian Lobeck,"Based on the provided text and the list of candidates, the entity ""[ENT] Lobeck [ENT] "" is most likely referring to ""Christian Lobeck"" (Q84734). Therefore, the corresponding Wikipedia page title and Wikidata ID are: ```json { ""wikipedia_page"": ""Christian Lobeck"", ""wikidata_id"": ""Q84734"" } ```",16.568389892578125
lestragdiesdeso00tourgoog_0064,462,468,Laërte,Q748296,PER,Q2471533,Laërte,"```json {""wikipedia_page"":""Laërte"", ""wikidata_id"":""Q2471533""} ```",13.462610244750977
lestragdiesdeso00tourgoog_0064,658,665,Ellendt,Q18411800,PER,Q18411557,Johann Ernst Ellendt,"```json {""wikipedia_page"":""Johann Ernst Ellendt"", ""wikidata_id"":""Q18411557""} ```",21.65277099609375
lestragdiesdeso00tourgoog_0064,696,702,ϑυϊάλ5,Q1534037,PER,NIL,ϑυϊάλ5,No.,0
lestragdiesdeso00tourgoog_0064,729,737,Andocide,Q391654,PER,NIL,Andocide,no,0
lestragdiesdeso00tourgoog_0064,739,764,discours Sur les Mystères,Q87737021,WORK,NIL,discours Sur les Mystères,```json {} ```,0
lestragdiesdeso00tourgoog_0064,1249,1256,Eschine,Q317089,PER,Q317089,Eschine,"Based on the provided list of candidates and the context of the historical text, the entity mentioned between the [ENT] tags is highly likely to be ""Eschine"" (orataeur athénien). The context suggests that the text is discussing legal arguments and references to historical speeches, which aligns with the profile of Eschine, an orator from Athens. Therefore, the most appropriate Wikidata entity is: ```json {""wikipedia_page"":""Eschine"", ""wikidata_id"":""Q317089""} ```",24.96474838256836
lestragdiesdeso00tourgoog_0064,1258,1282,Discours contre Timurque,Q2995964,WORK,Q2995964,Contre Timarque,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags, ""Discours contre Timurque"" and ""Discours contre Timarque,"" is best matched by the candidate ""Contre Timarque"" with Wikidata ID ""Q2995964"". The JSON response is: ```json { ""wikipedia_page"": ""Contre Timarque"", ""wikidata_id"": ""Q2995964"" } ```",20.544227600097656
lestragdiesdeso00tourgoog_0064,1329,1333,Ajux,Q172725,PER,Q244212,Ajoux,"Based on the provided text, the entity mentioned between the [ENT] tags is ""Ajux Ajoux"". From the given list of candidates, the most appropriate Wikidata entity that matches this name is ""Ajoux"". Here is the JSON response: ```json {""wikipedia_page"": ""Ajoux"", ""wikidata_id"": ""Q244212""} ```",14.017461776733398
lestragdiesdeso00tourgoog_0067,11,18,Ellendt,Q18411800,PER,Q2265847,Elland,"Based on the input text and the provided list of candidates, the entity mentioned between the [ENT] tags seems to be ""Ellendt"". Among the candidates, the most appropriate one is: - Elland Here is the JSON response: ```json {""wikipedia_page"": ""Elland"", ""wikidata_id"": ""Q2265847""} ``` The entity ""Elland"" appears to be a British locality, which matches the context given.",10.455548286437988
lestragdiesdeso00tourgoog_0067,205,212,Linwood,NIL,PER,Q18668613,William Linwood,"```json {""wikipedia_page"": ""William Linwood"", ""wikidata_id"": ""Q18668613""} ```",18.009571075439453
lestragdiesdeso00tourgoog_0067,217,242,hymne homérique à Apollon,Q3798932,WORK,NIL,hymne homérique à Apollon,no,0
lestragdiesdeso00tourgoog_0067,251,264,"Lemnos,lcarie",Q209576,LOC,NIL,"Lemnos,lcarie",no,0
lestragdiesdeso00tourgoog_0067,266,272,Nhodes,Q43048,LOC,NIL,Nhodes,"Based on the provided text and list of candidates, the entity mentioned between the [ENT] tags ""Nhodes"" does not match with any of the candidates in the list. Therefore, I will return an empty JSON object. ```json {} ```",0
lestragdiesdeso00tourgoog_0067,276,281,Cnide,Q690575,LOC,Q690575,Cnide,"```json {""wikipedia_page"": ""Cnide"", ""wikidata_id"": ""Q690575""} ```",16.19046401977539
lestragdiesdeso00tourgoog_0067,287,297,les Perses,Q788458,WORK,NIL,les Perses,```json {} ```,0
lestragdiesdeso00tourgoog_0067,300,307,Eschyle,Q40939,PER,NIL,Eschyle,no,0
lestragdiesdeso00tourgoog_0067,435,446,Schneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,"```json { ""wikipedia_page"": ""Friedrich Wilhelm Schneidewin"", ""wikidata_id"": ""Q70043"" } ```",27.070974349975586
lestragdiesdeso00tourgoog_0067,608,613,Phil.,Q1415903,WORK,NIL,Phil.,```json {} ```,0
lestragdiesdeso00tourgoog_0067,641,647,Rhésus,Q667750,WORK,Q3429322,Rhesus,"```json { ""wikipedia_page"": ""Rhesus"", ""wikidata_id"": ""Q3429322"" } ``` The entity mentioned between the [ENT] tags, ""Rhésus"" in this case, is disambiguated to the Wikidata entity ""Rhesus"" (Q3429322) which corresponds to a group of rock.",17.167186737060547
lestragdiesdeso00tourgoog_0067,678,681,ſi.,Q8275,WORK,NIL,ſi.,no,0
lestragdiesdeso00tourgoog_0067,729,737,fragment,NIL,WORK,NIL,fragment,No,0
lestragdiesdeso00tourgoog_0067,740,747,Eupolis,Q459517,PER,Q459517,Eupolis,"{ ""wikipedia_page"": ""Eupolis"", ""wikidata_id"": ""Q459517"" }",22.0192813873291
lestragdiesdeso00tourgoog_0067,871,877,Lobeck,Q84734,PER,Q84734,Christian Lobeck,"```json {""wikipedia_page"":""Christian Lobeck"", ""wikidata_id"":""Q84734""} ```",22.83228302001953
lestragdiesdeso00tourgoog_0067,993,1010,Physiognomoniques,Q3303903,WORK,Q3303903,Physiognomica,"```json {""wikipedia_page"":""Physiognomiques"", ""wikidata_id"":""Q3303903""} ```",18.578935623168945
lestragdiesdeso00tourgoog_0067,1013,1024,"d’Aristote,",Q868,PER,NIL,"d’Aristote,",```json {} ```,0
lestragdiesdeso00tourgoog_0067,1035,1046,Aristophane,Q43353,PER,NIL,Aristophane,no,0
lestragdiesdeso00tourgoog_0067,1048,1058,Chevaliers,Q1215817,WORK,NIL,Chevaliers,```json {} ```,0
lestragdiesdeso00tourgoog_0067,1093,1108,OEdipe ἃ Οοίοπε,Q294001,WORK,NIL,OEdipe ἃ Οοίοπε,no,0
lestragdiesdeso00tourgoog_0067,1499,1507,Euripide,Q48305,PER,Q48305,Euripide,"```json { ""wikipedia_page"": ""Euripide"", ""wikidata_id"": ""Q48305"" } ```",25.036903381347656
lestragdiesdeso00tourgoog_0067,1509,1526,Iphigénie & Aulis,Q1233770,WORK,NIL,Iphigénie & Aulis,```json {} ```,0
lestragdiesdeso00tourgoog_0067,1783,1789,Wunder,Q15438962,PER,NIL,Wunder,"```json {""wikipedia_page"":"""", ""wikidata_id"":""""} ```",0
lestragdiesdeso00tourgoog_0067,1949,1955,Wander,Q15438962,PER,NIL,Wander,no,0
lestragdiesdeso00tourgoog_0081,312,319,Athènes,Q1524,LOC,NIL,Athènes,no,0
lestragdiesdeso00tourgoog_0081,325,332,Électre,Q733444,WORK,NIL,Électre,no,0
lestragdiesdeso00tourgoog_0081,478,486,OEd. Ro:,Q148643,WORK,Q14981671,Oros d'Alexandrie,"Based on the provided input text and list of candidates, the entity mentioned between the [ENT] tags is ""Oros d'Alexandrie"". Therefore, the corresponding Wikipedia page title and Wikidata ID are: ```json {""wikipedia_page"":""Oros d'Alexandrie"", ""wikidata_id"":""Q14981671""} ```",8.803712844848633
lestragdiesdeso00tourgoog_0089,133,143,ΟΕ Δ. (οί.,Q294001,WORK,NIL,ΟΕ Δ. (οί.,no,0
lestragdiesdeso00tourgoog_0089,171,183,ISehneidewin,Q70043,PER,NIL,ISehneidewin,No,0
lestragdiesdeso00tourgoog_0089,474,480,Wunder,Q15438962,PER,NIL,Wunder,no,0
lestragdiesdeso00tourgoog_0089,540,551,Schneidewin,Q70043,PER,NIL,Schneidewin,no,0
lestragdiesdeso00tourgoog_0089,642,648,Teucer,Q878184,PER,NIL,Teucer,```json {} ```,0
lestragdiesdeso00tourgoog_0089,651,658,Ménélas,Q171839,PER,Q171839,Ménélas,"```json {""wikipedia_page"":""Ménélas"", ""wikidata_id"":""Q171839""} ```",17.428333282470703
lestragdiesdeso00tourgoog_0089,893,900,Électre,Q733444,WORK,Q131651,Électre,"```json {""wikipedia_page"":""Électre"", ""wikidata_id"":""Q131651""} ```",17.9273624420166
