doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent2,215,224,Kramarsch,NIL,PER,Q159227,Karel Kramář,"{ ""wikipedia_page"": ""Karel Kramář"", ""wikidata_id"": ""Q159227"" }",17.792062759399414
hidden_test_de_1_sent2,782,786,Thun,Q79181,PER,Q708618,Heinrich Matthias von Thurn,"```json { ""wikipedia_page"": ""Heinrich Matthias von Thurn"", ""wikidata_id"": ""Q708618"" } ```",16.69379997253418
hidden_test_de_1_sent2,1417,1421,Thun,Q79181,PER,Q80100750,Maximilian Graf von Thun und Hohenstein,"```json { ""wikipedia_page"": ""Maximilian Graf von Thun und Hohenstein"", ""wikidata_id"": ""Q80100750"" } ```",15.797436714172363
hidden_test_de_1_sent2,1683,1688,"Thun,",Q79181,PER,Q708618,Heinrich Matthias von Thurn,"```json { ""wikipedia_page"": ""Heinrich Matthias von Thurn"", ""wikidata_id"": ""Q708618"" } ```",12.246362686157227
hidden_test_de_1_sent3,14,41,Klub der Vereinigten Linken,NIL,ORG,Q15852613,Vereinigte Deutsche Linke,"```json { ""wikipedia_page"": ""Vereinigte Deutsche Linke"", ""wikidata_id"": ""Q15852613"" } ```",20.952322006225586
hidden_test_de_1_sent3,88,97,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,"```json { ""wikipedia_page"": ""Ignaz von Plener"", ""wikidata_id"": ""Q78834"" } ```",19.115686416625977
hidden_test_de_1_sent3,162,171,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,"```json { ""wikipedia_page"": ""Ignaz von Plener"", ""wikidata_id"": ""Q78834"" } ```",19.985506057739258
hidden_test_de_1_sent3,413,422,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,"```json { ""wikipedia_page"": ""Ignaz von Plener"", ""wikidata_id"": ""Q78834"" } ```",19.238040924072266
hidden_test_de_1_sent4,583,592,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,"```json { ""wikipedia_page"": ""Ignaz von Plener"", ""wikidata_id"": ""Q78834"" } ```",19.153310775756836
hidden_test_de_1_sent5,876,880,Thun,Q79181,PER,Q80100750,Maximilian Graf von Thun und Hohenstein,"```json { ""wikipedia_page"": ""Maximilian Graf von Thun und Hohenstein"", ""wikidata_id"": ""Q80100750"" } ```",14.523977279663086
hidden_test_de_1_sent6,36,40,Thun,Q79181,PER,Q80100750,Maximilian Graf von Thun und Hohenstein,"```json { ""wikipedia_page"": ""Maximilian Graf von Thun und Hohenstein"", ""wikidata_id"": ""Q80100750"" } ```",16.376794815063477
hidden_test_de_1_sent6,91,100,Kramarsch,NIL,PER,Q159227,Karel Kramář,"{ ""wikipedia_page"": ""Karel Kramář"", ""wikidata_id"": ""Q159227"" }",17.2970027923584
hidden_test_de_1_sent6,133,148,MariePospischil,NIL,PER,Q12035450,Maria Pospischil,"Based on the given text and list of candidates, the entity [ENT] MariePospischil [ENT] is most likely referring to Maria Pospischil. Therefore, the corresponding Wikipedia page title and Wikidata ID are: ```json { ""wikipedia_page"": ""Maria Pospischil"", ""wikidata_id"": ""Q12035450"" } ```",25.909624099731445
hidden_test_de_1_sent6,222,226,Thun,Q79181,PER,Q99693204,Graf Joseph von Thun und Hohenstein,"```json {""wikipedia_page"": ""Graf Joseph von Thun und Hohenstein"", ""wikidata_id"": ""Q99693204""} ```",18.161306381225586
hidden_test_de_1_sent6,330,334,Thun,Q79181,PER,Q17455104,Maximilian Graf von Thun und Hohenstein,"{ ""wikipedia_page"": ""Maximilian Graf von Thun und Hohenstein"", ""wikidata_id"": ""Q17455104"" }",15.311758041381836
hidden_test_de_1_sent6,450,459,Schamanek,NIL,PER,Q11985994,Václav Šamánek,"{ ""wikipedia_page"": ""Václav Šamánek"", ""wikidata_id"": ""Q11985994"" }",23.64052391052246
hidden_test_de_1_sent6,571,580,Schamanek,NIL,PER,Q11985994,Václav Šamánek,"```json { ""wikipedia_page"": ""Václav Šamánek"", ""wikidata_id"": ""Q11985994"" } ```",23.10778045654297
hidden_test_de_1_sent6,627,631,Thun,Q79181,PER,Q15850858,Thun,"```json { ""wikipedia_page"": ""Thun"", ""wikidata_id"": ""Q15850858"" } ```",18.88178825378418
hidden_test_de_1_sent6,683,687,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json { ""wikipedia_page"": ""Franz von Thun und Hohenstein"", ""wikidata_id"": ""Q79119"" } ```",16.370220184326172
hidden_test_de_1_sent6,807,816,Kramarsch,NIL,PER,Q84714,Karl Karmarsch,"Based on the provided text and the list of candidates, the entity ""Dr. [ENT] Kramarsch"" is highly likely to be referring to ""Karl Karmarsch"" due to the similarity in names and the context provided. Therefore, the disambiguated entity is: ```json { ""wikipedia_page"": ""Karl Karmarsch"", ""wikidata_id"": ""Q84714"" } ```",18.495376586914062
hidden_test_de_1_sent6,922,926,Thun,Q79181,PER,Q99693204,Graf Joseph von Thun und Hohenstein,"```json { ""wikipedia_page"": ""Graf Joseph von Thun und Hohenstein"", ""wikidata_id"": ""Q99693204"" } ```",17.859281539916992
hidden_test_de_1_sent6,1166,1170,Thun,Q79181,PER,Q17455104,Maximilian Graf von Thun und Hohenstein,"```json { ""wikipedia_page"": ""Maximilian Graf von Thun und Hohenstein"", ""wikidata_id"": ""Q17455104"" } ```",15.290773391723633
hidden_test_de_1_sent8,19,26,Klausen,Q378095,LOC,Q659844,Klausen,"{ ""wikipedia_page"": ""Klausen"", ""wikidata_id"": ""Q659844"" }",11.114585876464844
hidden_test_de_1_sent9,23,44,Johann von Wildenradt,NIL,PER,Q11540716,,"```json { ""wikipedia_page"": ""Johann von Wildenradt"", ""wikidata_id"": ""Q11540716"" } ```",24.903644561767578
hidden_test_de_1_sent10,368,376,Gaißmayr,NIL,PER,Q572435,Michael Gaismair,"```json { ""wikipedia_page"": ""Michael Gaismair"", ""wikidata_id"": ""Q572435"" } ```",13.753626823425293
hidden_test_de_1_sent10,381,389,Matthäus,NIL,PER,Q1169109,Matthäus Landauer,"{ ""wikipedia_page"": ""Matthäus Landauer"", ""wikidata_id"": ""Q1169109"" }",10.966946601867676
hidden_test_de_1_sent12,300,307,Golling,NIL,LOC,Q527800,Golling an der Salzach,"Based on the provided input text, the entity mentioned between the [ENT] tags is ""Golling"". The closest match from the list of candidates is: ```json { ""wikipedia_page"": ""Golling an der Salzach"", ""wikidata_id"": ""Q527800"" } ``` So, the JSON answer is: ```json { ""wikipedia_page"": ""Golling an der Salzach"", ""wikidata_id"": ""Q527800"" } ```",15.994821548461914
hidden_test_de_1_sent12,322,335,Thomas Reustl,NIL,PER,Q7793689,Thomas Russell,"Based on the input text and the provided list of candidates, the entity mentioned between the [ENT] tags is ""Thomas Reustl"". Among the list of candidates, the closest match is ""Robert Rösler"" (Q591210). However, considering the historical context and the name ""Thomas Reustl"", it seems more likely that the intended entity is ""Thomas Russell"" (Q7793689). Therefore, the JSON output is: ```json { ""wikipedia_page"": ""Thomas Russell"", ""wikidata_id"": ""Q7793689"" } ```",17.823760986328125
hidden_test_de_1_sent12,539,547,Radstatt,Q260950,LOC,Q698465,Bad Radkersburg,"```json { ""wikipedia_page"": ""Bad Radkersburg"", ""wikidata_id"": ""Q698465"" } ```",14.943248748779297
hidden_test_de_1_sent12,710,725,Dietrichstein's,NIL,PER,Q688530,Dietrichstein,"```json { ""wikipedia_page"": ""Dietrichstein"", ""wikidata_id"": ""Q688530"" } ```",15.001810073852539
hidden_test_de_1_sent13,4,12,Radstatt,Q260950,LOC,NIL,Radstatt,"Based on the input text and the JSON list of candidates, the entities mentioned between the [ENT] tags are: 1. Radstatt 2. Schladming Neither of these entities can be confidently matched with any of the provided candidates. Therefore, the output will be: ```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
