doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fi_1,617,626,Roosevelt,Q33866,PER,Q33866,Theodore Roosevelt,"```json {""wikipedia_page"": ""Theodore Roosevelt"", ""wikidata_id"": ""Q33866""} ```",16.294301986694336
hidden_test_fi_1,790,801,Toulousesta,Q7880,LOC,Q7880,Toulouse,"```json {""wikipedia_page"": ""Toulouse"", ""wikidata_id"": ""Q7880""} ```",23.24056053161621
hidden_test_fi_1,1367,1377,Pietarissa,Q656,LOC,Q656,Pietari,"```json {""wikipedia_page"": ""Pietari"", ""wikidata_id"": ""Q656""} ```",22.116777420043945
hidden_test_fi_1,1564,1575,Newyorkista,Q60,LOC,Q60,New York,,25.4447078704834
hidden_test_fi_1,1647,1658,Rooseveltia,Q33866,PER,Q33866,Theodore Roosevelt,"```json {""wikipedia_page"": ""Theodore Roosevelt"", ""wikidata_id"": ""Q33866""} ```",22.26095962524414
hidden_test_fi_1,1682,1693,Englannissa,Q21,LOC,Q21,Englanti,"```json {""wikipedia_page"": ""Englanti"", ""wikidata_id"": ""Q21""} ```",22.72352409362793
hidden_test_fi_1,1887,1899,Kuparisaaren,Q5168740,LOC,Q5168740,Kuparisaari,"```json {""wikipedia_page"": ""Kuparisaari"", ""wikidata_id"": ""Q5168740""} ```",17.429279327392578
hidden_test_fi_1,2909,2923,Heidelbergissä,Q2966,LOC,Q2966,Heidelberg,"```json {""wikipedia_page"": ""Heidelberg"", ""wikidata_id"": ""Q2966""} ```",24.734472274780273
hidden_test_fi_1,3389,3397,Weimarin,Q3955,LOC,Q3955,Weimar,"```json {""wikipedia_page"": ""Weimar"", ""wikidata_id"": ""Q3955""} ```",16.31236457824707
hidden_test_fi_1,3650,3660,Berlinistä,Q64,LOC,Q64,Berliini,"```json {""wikipedia_page"": ""Berliini"", ""wikidata_id"": ""Q64""} ```",22.738096237182617
hidden_test_fi_1,4053,4067,Heidelbergissä,Q2966,LOC,Q2966,Heidelberg,,27.255218505859375
hidden_test_fi_1,4099,4109,Wei-mariin,Q3955,LOC,Q3955,Weimar,"```json {""wikipedia_page"": ""Weimar"", ""wikidata_id"": ""Q3955""} ```",21.12015724182129
hidden_test_fi_1,4511,4524,Paul Sabatier,Q104575,PER,Q104575,Paul Sabatier,,26.06829071044922
hidden_test_fi_1,4531,4540,Toulousen,Q7880,LOC,Q7880,Toulouse,"```json {""wikipedia_page"": ""Toulouse"", ""wikidata_id"": ""Q7880""} ```",22.09169578552246
hidden_test_fi_1,4613,4697,"yliopiston professorin,Nobelin viimevuotisen kemianpalkin-non saajan Paul Sabatier’n",Q104575,PER,Q104575,Paul Sabatier,"```json {""wikipedia_page"": ""Paul Sabatier"", ""wikidata_id"": ""Q104575""} ```",15.037687301635742
hidden_test_fi_1,4710,4730,Presidentti Poincaré,Q191974,PER,Q191974,Raymond Poincaré,"```json {""wikipedia_page"": ""Raymond Poincaré"", ""wikidata_id"": ""Q191974""} ```",19.450685501098633
hidden_test_fi_1,4759,4768,Toulousea,Q7880,LOC,Q7880,Toulouse,"```json {""wikipedia_page"": ""Toulouse"", ""wikidata_id"": ""Q7880""} ```",22.86128807067871
hidden_test_fi_1,4877,4896,prof. Saba-tier’lle,Q104575,PER,Q104575,Paul Sabatier,"```json {""wikipedia_page"": ""Paul Sabatier"", ""wikidata_id"": ""Q104575""} ```",19.1950740814209
hidden_test_fi_1,4910,4918,Poincaré,Q191974,PER,Q191974,Raymond Poincaré,"```json {""wikipedia_page"": ""Raymond Poincaré"", ""wikidata_id"": ""Q191974""} ```",17.980558395385742
hidden_test_fi_2,29,45,Helsingin pörssi,Q581755,ORG,Q581755,Helsingin pörssi,,32.79808807373047
hidden_test_fi_2,46,62,Arvopaperipörssi,Q581755,ORG,Q581755,Helsingin pörssi,"```json {""wikipedia_page"": ""Helsingin pörssi"", ""wikidata_id"": ""Q581755""} ```",23.31022834777832
hidden_test_fi_2,1825,1853,kauppaneuvosVictor Forselius,Q17380259,PER,Q17380259,Victor Forselius,"```json {""wikipedia_page"": ""Victor Forselius"", ""wikidata_id"": ""Q17380259""} ```",22.655277252197266
hidden_test_fi_2,1866,1889,merikapt.G. E. Mattsson,Q17382504,PER,Q17382504,Gustaf Edvard Mattson,,25.206432342529297
hidden_test_fi_2,1922,1947,Kauppaneuvos Forseliuksen,Q17380259,PER,Q17380259,Victor Forselius,"```json {""wikipedia_page"": ""Victor Forselius"", ""wikidata_id"": ""Q17380259""} ```",18.821277618408203
hidden_test_fi_2,1973,1992,kapt. G. E.Mattsson,Q17382504,PER,Q17382504,Gustaf Edvard Mattson,"```json {""wikipedia_page"": ""Gustaf Edvard Mattson"", ""wikidata_id"": ""Q17382504""} ```",23.054542541503906
hidden_test_fi_2,2114,2136,konsuli Alfr.Jacobsson,Q5404771,PER,Q5404771,Alfred Jacobsson,"```json {""wikipedia_page"": ""Alfred Jacobsson"", ""wikidata_id"": ""Q5404771""} ```",15.563507080078125
hidden_test_fi_2,2274,2296,tehtailija Edv. Åström,Q6256041,PER,Q6256041,Edvard Åström,"```json {""wikipedia_page"": ""Edvard Åström"", ""wikidata_id"": ""Q6256041""} ```",15.571858406066895
hidden_test_fi_2,2390,2406,hra Alex.Törnudd,NIL,PER,NIL,hra Alex.Törnudd,no,0
hidden_test_fi_2,2453,2472,hra Harry Wege-lius,Q11861659,PER,Q11861659,Harry Wegelius,"```json {""wikipedia_page"": ""Harry Wegelius"", ""wikidata_id"": ""Q11861659""} ```",14.643710136413574
hidden_test_fi_2,2542,2556,Manchesterissa,Q18125,LOC,Q18125,Manchester,"```json {""wikipedia_page"": ""Manchester"", ""wikidata_id"": ""Q18125""} ```",23.353618621826172
hidden_test_fi_2,2982,2996,Manchesterissa,Q18125,LOC,Q18125,Manchester,"```json {""wikipedia_page"": ""Manchester"", ""wikidata_id"": ""Q18125""} ```",24.186124801635742
hidden_test_fi_2,3447,3458,Englannissa,Q21,LOC,Q21,Englanti,"```json {""wikipedia_page"": ""Englanti"", ""wikidata_id"": ""Q21""} ```",22.65068817138672
hidden_test_fi_2,4282,4291,Tanskassa,Q35,LOC,Q35,Tanska,"```json {""wikipedia_page"": ""Tanska"", ""wikidata_id"": ""Q35""} ```",22.209341049194336
hidden_test_fi_2,4593,4609,Viipurinläänissä,Q1144791,ORG,Q1144791,Viipurin lääni,,26.973430633544922
hidden_test_fi_2,4628,4642,Viipurinläänin,Q1144791,ORG,Q1144791,Viipurin lääni,,25.209745407104492
hidden_test_fi_2,4821,4838,Viipurin läänissä,Q1144791,ORG,Q1144791,Viipurin lääni,,30.830228805541992
hidden_test_fi_2,4933,4941,Viipurin,Q14657,LOC,Q14657,Viipuri,,28.742380142211914
hidden_test_fi_2,5115,5123,Viipurin,Q14657,LOC,Q14657,Viipuri,,25.64722442626953
hidden_test_fi_3,1989,1995,Suomen,Q33,LOC,Q33,Suomi,"```json {""wikipedia_page"": ""Suomi"", ""wikidata_id"": ""Q33""} ```",22.051362991333008
hidden_test_fi_3,2031,2038,Venäjän,Q159,LOC,Q159,Venäjä,"```json {""wikipedia_page"": ""Venäjä"", ""wikidata_id"": ""Q159""} ```",22.103342056274414
hidden_test_fi_3,2137,2166,kahvilanomistaja Mikail Kreso,NIL,PER,NIL,kahvilanomistaja Mikail Kreso,no,0
hidden_test_fi_3,2168,2198,leskirou-va Jekaterina Vtorova,NIL,PER,NIL,leskirou-va Jekaterina Vtorova,no,0
