doc_id,surface,start_pos,end_pos,type,identifier
hidden_test_de_1_sent2,Prag,1353,1357,LOC,Q1085
hidden_test_de_1_sent2,Thun,1417,1421,PER,Q79181
hidden_test_de_1_sent6,Thun,222,226,PER,Q79181
hidden_test_de_1_sent6,Thun,330,334,PER,Q79181
hidden_test_de_1_sent6,Thun,922,926,PER,Q79181
hidden_test_de_1_sent6,Thun,1166,1170,PER,Q79181
hidden_test_de_1_sent12,Golling,300,307,LOC,NIL
hidden_test_de_1_sent12,Radstatt,539,547,LOC,Q260950
hidden_test_de_1_sent73,London,0,6,LOC,NIL
hidden_test_de_1_sent87,Wien,15,19,LOC,NIL
hidden_test_de_1_sent96,Amerika,27,34,LOC,NIL
hidden_test_de_1_sent97,Bruno Zappert,38,51,PER,NIL
hidden_test_de_1_sent101,Frank,5,10,PER,NIL
hidden_test_de_1_sent144,Hainfeld,109,117,LOC,NIL
hidden_test_de_1_sent147,Franz Lütgenau,8,22,PER,NIL
hidden_test_de_1_sent153,Wilhelm Liebknecht,4,22,PER,NIL
hidden_test_de_1_sent154,Wien,110,114,LOC,NIL
hidden_test_de_1_sent192,Wien,29,33,LOC,NIL
hidden_test_de_1_sent194,Wien,59,63,LOC,NIL
hidden_test_de_1_sent194,Wien,84,88,LOC,NIL
hidden_test_de_1_sent194,Franzensfeste,97,110,LOC,NIL
hidden_test_de_1_sent194,Leoben,209,215,LOC,NIL
hidden_test_de_1_sent195,Laxenburg,108,117,LOC,NIL
hidden_test_de_1_sent195,Potten¬dorf,137,148,LOC,NIL
hidden_test_de_1_sent195,Laxenburg,586,595,LOC,NIL
hidden_test_de_1_sent197,Leobersdorf,0,11,LOC,NIL
hidden_test_de_1_sent197,Böslau,64,70,LOC,NIL
hidden_test_de_1_sent197,Leobersdorf,116,127,LOC,NIL
hidden_test_de_1_sent197,Gutenstein,139,149,LOC,NIL
hidden_test_de_1_sent197,Laxenburg,204,213,LOC,NIL
hidden_test_de_1_sent197,Mödling,225,232,LOC,NIL
hidden_test_de_1_sent197,Böslau,544,550,LOC,NIL
hidden_test_de_1_sent197,Kaltenleutgeben,1238,1253,LOC,NIL
hidden_test_de_1_sent197,Mödling,1294,1301,LOC,NIL
hidden_test_de_1_sent197,Triest,1351,1357,LOC,NIL
hidden_test_de_1_sent197,Kaltenleutgeben,1359,1374,LOC,NIL
hidden_test_de_1_sent201,Basel,82,87,LOC,NIL
hidden_test_de_1_sent206,Rußland,259,266,LOC,NIL
hidden_test_de_1_sent215,Josef Scheu,36,47,PER,NIL
hidden_test_de_1_sent223,Olmütz,14,20,LOC,NIL
hidden_test_de_1_sent237,Wien,37,41,LOC,NIL
hidden_test_de_1_sent241,Wien,31,35,LOC,NIL
hidden_test_de_1_sent247,Triest,43,49,LOC,NIL
hidden_test_de_1_sent249,Triest,23,29,LOC,NIL
hidden_test_de_1_sent254,Wien,35,39,LOC,NIL
hidden_test_de_1_sent260,Wien,69,73,LOC,NIL
hidden_test_de_1_sent264,Wien,38,42,LOC,NIL
hidden_test_de_1_sent283,Wien,50,54,LOC,NIL
hidden_test_de_1_sent285,Wien,36,40,LOC,NIL
hidden_test_de_1_sent293,Wien,99,103,LOC,NIL
hidden_test_de_1_sent297,Wien,54,58,LOC,NIL
hidden_test_de_2_sent2,Bienerth,486,494,PER,Q79052
hidden_test_de_2_sent2,Satan,2585,2590,PER,Q35230
hidden_test_de_2_sent3,Avenue Friedland,256,272,LOC,NIL
hidden_test_de_2_sent3,Himmels.,1910,1918,LOC,Q5694585
hidden_test_de_2_sent133,Pafitsch,31,39,PER,Q313843
hidden_test_de_2_sent137,Bulgariens,803,813,LOC,Q147909
hidden_test_de_2_sent145,London,0,6,LOC,Q84
hidden_test_de_2_sent149,Wilson Line,60,71,ORG,NIL
hidden_test_de_2_sent151,New=York,0,8,LOC,Q1384
hidden_test_de_2_sent153,Rudolfs von Habsburg,341,361,PER,Q76956
hidden_test_de_2_sent170,Haa'eustein & Vogler,58,78,ORG,NIL
hidden_test_de_2_sent170,H. Schalek,109,119,PER,NIL
hidden_test_de_2_sent172,Sozialdemokratie,34,50,ORG,Q121254
hidden_test_de_2_sent185,Deutschland:,0,12,LOC,Q43287
hidden_test_de_2_sent189,V. Wien¬straße 89 A,52,71,LOC,NIL
hidden_test_de_2_sent197,Bienerth,243,251,PER,Q79052
hidden_test_de_2_sent198,Bienerths,160,169,PER,Q79052
hidden_test_de_2_sent198,Bienerth,1055,1063,PER,Q79052
hidden_test_de_2_sent198,Bienerth,1355,1363,PER,Q79052
hidden_test_de_2_sent205,Gott,339,343,PER,Q825
hidden_test_de_2_sent205,Stürgkhs,1499,1507,PER,Q78537
hidden_test_de_2_sent205,Herrn v. Haerdtl,2631,2647,PER,NIL
hidden_test_de_2_sent208,Favoriten,490,499,LOC,Q1398933
hidden_test_de_2_sent209,Volksküchenverein,96,113,ORG,NIL
hidden_test_de_2_sent213,Kahlenberg,1165,1175,LOC,Q697119
hidden_test_de_2_sent214,Rußland,1087,1094,LOC,Q34266
hidden_test_de_2_sent215,Ungarn,120,126,LOC,Q171150
hidden_test_de_2_sent215,Rothschildschen Nervenheilanstalt,934,967,ORG,NIL
hidden_test_de_2_sent215,Hofzeile,1294,1302,LOC,Q65238254
hidden_test_de_2_sent215,Hofzeile,2075,2083,LOC,Q65238254
hidden_test_de_2_sent271,Payerbach,2,11,LOC,NIL
hidden_test_de_2_sent271,Güns,31,35,LOC,NIL
hidden_test_de_2_sent274,Kanizsa,48,55,LOC,NIL
hidden_test_de_2_sent274,Pakrácz=Lipik,73,86,LOC,NIL
hidden_test_de_2_sent277,Triest,2,8,LOC,NIL
hidden_test_de_2_sent277,Gonobitz,63,71,LOC,NIL
hidden_test_de_2_sent277,Villach,85,92,LOC,NIL
hidden_test_de_2_sent277,Bozen,93,98,LOC,NIL
hidden_test_de_2_sent277,Meran,100,105,LOC,NIL
hidden_test_de_2_sent277,Wolfsberg,137,146,LOC,NIL
hidden_test_de_2_sent280,Stainz,28,34,LOC,NIL
hidden_test_de_2_sent284,Vordernberg,78,89,LOC,NIL
hidden_test_de_2_sent292,Leoben,8,14,LOC,NIL
hidden_test_de_2_sent302,Banjaluka,21,30,LOC,NIL
hidden_test_de_2_sent306,Fiume,61,66,LOC,NIL
hidden_test_de_2_sent307,Budapest,0,8,LOC,NIL
hidden_test_de_2_sent308,Meran,29,34,LOC,NIL
hidden_test_de_2_sent308,Arco,36,40,LOC,NIL
hidden_test_de_2_sent312,Triest,2,8,LOC,NIL
hidden_test_de_2_sent312,Görz,10,14,LOC,NIL
hidden_test_de_2_sent312,Wolfsberg,106,115,LOC,NIL
hidden_test_de_2_sent312,Meran,116,121,LOC,NIL
hidden_test_de_2_sent312,Köflach,167,174,LOC,NIL
hidden_test_de_2_sent315,Triest,2,8,LOC,NIL
hidden_test_de_2_sent315,Görz,34,38,LOC,NIL
hidden_test_de_2_sent315,Agram,46,51,LOC,NIL
hidden_test_de_2_sent316,Leoben,91,97,LOC,NIL
hidden_test_de_2_sent320,Pakrácz=Lipik,14,27,LOC,NIL
hidden_test_de_2_sent324,Steinamanger,2,14,LOC,NIL
hidden_test_de_2_sent328,Triest,2,8,LOC,NIL
hidden_test_de_2_sent328,Fiume,54,59,LOC,NIL
hidden_test_de_2_sent328,Sissek,61,67,LOC,NIL
hidden_test_de_2_sent328,Arco,101,105,LOC,NIL
hidden_test_de_2_sent328,Inns¬bruck,114,124,LOC,NIL
hidden_test_de_2_sent328,Klagenfurt,126,136,LOC,NIL
hidden_test_de_2_sent328,Leoben,151,157,LOC,NIL
hidden_test_de_2_sent341,Triest,2,8,LOC,NIL
hidden_test_de_2_sent341,Radkersburg,62,73,LOC,NIL
hidden_test_de_2_sent341,Wies,84,88,LOC,NIL
hidden_test_de_2_sent341,Vordernberg,97,108,LOC,NIL
hidden_test_de_2_sent349,Neuberg,19,26,LOC,NIL
hidden_test_de_2_sent353,Sarajevo,2,10,LOC,NIL
hidden_test_de_2_sent357,Rovigno,21,28,LOC,NIL
hidden_test_de_2_sent361,Venedig,2,9,LOC,NIL
hidden_test_de_2_sent361,Aslenz,90,96,LOC,NIL
hidden_test_de_2_sent362,Marburg,155,162,LOC,NIL
hidden_test_de_2_sent370,Vereines,823,831,ORG,Q1125001
hidden_test_de_7_sent1,Rudolf Wagner,181,194,PER,NIL
hidden_test_de_7_sent2,illustr. Monatsschrift „Bergland“,8,41,PROD,NIL
hidden_test_de_7_sent17,B 22=4=29,8,17,LOC,NIL
hidden_test_de_7_sent22,Vaterländische Front,84,104,ORG,Q695482
hidden_test_de_7_sent31,Heeresministerium,139,156,ORG,Q872173
hidden_test_de_7_sent31,Ministerrat,248,259,ORG,NIL
hidden_test_de_7_sent31,militärischenAssistenzkörper,330,358,ORG,Q55694738
hidden_test_de_7_sent31,Schutz¬korps,795,807,ORG,Q1454936
hidden_test_de_7_sent87,"Innsbruck, Maria-Theresien-Straße 21",176,212,LOC,Q647485
hidden_test_de_7_sent93,A. Sachsenheims,136,151,ORG,NIL
hidden_test_de_8_sent17,Dürnbach,50,58,LOC,Q673446
hidden_test_de_8_sent17,Wien,310,314,LOC,Q1741
hidden_test_de_8_sent19,"Wien, Nußdorferstraße",319,340,LOC,NIL
