doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
NZZ-1798-01-20-a-p0002,47,59,Buonaparte's,Q517,PER,NIL,Buonaparte's,no,0
NZZ-1798-01-20-a-p0002,318,330,Frank reichs,Q142,LOC,Q146246,Fränkisches Reich,"```json { ""wikipedia_page"": ""Fränkisches Reich"", ""wikidata_id"": ""Q146246"" } ``` The text mentions ""Frank reichs"", which refers to the Frankish Empire, or the Fränkisches Reich.",18.549236297607422
NZZ-1798-01-20-a-p0002,1769,1781,Basseville's,Q3339973,PER,NIL,Basseville's,no,0
NZZ-1798-01-20-a-p0002,1815,1826,Gen. Duphot,Q977001,PER,NIL,Gen. Duphot,No.,0
NZZ-1808-04-29-a-p0002,468,490,danischen Blatte Dagen,Q1768412,PROD,Q1157201,Dagen,"Based on the provided text and candidates: The entity mentioned between the [ENT] tags is ""Dänisches Blatte Dagen"". Out of the provided candidates, the most appropriate Wikidata entity is: - Wikipedia Page Title: Dagen - Wikidata ID: Q1157201 ```json { ""wikipedia_page"": ""Dagen"", ""wikidata_id"": ""Q1157201"" } ```",12.512188911437988
NZZ-1808-04-29-a-p0002,580,587,Rußland,Q159,LOC,NIL,Rußland,```json {} ```,0
NZZ-1808-04-29-a-p0002,653,660,Seeland,Q25535,LOC,NIL,Seeland,```json {} ```,0
NZZ-1808-04-29-a-p0002,774,781,Rußland,Q159,LOC,NIL,Rußland,```json {} ```,0
NZZ-1808-04-29-a-p0002,790,808,General Hutchinson,Q321765,PER,NIL,General Hutchinson,no,0
NZZ-1808-04-29-a-p0002,883,901,General Hutchinson,Q321765,PER,NIL,General Hutchinson,```json {} ```,0
NZZ-1808-04-29-a-p0002,1282,1289,England,Q21,LOC,NIL,England,no,0
NZZ-1808-04-29-a-p0002,1440,1451,Bartenstein,Q809585,LOC,Q459235,Johann Christoph von Bartenstein,"Based on the input text and the provided list of candidates, the most appropriate Wikidata entity for the term ""Bartenstein"" identified between the [ENT] tags is: - Wikidata ID: Q459235 - Wikipedia Page Title: Johann Christoph von Bartenstein Here is the JSON formatted answer: ```json {""wikipedia_page"": ""Johann Christoph von Bartenstein"", ""wikidata_id"": ""Q459235""} ```",10.211258888244629
NZZ-1808-04-29-a-p0002,1562,1570,Dänemark,Q35,LOC,NIL,Dänemark,```json {} ```,0
NZZ-1808-04-29-a-p0002,1942,1952,Lord Gower,Q334145,PER,NIL,Lord Gower,```json {} ```,0
NZZ-1808-04-29-a-p0002,3060,3070,Dä¬ nemark,Q35,LOC,NIL,Dä¬ nemark,no,0
NZZ-1808-04-29-a-p0002,3213,3222,Kronstadt,Q155863,LOC,NIL,Kronstadt,```json {} ```,0
NZZ-1808-04-29-a-p0002,3527,3536,Kronstadt,Q155863,LOC,NIL,Kronstadt,no,0
NZZ-1808-04-29-a-p0002,3800,3825,Hamburger-Korrespondenten,Q822923,PROD,NIL,Hamburger-Korrespondenten,```json {} ```,0
NZZ-1808-04-29-a-p0002,3875,3904,neuesten Berlinischen Zeitung,Q675003,PROD,NIL,neuesten Berlinischen Zeitung,no,0
NZZ-1808-04-29-a-p0002,3926,3941,H. von Rotzebue,NIL,PER,Q23710528,Christian Ludwig Kotzebue,,22.037933349609375
NZZ-1818-01-09-a-p0001,404,426,würdige De¬ kan Kaiser,NIL,PER,Q181765,Römisch-deutscher Kaiser,"Given the input text and the list of candidates, the entities mentioned between the [ENT] tags are the ""würdige De¬ kan Kaiser"" and the ""in Ansbach"". Based on the historical context and the list of candidates, the most appropriate Wikidata entity for the ""würdige De¬ kan Kaiser"" mentioned is ""Kaiser des Heiligen Römischen Reiches"". The most appropriate Wikidata entity for the ""in Ansbach"" is not listed in the provided candidates, so it will be considered as not matching with high confidence. Therefore, the JSON response for the disambiguated entity is: ```json {""wikipedia_page"":""Römisch-deutscher Kaiser"", ""wikidata_id"":""Q181765""} ```",8.982915878295898
NZZ-1818-01-09-a-p0001,934,957,protestantischen Kirche,Q2113518,ORG,Q23540,Protestantismus,"Based on the input text and the provided list of candidates, the entity mentioned between the [ENT] tags is ""Protestantische Kirche"". The most appropriate Wikidata entity from the given list of candidates is: ```json {""wikipedia_page"":""Protestantismus"", ""wikidata_id"":""Q23540""} ``` This selection is made based on the context of the text and the description of the candidates.",18.50625991821289
NZZ-1818-01-09-a-p0001,1276,1289,Schmidthammer,NIL,PER,Q6168547,Nathaniel Schmidt,,23.953941345214844
NZZ-1818-01-09-a-p0001,1335,1358,Realschul¬ Buchhandlung,Q2516675,ORG,NIL,Realschul¬ Buchhandlung,no,0
NZZ-1818-01-09-a-p0001,1501,1553,gelehrte und freymü¬ thige Oberhofprediger Dr. Ammon,Q213786,PER,NIL,gelehrte und freymü¬ thige Oberhofprediger Dr. Ammon,```json {} ```,0
NZZ-1818-01-09-a-p0001,2054,2106,"ehrwürdige Antistes der Zürcheri¬ schen Kirche, Heß,",Q121947,PER,NIL,"ehrwürdige Antistes der Zürcheri¬ schen Kirche, Heß,",no,0
NZZ-1818-01-09-a-p0001,2905,2913,Europens,Q46,LOC,NIL,Europens,no,0
NZZ-1818-01-09-a-p0001,3500,3533,Euro¬ päischen Brittischen Inseln,Q38272,LOC,NIL,Euro¬ päischen Brittischen Inseln,No,0
NZZ-1828-05-21-a-p0001,0,32,Schweizerische Eidgenossenschaft,Q39,LOC,Q435583,Alte Eidgenossenschaft,,26.881654739379883
NZZ-1828-05-21-a-p0001,38,67,große Rath des Standes Luzern,Q27897675,ORG,NIL,große Rath des Standes Luzern,no,0
NZZ-1838-03-30-a-p0001,0,6,Schwyz,Q12433,LOC,NIL,Schwyz,```json {} ```,0
NZZ-1838-03-30-a-p0001,101,118,hohe Stand Schwyz,Q12433,LOC,NIL,hohe Stand Schwyz,no,0
NZZ-1838-03-30-a-p0001,129,145,alte Land Schwyz,Q12433,LOC,NIL,alte Land Schwyz,"```json { ""wikipedia_page"": """", ""wikidata_id"": """" } ```",0
NZZ-1838-03-30-a-p0001,1524,1547,hohen Standes Neuenburg,Q12738,LOC,NIL,hohen Standes Neuenburg,```json {} ```,0
NZZ-1838-03-30-a-p0001,2284,2295,Neuen¬ burg,Q12738,LOC,Q509783,Neuenburg am Rhein,"Based on the input text and the provided list of candidates, the entity mentioned between the [ENT] tags is most likely the city of ""Neuenburg"" in Switzerland. The most appropriate Wikidata entity from the list of candidates is ""Neuenburg am Rhein"" which has a Wikidata ID of ""Q509783"" and a Wikipedia page title of ""Neuenburg am Rhein"". ```json { ""wikipedia_page"": ""Neuenburg am Rhein"", ""wikidata_id"": ""Q509783"" } ```",14.79517650604248
NZZ-1838-03-30-a-p0001,2392,2398,Schwyz,Q12433,LOC,NIL,Schwyz,no,0
NZZ-1838-03-30-a-p0001,2606,2612,Schwyz,Q12433,LOC,NIL,Schwyz,```json {} ```,0
NZZ-1838-03-30-a-p0001,3229,3242,Bezirk Schwyz,Q74818,LOC,Q12433,Kanton Schwyz,,24.56832504272461
NZZ-1838-03-30-a-p0001,4659,4676,Eidgenossenschaft,Q39,LOC,NIL,Eidgenossenschaft,no,0
NZZ-1848-01-21-a-p0005,299,319,derrn Oberst Brunner,NIL,PER,Q496397,Andreas Brunner,"Based on the provided text and the list of candidates, the entity ""Oberst Brunner"" mentioned between the [ENT] tags can be disambiguated to the Wikidata entity with the ID ""Q496397"" and the Wikipedia page title ""Andreas Brunner"". ```json { ""wikipedia_page"": ""Andreas Brunner"", ""wikidata_id"": ""Q496397"" } ```",14.90334701538086
NZZ-1848-01-21-a-p0005,595,611,östliche Schweiz,Q31003,LOC,NIL,östliche Schweiz,```json {} ```,0
NZZ-1848-01-21-a-p0005,1367,1387,Herrn Oberst Brunner,NIL,PER,Q15549957,Philipp Brunner,"Based on the provided text, the entity mentioned between the [ENT] tags is likely ""Herrn Oberst Brunner"". Among the given candidates, the most appropriate match is: ```json {""wikipedia_page"": ""Philipp Brunner"", ""wikidata_id"": ""Q15549957""} ```",13.98043155670166
NZZ-1848-01-21-a-p0005,1422,1437,Kantonen Zürich,Q11943,LOC,NIL,Kantonen Zürich,```json {} ```,0
NZZ-1848-01-21-a-p0005,1920,1974,Direktor der Schweiz. National-Vorsichts-Kassa: Cünier,NIL,PER,Q265522,Helvetisches Direktorium,"Given the input text and the list of candidates, the entities mentioned within the [ENT] tags in German are ""Helvetisches Direktorium"" and ""Cünier"". Let's analyze the text for the entities: 1. ""Helvetisches Direktorium"": This is a known entity in Swiss history, specifically referring to the executive in the Helvetische Republik between 1798 and 1803. 2. ""Cünier"": This entity is not explicitly listed in the provided candidates, but it could be a misspelling or an unknown variant. Given the context, it is possible that it refers to a specific individual or office. The most appropriate Wikidata entity for ""Helvetisches Direktorium"" is: - **Wikipedia Page**: Helvetisches Direktorium - **Wikidata ID**: Q265522 Since ""Cünier"" is not in the provided list of candidates and cannot be confidently disambiguated, we will not include it. Thus, the JSON-formatted answer is: ```json {""wikipedia_page"": ""Helvetisches Direktorium"", ""wikidata_id"": ""Q265522""} ```",15.434393882751465
NZZ-1858-04-20-a-p0003,213,226,Polytechnikum,Q11942,ORG,NIL,Polytechnikum,```json {} ```,0
NZZ-1858-04-20-a-p0003,430,436,Sitten,Q68136,LOC,NIL,Sitten,no,0
NZZ-1858-04-20-a-p0003,651,657,Zürich,Q11943,LOC,Q72,Zürich,"{""wikipedia_page"":""Zürich"", ""wikidata_id"":""Q72""}",20.262786865234375
NZZ-1858-04-20-a-p0003,855,861,Zürich,Q11943,LOC,Q72,Zürich,,24.193073272705078
NZZ-1858-04-20-a-p0003,1164,1174,St. Gallen,Q12746,LOC,Q25607,St. Gallen,,24.77943992614746
NZZ-1858-04-20-a-p0003,1176,1211,Deutsch-schweizerische Kre¬ ditbank,NIL,ORG,Q248476,Zürcher Kantonalbank,,23.97285270690918
NZZ-1858-04-20-a-p0003,1236,1261,Herren Georg Dörten¬ bach,Q1693802,PER,NIL,Herren Georg Dörten¬ bach,no,0
