doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fr_1,279,297,Ernest la Jeunesse,Q3732124,PER,Q3732124,Ernest La Jeunesse,,0
hidden_test_fr_2,21,29,Nieuport,Q1231877,ORG,Q1231877,Société anonyme des Établissements Nieuport,,0
hidden_test_fr_2,192,211,sergent AndreSteuer,NIL,PER,NIL,sergent AndreSteuer,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,228,252,sergent François Ro¬mans,NIL,PER,NIL,sergent François Ro¬mans,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,317,326,Rau¬court,Q227538,LOC,Q227538,Raucourt,,0
hidden_test_fr_2,693,701,st-James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json {""wikipedia_page"":""distillerie Saint-James"", ""wikidata_id"":""Q3030726""} ```",13.775276184082031
hidden_test_fr_2,1010,1018,St James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json { ""wikipedia_page"": ""distillerie Saint-James"", ""wikidata_id"": ""Q3030726"" } ```",18.15184211730957
hidden_test_fr_2,1121,1129,St James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json {""wikipedia_page"":""distillerie Saint-James"", ""wikidata_id"":""Q3030726""} ```",16.474056243896484
hidden_test_fr_2,1208,1214,Europe,Q46,LOC,Q46,Europe,,0
hidden_test_fr_2,1396,1434,"Mme EmilienHannoque, née Denise Vaquez",NIL,PER,NIL,"Mme EmilienHannoque, née Denise Vaquez","```json { ""wikipedia_page"":"""", ""wikidata_id"":""NIL"" } ```",0
hidden_test_fr_2,1445,1505,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »",NIL,PER,NIL,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »","```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,1523,1552,"M. Ernest Criquet,naturaliste",NIL,PER,NIL,"M. Ernest Criquet,naturaliste","```json { ""wikipedia_page"": """", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fr_2,1563,1580,professeur Vaquez,NIL,PER,NIL,professeur Vaquez,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,1616,1637,église de L'Isle¬Adam,Q3582807,ORG,Q3582807,église Saint-Martin de L'Isle-Adam,,0
hidden_test_fr_2,1707,1713,Mériel,Q1457512,LOC,Q1457512,Mériel,,0
hidden_test_fr_2,1849,1868,M. Gaston Doumergue,Q296064,PER,Q296064,Gaston Doumergue,,0
hidden_test_fr_2,1881,1896,Palais-Bour¬bon,Q936633,LOC,Q936633,palais Bourbon,,0
hidden_test_fr_2,2049,2082,"M. Steeg, gouverneur de l'Algérie",Q717905,PER,Q717905,Théodore Steeg,"```json {""wikipedia_page"":""Théodore Steeg"", ""wikidata_id"":""Q717905""} ```",16.306955337524414
hidden_test_fr_2,2157,2171,Halle aux Vins,Q3126085,LOC,Q3126085,Halle aux vins de Paris,,0
hidden_test_fr_2,2173,2186,M. Henri Crag,NIL,PER,NIL,M. Henri Crag,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,2360,2369,M. Ménard,NIL,PER,NIL,M. Ménard,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,2373,2383,Blancfossé,Q281546,LOC,Q281546,Blancfossé,,0
hidden_test_fr_2,2675,2680,Œuvre,Q1880717,PROD,Q1880717,L'Œuvre,"```json {""wikipedia_page"": ""L'Œuvre"", ""wikidata_id"": ""Q1880717""} ```",6.152453422546387
hidden_test_fr_2,2682,2691,Compiègne,Q180871,LOC,Q180871,Compiègne,,0
hidden_test_fr_2,2851,2865,"76, rue Carnot",NIL,LOC,NIL,"76, rue Carnot","```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
