doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent2,356,360,Prag,Q1085,LOC,Q1085,Prag,,22.98206329345703
hidden_test_de_1_sent2,475,479,Prag,Q1085,LOC,Q1085,Prag,,21.995054244995117
hidden_test_de_1_sent2,950,956,Böhmen,Q39193,LOC,Q39193,Böhmen,,23.963550567626953
hidden_test_de_1_sent2,1353,1357,Prag,Q1085,LOC,Q1085,Prag,,22.55647087097168
hidden_test_de_1_sent4,138,147,v. Plener,Q324918,PER,Q324918,Ernst von Plener,,21.47674560546875
hidden_test_de_1_sent4,727,736,v. Plener,Q324918,PER,Q324918,Ernst von Plener,Yes,18.682601928710938
hidden_test_de_1_sent5,187,196,v. Plener,Q324918,PER,Q324918,Ernst von Plener,yes,21.241228103637695
hidden_test_de_1_sent5,246,255,v. Plener,Q324918,PER,Q324918,Ernst von Plener,yes,21.073528289794922
hidden_test_de_1_sent5,289,298,v. Plener,Q324918,PER,Q324918,Ernst von Plener,,23.33161735534668
hidden_test_de_1_sent5,555,564,v. Plener,Q324918,PER,Q324918,Ernst von Plener,,22.117963790893555
hidden_test_de_1_sent6,199,203,Prag,Q1085,LOC,Q1085,Prag,,29.01042366027832
hidden_test_de_1_sent6,664,668,Prag,Q1085,LOC,Q1085,Prag,,24.230558395385742
hidden_test_de_1_sent10,381,389,Matthäus,NIL,PER,NIL,Matthäus,No,0
hidden_test_de_1_sent12,539,547,Radstatt,Q260950,LOC,Q260950,Radstadt,yes,21.08115005493164
hidden_test_de_1_sent15,0,3,Mur,Q259893,LOC,Q259893,Bruck an der Mur,,21.30883026123047
hidden_test_de_1_sent15,80,95,Bruck an derMur,Q259893,LOC,Q259893,Bruck an der Mur,,35.697540283203125
hidden_test_de_1_sent99,0,29,William BoltonMarie Geiringer,NIL,PER,NIL,William BoltonMarie Geiringer,"""no""",0
hidden_test_de_1_sent104,22,35,Gisela Magnus,NIL,PER,NIL,Gisela Magnus,"""No""",0
hidden_test_de_1_sent114,0,4,Mary,NIL,PER,NIL,Mary,no,0
hidden_test_de_1_sent121,0,7,Fru=Fru,NIL,PER,NIL,Fru=Fru,No,0
hidden_test_de_1_sent142,57,68,Anton Schey,NIL,PER,NIL,Anton Schey,No,0
hidden_test_de_1_sent194,97,110,Franzensfeste,NIL,LOC,NIL,Franzensfeste,No.,0
hidden_test_de_1_sent195,119,125,Aspang,NIL,LOC,NIL,Aspang,"""No""",0
hidden_test_de_1_sent195,137,148,Potten¬dorf,NIL,LOC,NIL,Potten¬dorf,no,0
hidden_test_de_1_sent195,234,244,Gutenstein,NIL,LOC,NIL,Gutenstein,No,0
hidden_test_de_1_sent195,491,497,Böslau,NIL,LOC,NIL,Böslau,No,0
hidden_test_de_1_sent195,1006,1015,Laxenburg,NIL,LOC,NIL,Laxenburg,no,0
hidden_test_de_1_sent195,1237,1243,Rodaun,NIL,LOC,NIL,Rodaun,no,0
hidden_test_de_1_sent197,0,11,Leobersdorf,NIL,LOC,NIL,Leobersdorf,no,0
hidden_test_de_1_sent197,139,149,Gutenstein,NIL,LOC,NIL,Gutenstein,no,0
hidden_test_de_1_sent197,788,794,Böslau,NIL,LOC,NIL,Böslau,no.,0
hidden_test_de_1_sent197,1026,1034,Hainfeld,NIL,LOC,NIL,Hainfeld,no,0
hidden_test_de_1_sent197,1294,1301,Mödling,NIL,LOC,NIL,Mödling,no,0
hidden_test_de_1_sent215,36,47,Josef Scheu,NIL,PER,NIL,Josef Scheu,No.,0
hidden_test_de_1_sent235,9,19,Brünn=Wien,NIL,LOC,NIL,Brünn=Wien,no,0
hidden_test_de_1_sent275,36,40,Wien,NIL,LOC,NIL,Wien,"""no""",0
hidden_test_de_1_sent279,37,41,Wien,NIL,LOC,NIL,Wien,no,0
hidden_test_de_1_sent293,99,103,Wien,NIL,LOC,NIL,Wien,no,0
hidden_test_de_2_sent0,297,308,Ludwig XIV.,Q7742,PER,Q7742,Ludwig XIV.,,30.63310432434082
hidden_test_de_2_sent0,452,467,Marquis de Sade,Q123867,PER,Q123867,Donatien Alphonse François de Sade,,28.102399826049805
