doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
document_000004.html,71,77,Busont,Q219551,PER,Q317937,Antoine Busnois,"{ ""wikipedia_page"": ""Antoine Busnois"", ""wikidata_id"": ""Q317937"" }",9.896512031555176
document_000004.html,124,164,cia funebre dell’imperatore Massimiliano,NIL,MISC,Q150726,Maximilian I,"{ ""wikipedia_page"": ""Massimiliano I"", ""wikidata_id"": ""Q150726"" }",9.69255542755127
document_000005.html,46,52,Schalk,Q79026,PER,Q89463,Joseph Schalk,,18.435911178588867
document_000005.html,72,92,gran maestro di Bonn,Q255,PER,Q879897,Franz von Blon,"{ ""wikipedia_page"": ""Franz von Blon"", ""wikidata_id"": ""Q879897"" }",9.313404083251953
document_000005.html,137,147,Mengelbere,Q336725,PER,Q2417992,Theodor Mengelbier,,20.576261520385742
document_000006.html,112,117,Baden,Q486450,LOC,Q4100,Baden-Baden,,18.617815017700195
document_000006.html,132,147,alla pera d’oro,NIL,LOC,Q4352826,Il pomo d'oro,"{ ""wikipedia_page"": ""Il pomo d'oro"", ""wikidata_id"": ""Q4352826"" }",10.173113822937012
document_000006.html,208,217,Guarnieri,Q1165357,PER,Q123228,Guarneri family,,22.789634704589844
document_000006.html,249,258,Guarnieri,Q1165357,PER,Q123228,Guarneri family,,21.411453247070312
document_000006.html,224,230,Wendel,Q1303289,PER,Q45317,Joseph Wendel,,18.3637638092041
document_000007.html,36,51,Quinta sinfonia,Q188709,MISC,Q3507821,Symphony No. 5,,18.76617431640625
document_000007.html,89,96,Nikisch,Q57210,PER,Q831465,Mitja Nikisch,,18.836618423461914
document_000007.html,121,131,Mengelberg,Q336725,PER,Q1375794,Karel Mengelberg,,20.599851608276367
document_000008.html,356,363,Cellini,Q277846,MISC,Q190116,Benvenuto Cellini,,19.094053268432617
document_000008.html,438,442,Roma,Q220,LOC,Q18287233,Roma,"{ ""wikipedia_page"": ""Roma"", ""wikidata_id"": ""Q18287233"" }",11.444849014282227
document_000009.html,109,122,delVPAugusteo,Q3616668,LOC,Q3516747,Teatro Augusteo,"{ ""wikipedia_page"": ""Teatro Augusteo"", ""wikidata_id"": ""Q3516747"" }",11.758094787597656
document_000009.html,291,296,Reger,Q57139,PER,Q1246980,Walter Reger,,18.98103904724121
document_000010.html,84,96,all’Augusteo,Q3616668,LOC,NIL,all’Augusteo,"{ ""wikipedia_page"": ""Augusteo"", ""wikidata_id"": ""Q379838"" }",0
document_000011.html,0,6,Coates,Q1230717,PER,Q6226441,John Coates,,22.654876708984375
document_000011.html,358,364,Coates,Q1230717,PER,Q6226441,John Coates,,19.099769592285156
document_000012.html,203,217,Alberto Coates,Q2595770,PER,Q3815303,Ambrosio Cotes,,26.88617515563965
document_000012.html,190,199,Guarnieri,Q1165357,PER,Q123228,Guarneri family,,29.590526580810547
document_000012.html,222,231,Guarnieri,Q1165357,PER,Q123228,Guarneri family,,22.532041549682617
document_000013.html,37,45,Juventus,Q109001794,MISC,Q1422,Juventus FC,,16.155208587646484
document_000013.html,52,60,DiSabata,Q464890,PER,Q3765411,Giorgio De Sabbata,,19.503477096557617
document_000013.html,662,674,all’Augusteo,Q3616668,LOC,Q3516747,Teatro Augusteo,"{ ""wikipedia_page"": ""Teatro Augusteo"", ""wikidata_id"": ""Q3516747"" }",10.423249244689941
document_000013.html,755,763,Molinari,Q2619703,PER,Q18397250,Giulio Molinari,,22.19139862060547
document_000014.html,71,77,Sorima,NIL,PER,Q982878,Sergio Sollima,,22.66240119934082
document_000014.html,83,92,Tarantini,NIL,PER,Q3768205,Giovanni Tarantini,,29.746353149414062
document_000014.html,127,131,Fano,Q3779156,PER,Q13142,Fano,,22.90514373779297
document_000014.html,133,146,dell’Agostini,Q3855836,PER,Q2058127,Joachim Albertini,,25.919326782226562
document_000014.html,194,203,Marinuzzi,Q3106818,PER,Q21587761,Antonio Marinuzzi,,28.087909698486328
document_000014.html,209,218,Guarnieri,Q1165357,PER,Q123228,Guarneri family,,27.370925903320312
document_000015.html,129,162,Messa per coro a tre voci dispari,NIL,MISC,Q217295,mass,,18.428436279296875
document_000016.html,3,17,Inno trionfale,NIL,MISC,Q1093864,Inno al Re,"{ ""wikipedia_page"": ""Inno al Re"", ""wikidata_id"": ""Q1093864"" }",14.338565826416016
document_000016.html,72,116,Le sette parole » per coro e grand’orchestra,Q1219505,MISC,Q1416456,Quattro Pezzi Sacri,,17.730209350585938
document_000017.html,136,176,La Musica dell’Antichité e del Medio Evo,NIL,MISC,Q89418114,Antiquitates Italicae Medii Aevi,"{ ""wikipedia_page"": ""La Musica dell’Antichité e del Medio Evo"", ""wikidata_id"": ""Q89418114"" }",14.479814529418945
document_000017.html,179,197,Tancredi Mantovani,NIL,PER,Q505683,Mantovani,,27.04634666442871
document_000018.html,212,225,Nelia Rivalta,NIL,PER,Q3876338,Nicola Ravaglia,,32.02437210083008
document_000018.html,263,270,Caccini,Q215308,PER,Q232035,Francesca Caccini,,27.525819778442383
document_000019.html,264,268,Azda,Q171277,MISC,Q85984574,,,20.485082626342773
document_000019.html,376,384,Molinari,Q3725923,PER,Q16559067,Giampiero Molinari,,20.97464370727539
document_000019.html,396,405,Argentini,NIL,PER,Q41559611,Argentino Arsendi,,18.260334014892578
document_000019.html,412,419,Consoli,Q109860310,PER,Q3737984,Fabrizio Consoli,,18.534656524658203
document_000020.html,354,362,Turandot,Q2843864,MISC,Q207990,Turandot,,17.34803009033203
document_000020.html,369,379,Arlecchino,Q922043,MISC,Q3622785,Arlecchino,"{ ""wikipedia_page"": ""Arlecchino"", ""wikidata_id"": ""Q3622785"" }",11.846251487731934
document_000022.html,42,50,Turandot,Q354748,MISC,Q207990,Turandot,,25.200380325317383
document_000022.html,166,176,Arlecchino,Q922043,MISC,Q17298,Harlequin,,19.66366195678711
document_000022.html,237,244,Picello,NIL,PER,Q1147934,Pulcinella,"{ ""wikipedia_page"": ""Pulcinella"", ""wikidata_id"": ""Q1147934"" }",13.013360023498535
document_000024.html,107,114,Zabarro,Q468235,MISC,Q5565338,Giuseppe Bardari,,17.483728408813477
document_000024.html,217,223,Marini,Q6700083,PER,Q107226721,,,26.24784278869629
document_000024.html,226,235,Piccaluga,Q20006109,PER,Q3745296,Filippo Piccaluga,,26.715774536132812
document_000024.html,252,259,Galeffi,Q1154378,PER,Q64606974,Galeffi,,28.34073257446289
document_000025.html,87,93,Galefh,Q1154378,PER,Q1522470,Giangiacomo Guelfi,,17.89957618713379
document_000025.html,95,106,il /alsfaff,Q318455,MISC,Q2349959,Largo al factotum,"{ ""wikipedia_page"": ""Il barbiere di Siviglia"", ""wikidata_id"": ""Q2349959"" }",9.521924018859863
document_000025.html,332,342,De Hidalgo,Q465195,PER,Q432602,David Hidalgo,,18.381732940673828
document_000025.html,355,362,Hackett,Q767676,PER,Q315811,Steve Hackett,,21.90300750732422
document_000025.html,378,385,Galeffi,Q1154378,PER,Q64606974,Galeffi,,24.65132713317871
document_000025.html,399,409,De Angelis,Q2536286,PER,Q3616952,Angelo De Angelis,,23.1834774017334
document_000025.html,412,420,Azzolini,Q16268143,PER,Q17279828,Pasquale Azzolina,,24.873788833618164
document_000025.html,424,441,i Maestri Cantort,Q465540,MISC,Q2936877,Cantoria by Donatello,,18.371999740600586
