doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fr_1,279,297,Ernest la Jeunesse,Q3732124,PER,Q3732124,Ernest La Jeunesse,"```json {""wikipedia_page"":""Ernest La Jeunesse"", ""wikidata_id"":""Q3732124""} ```",26.120695114135742
hidden_test_fr_1,898,910,café Mollard,NIL,LOC,Q16535024,café Gobillard,"```json {""wikipedia_page"":""café Gobillard"", ""wikidata_id"":""Q16535024""} ```",20.721736907958984
hidden_test_fr_2,21,29,Nieuport,Q1231877,ORG,Q646817,Nieuport 11 « Bébé »,"```json {""wikipedia_page"":""Nieuport 11 « Bébé »"", ""wikidata_id"":""Q646817""} ```",21.384334564208984
hidden_test_fr_2,52,82,escadrille de chasse numéro103,NIL,ORG,Q17074775,Escadrille 103,"```json {""wikipedia_page"":""Escadrille 103"", ""wikidata_id"":""Q17074775""} ```",33.60514831542969
hidden_test_fr_2,192,211,sergent AndreSteuer,NIL,PER,NIL,sergent AndreSteuer,"```json { ""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL"" } ```",0
hidden_test_fr_2,228,252,sergent François Ro¬mans,NIL,PER,NIL,sergent François Ro¬mans,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,317,326,Rau¬court,Q227538,LOC,Q17637564,Raucourt,"```json {""wikipedia_page"":""Raucourt"",""wikidata_id"":""Q17637564""} ```",20.96064567565918
hidden_test_fr_2,379,405,bois de Saint-Pierre¬Vaast,Q49327089,LOC,Q850668,Biache-Saint-Vaast,"```json {""wikipedia_page"":""Biache-Saint-Vaast"", ""wikidata_id"":""Q850668""} ```",15.172269821166992
hidden_test_fr_2,600,611,RHOM SUAMES,Q3030726,ORG,Q597191,Rothmans,"```json {""wikipedia_page"":""Rothmans"", ""wikidata_id"":""Q597191""} ```",6.153234481811523
hidden_test_fr_2,637,645,Antilles,Q166131,LOC,Q166131,Antilles,"```json { ""wikipedia_page"": ""Antilles"", ""wikidata_id"": ""Q166131"" } ```",18.875835418701172
hidden_test_fr_2,693,701,st-James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json {""wikipedia_page"":""distillerie Saint-James"", ""wikidata_id"":""Q3030726""} ```",13.775276184082031
hidden_test_fr_2,1010,1018,St James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json {""wikipedia_page"": ""distillerie Saint-James"", ""wikidata_id"": ""Q3030726""} ```",18.15184211730957
hidden_test_fr_2,1121,1129,St James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json { ""wikipedia_page"": ""distillerie Saint-James"", ""wikidata_id"": ""Q3030726"" } ```",16.474056243896484
hidden_test_fr_2,1169,1177,St James,Q3030726,ORG,Q20730593,rhum Saint-James,"```json {""wikipedia_page"":""rhum Saint-James"", ""wikidata_id"":""Q20730593""} ```",20.6794376373291
hidden_test_fr_2,1208,1214,Europe,Q46,LOC,Q46,Europe,"```json {""wikipedia_page"":""Europe"", ""wikidata_id"":""Q46""} ```",26.074602127075195
hidden_test_fr_2,1396,1434,"Mme EmilienHannoque, née Denise Vaquez",NIL,PER,NIL,"Mme EmilienHannoque, née Denise Vaquez","```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,1445,1505,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »",NIL,PER,NIL,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »","```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,1523,1552,"M. Ernest Criquet,naturaliste",NIL,PER,Q18805,naturaliste,"```json { ""wikipedia_page"": ""naturaliste"", ""wikidata_id"": ""Q18805"" } ```",11.582154273986816
hidden_test_fr_2,1563,1580,professeur Vaquez,NIL,PER,NIL,professeur Vaquez,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fr_2,1616,1637,église de L'Isle¬Adam,Q3582807,ORG,Q3582807,église Saint-Martin de L'Isle-Adam,"```json {""wikipedia_page"": ""église Saint-Martin de L'Isle-Adam"", ""wikidata_id"": ""Q3582807""} ```",25.9290771484375
hidden_test_fr_2,1707,1713,Mériel,Q1457512,LOC,Q1457512,Mériel,"```json {""wikipedia_page"":""Mériel"", ""wikidata_id"":""Q1457512""} ```",24.35757064819336
hidden_test_fr_2,1849,1868,M. Gaston Doumergue,Q296064,PER,Q296064,Gaston Doumergue,"```json { ""wikipedia_page"": ""Gaston Doumergue"", ""wikidata_id"": ""Q296064"" } ```",28.670949935913086
hidden_test_fr_2,1881,1896,Palais-Bour¬bon,Q936633,LOC,Q936633,palais Bourbon,"```json {""wikipedia_page"":""palais Bourbon"", ""wikidata_id"":""Q936633""} ```",26.431869506835938
hidden_test_fr_2,1928,1946,Chambredes députés,Q320283,ORG,Q320283,Chambre des députés,"```json {""wikipedia_page"":""Chambre des députés"", ""wikidata_id"":""Q320283""} ```",25.44948959350586
hidden_test_fr_2,2019,2026,Conseil,Q2993836,ORG,Q3409212,président du Conseil,"```json {""wikipedia_page"":""président du Conseil"", ""wikidata_id"":""Q3409212""} ```",10.659090042114258
hidden_test_fr_2,2049,2082,"M. Steeg, gouverneur de l'Algérie",Q717905,PER,Q717905,Théodore Steeg,"```json { ""wikipedia_page"": ""Théodore Steeg"", ""wikidata_id"": ""Q717905"" } ```",16.306955337524414
hidden_test_fr_2,2086,2149,"M. Rault, président de la commission dugouvernement de la Sarre",NIL,PER,Q3591330,Éric Raoult,"```json { ""wikipedia_page"": ""Eric Raoult"", ""wikidata_id"": ""Q3591330"" } ```",17.438512802124023
hidden_test_fr_2,2157,2171,Halle aux Vins,Q3126085,LOC,Q3126085,Halle aux vins de Paris,"```json {""wikipedia_page"":""Halle aux vins de Paris"", ""wikidata_id"":""Q3126085""} ```",23.328969955444336
hidden_test_fr_2,2173,2186,M. Henri Crag,NIL,PER,NIL,M. Henri Crag,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,2188,2209,"11,rue de Romainville",NIL,LOC,Q3451017,rue de Romainville,"```json {""wikipedia_page"": ""rue de Romainville"", ""wikidata_id"": ""Q3451017""} ```",17.638076782226562
hidden_test_fr_2,2360,2369,M. Ménard,NIL,PER,NIL,M. Ménard,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,2373,2383,Blancfossé,Q281546,LOC,Q281546,Blancfossé,"```json {""wikipedia_page"":""Blancfossé"", ""wikidata_id"":""Q281546""} ```",28.368898391723633
hidden_test_fr_2,2675,2680,Œuvre,Q1880717,PROD,Q1880717,L'Œuvre,"```json {""wikipedia_page"": ""L'Œuvre"", ""wikidata_id"": ""Q1880717""} ```",6.152453422546387
hidden_test_fr_2,2682,2691,Compiègne,Q180871,LOC,Q180871,Compiègne,"```json { ""wikipedia_page"": ""Compiègne"", ""wikidata_id"": ""Q180871"" } ```",27.370256423950195
hidden_test_fr_2,2710,2800,"fonctionnairedes Régions libérées, M. Boisguillaume, 44ans, agent technique du Génie rural",NIL,PER,Q3151044,"corps du génie rural, des eaux et des forêts","```json {""wikipedia_page"":""corps du génie rural, des eaux et des forêts"", ""wikidata_id"":""Q3151044""} ```",14.02716064453125
hidden_test_fr_2,2851,2865,"76, rue Carnot",NIL,LOC,NIL,"76, rue Carnot","```json {""wikipedia_page"":"""",""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,2869,2878,Compiègne,Q180871,LOC,Q180871,Compiègne,"```json {""wikipedia_page"":""Compiègne"", ""wikidata_id"":""Q180871""} ```",26.728759765625
hidden_test_fr_2,2881,2886,Œuvre,Q1880717,PROD,Q1880717,L'Œuvre,"```json {""wikipedia_page"": ""L'Œuvre"", ""wikidata_id"": ""Q1880717""} ```",8.343838691711426
hidden_test_fr_2,2888,2897,Mirecourt,Q659969,LOC,Q659969,Mirecourt,"```json {""wikipedia_page"":""Mirecourt"", ""wikidata_id"":""Q659969""} ```",30.533981323242188
hidden_test_fr_2,2926,2935,Hen¬nezel,Q593153,LOC,Q593153,Hennezel,"```json {""wikipedia_page"": ""Hennezel"", ""wikidata_id"": ""Q593153""} ```",28.875625610351562
hidden_test_fr_2,2937,2959,"Henri Menier, bûcheron",NIL,PER,NIL,"Henri Menier, bûcheron","```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,3084,3089,Œuvre,Q1880717,PROD,Q1880717,L'Œuvre,"```json {""wikipedia_page"": ""L'Œuvre"", ""wikidata_id"": ""Q1880717""} ```",6.793704986572266
hidden_test_fr_2,3091,3101,Draguignan,Q194141,LOC,Q194141,Draguignan,"```json {""wikipedia_page"":""Draguignan"", ""wikidata_id"":""Q194141""} ```",35.66117858886719
hidden_test_fr_2,3120,3140,cour d'assisesdu Var,NIL,ORG,Q47462966,cour d'assises,"```json {""wikipedia_page"":""cour d'assises"", ""wikidata_id"":""Q47462966""} ```",16.896095275878906
hidden_test_fr_2,3204,3280,"Barthélemy Me¬nozzi, âgé de 30 ans, né à Corte (Corse), ou¬vrier électricien",NIL,PER,Q3587628,Électromécanicien de sécurité,"```json {""wikipedia_page"": ""Électromécanicien de sécurité"", ""wikidata_id"": ""Q3587628""} ```",18.332433700561523
