doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent1,0,4,Wien,NIL,LOC,NIL,Wien,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_de_1_sent2,215,224,Kramarsch,NIL,PER,Q84714,Karl Karmarsch,"```json { ""wikipedia_page"": ""Karl Karmarsch"", ""wikidata_id"": ""Q84714"" } ```",18.277515411376953
hidden_test_de_1_sent2,356,360,Prag,Q1085,LOC,Q1085,Prag,"```json {""wikipedia_page"":""Prag"", ""wikidata_id"":""Q1085""} ```",22.98206329345703
hidden_test_de_1_sent2,475,479,Prag,Q1085,LOC,Q1085,Prag,"```json {""wikipedia_page"":""Prag"", ""wikidata_id"":""Q1085""} ```",21.995054244995117
hidden_test_de_1_sent2,782,786,Thun,Q79181,PER,Q12032976,Leopold Felix Thun-Hohenstein,"```json {""wikipedia_page"":""Leopold Felix Thun-Hohenstein"", ""wikidata_id"":""Q12032976""} ```",14.296533584594727
hidden_test_de_1_sent2,950,956,Böhmen,Q39193,LOC,Q42585,Königreich Böhmen,"```json { ""wikipedia_page"":""Königreich Böhmen"", ""wikidata_id"":""Q42585"" } ```",20.138532638549805
hidden_test_de_1_sent2,1353,1357,Prag,Q1085,LOC,Q1085,Prag,"```json {""wikipedia_page"": ""Prag"", ""wikidata_id"": ""Q1085""} ```",22.55647087097168
hidden_test_de_1_sent2,1417,1421,Thun,Q79181,PER,Q12032976,Leopold Felix Thun-Hohenstein,"```json {""wikipedia_page"": ""Leopold Felix Thun-Hohenstein"", ""wikidata_id"": ""Q12032976""} ```",14.955839157104492
hidden_test_de_1_sent2,1478,1482,Prag,Q1085,LOC,Q1085,Prag,"```json {""wikipedia_page"":""Prag"", ""wikidata_id"":""Q1085""} ```",20.728410720825195
hidden_test_de_1_sent2,1683,1688,"Thun,",Q79181,PER,Q14790934,Franz Anton II. von Thun und Hohenstein,"```json {""wikipedia_page"": ""Franz Anton II. von Thun und Hohenstein"", ""wikidata_id"": ""Q14790934""} ```",10.614337921142578
hidden_test_de_1_sent3,14,41,Klub der Vereinigten Linken,NIL,ORG,Q15852613,Vereinigte Deutsche Linke,"```json {""wikipedia_page"":""Vereinigte Deutsche Linke"", ""wikidata_id"":""Q15852613""} ```",20.952322006225586
hidden_test_de_1_sent3,88,97,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"": ""Ernst von Plener"", ""wikidata_id"": ""Q324918""} ```",20.86638641357422
hidden_test_de_1_sent3,162,171,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,"```json { ""wikipedia_page"": ""Ignaz von Plener"", ""wikidata_id"": ""Q78834"" } ```",19.985506057739258
hidden_test_de_1_sent3,413,422,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"": ""Ernst von Plener"", ""wikidata_id"": ""Q324918""} ```",21.232524871826172
hidden_test_de_1_sent4,138,147,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,"```json {""wikipedia_page"": ""Ignaz von Plener"", ""wikidata_id"": ""Q78834""} ```",19.783489227294922
hidden_test_de_1_sent4,583,592,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json { ""wikipedia_page"": ""Ernst von Plener"", ""wikidata_id"": ""Q324918"" } ```",19.267915725708008
hidden_test_de_1_sent4,727,736,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json { ""wikipedia_page"": ""Ernst von Plener"", ""wikidata_id"": ""Q324918"" } ```",18.682601928710938
hidden_test_de_1_sent5,187,196,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"":""Ernst von Plener"", ""wikidata_id"":""Q324918""} ```",21.241228103637695
hidden_test_de_1_sent5,246,255,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"":""Ernst von Plener"", ""wikidata_id"":""Q324918""} ```",21.073528289794922
hidden_test_de_1_sent5,289,298,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"":""Ernst von Plener"", ""wikidata_id"":""Q324918""} ```",23.33161735534668
