doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fi_1,102,120,valta-kunnanduuman,Q844793,ORG,Q1649453,Venäjän keisarikunnan valtakunnanduuma,"```json { ""wikipedia_page"": ""Venäjän keisarikunnan valtakunnanduuma"", ""wikidata_id"": ""Q1649453"" } ```",8.783946990966797
hidden_test_fi_1,617,626,Roosevelt,Q33866,PER,NIL,Roosevelt,no,0
hidden_test_fi_1,638,647,Venäjällä,Q34266,LOC,NIL,Venäjällä,no,0
hidden_test_fi_1,743,771,duu- man jäsenen Vostrotinin,NIL,PER,NIL,duu- man jäsenen Vostrotinin,no,0
hidden_test_fi_1,781,789,Poincaré,Q191974,PER,Q191974,Raymond Poincaré,"```json { ""wikipedia_page"": ""Raymond Poincaré"", ""wikidata_id"": ""Q191974"" } ```",20.70476531982422
hidden_test_fi_1,790,801,Toulousesta,Q7880,LOC,NIL,Toulousesta,no,0
hidden_test_fi_1,851,859,Poincaré,Q191974,PER,Q191974,Raymond Poincaré,"```json { ""wikipedia_page"": ""Raymond Poincaré"", ""wikidata_id"": ""Q191974"" } ```",22.36163330078125
hidden_test_fi_1,1005,1012,Ranskan,Q70802,LOC,NIL,Ranskan,no,0
hidden_test_fi_1,1167,1175,Rans-kan,Q70802,LOC,NIL,Rans-kan,no,0
hidden_test_fi_1,1367,1377,Pietarissa,Q656,LOC,Q8479,Pietari Suuri,"```json { ""wikipedia_page"": ""Pietari Suuri"", ""wikidata_id"": ""Q8479"" } ```",15.695160865783691
hidden_test_fi_1,1407,1462,Moskovan yliopiston yksityisdo-sentti P. M. Golovatshev,NIL,PER,Q13164,Moskovan valtionyliopisto,"```json { ""wikipedia_page"": ""Moskovan valtionyliopisto"", ""wikidata_id"": ""Q13164"" } ```",21.778453826904297
hidden_test_fi_1,1564,1575,Newyorkista,Q60,LOC,Q60,New York,"```json { ""wikipedia_page"": ""New York"", ""wikidata_id"": ""Q60"" } ```",25.4447078704834
hidden_test_fi_1,1589,1600,Rooseveltin,Q33866,PER,Q6142411,James Roosevelt Roosevelt,"```json { ""wikipedia_page"": ""James Roosevelt Roosevelt"", ""wikidata_id"": ""Q6142411"" } ```",16.604167938232422
hidden_test_fi_1,1647,1658,Rooseveltia,Q33866,PER,NIL,Rooseveltia,no,0
hidden_test_fi_1,1682,1693,Englannissa,Q21,LOC,Q145,Yhdistynyt kuningaskunta,"```json { ""wikipedia_page"": ""Yhdistynyt kuningaskunta"", ""wikidata_id"": ""Q145"" } ```",19.143817901611328
hidden_test_fi_1,1694,1702,Saksassa,Q43287,LOC,NIL,Saksassa,"```json { ""wikipedia_page"": """", ""wikidata_id"": """" } ``` The entity between the [ENT] tags appears to be referring to multiple countries or regions, including Germany, United States, Russia, and others. However, none of the provided candidates exactly match the context of the sentence. Given the list of candidates, the most relevant ones are ""Saksa"" (Germany), ""Saksan keisarikunta"" (German Empire), ""Länsi-Saksa"" (West Germany), ""natsi-Saksa"" (Nazi Germany), and ""Preussi"" (Prussia). However, none of these clearly match the context of visiting England, Germany, and Russia. Since none of the candidates directly match the context and the text seems to mention multiple possible destinations, the best response is an empty JSON object indicating that none of the provided candidates match the entity tagged with [ENT] with high confidence. ```json { ""wikipedia_page"": """", ""wikidata_id"": """" } ```",0
hidden_test_fi_1,1706,1715,Venäjällä,Q34266,LOC,NIL,Venäjällä,no,0
hidden_test_fi_1,1725,1739,San Franciscon,NIL,LOC,NIL,San Franciscon,no,0
hidden_test_fi_1,1759,1768,Roosevelt,Q33866,PER,NIL,Roosevelt,No.,0
hidden_test_fi_1,1839,1867,Yhdysvaltain „Kupari-alueen“,Q387163,LOC,NIL,Yhdysvaltain „Kupari-alueen“,no,0
hidden_test_fi_1,1887,1899,Kuparisaaren,Q5168740,LOC,Q5168740,Kuparisaari,"```json { ""wikipedia_page"": ""Kuparisaari"", ""wikidata_id"": ""Q5168740"" } ```",17.429279327392578
hidden_test_fi_1,2048,2077,We-stern Federation of Miners,Q7987830,ORG,Q861042,Western Union,"```json {""wikipedia_page"": ""Western Union"", ""wikidata_id"": ""Q861042""} ```",13.507803916931152
hidden_test_fi_1,2097,2111,Kuparialueella,Q387163,LOC,Q5168740,Kuparisaari,"```json { ""wikipedia_page"": ""Kuparisaari"", ""wikidata_id"": ""Q5168740"" } ```",16.00477409362793
hidden_test_fi_1,2395,2411,Calumet & Heclan,Q5024102,ORG,Q5024063,Calumet & Hecla Band,"```json {""wikipedia_page"": ""Calumet & Hecla Band"", ""wikidata_id"": ""Q5024063""} ```",9.144261360168457
hidden_test_fi_1,2869,2883,Saksi-Weimarin,Q315667,LOC,Q41304,Weimarin tasavalta,"```json {""wikipedia_page"": ""Weimarin tasavalta"", ""wikidata_id"": ""Q41304""} ```",14.79578685760498
hidden_test_fi_1,2909,2923,Heidelbergissä,Q2966,LOC,NIL,Heidelbergissä,no,0
hidden_test_fi_1,2960,2989,Saksi-Weimarinprinsessa Sofia,Q7244832,PER,Q241254,Sofia av Sverige,"```json { ""wikipedia_page"": ""Sofia av Sverige"", ""wikidata_id"": ""Q241254"" } ```",22.234813690185547
hidden_test_fi_1,3239,3287,berliniläisen Bleichröder-nimisen finanssimiehen,Q55848545,PER,NIL,berliniläisen Bleichröder-nimisen finanssimiehen,no,0
hidden_test_fi_1,3389,3397,Weimarin,Q3955,LOC,NIL,Weimarin,no,0
hidden_test_fi_1,3490,3503,Bleichröderin,Q55848545,PER,Q1465740,,"```json { ""wikipedia_page"": ""Sofia of Saxe-Coburg and Gotha"", ""wikidata_id"": ""Q1465740"" } ```",17.612842559814453
