doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fi_1,102,120,valta-kunnanduuman,Q844793,ORG,NIL,valta-kunnanduuman,"```json { ""wikipedia_page"": """", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fi_1,617,626,Roosevelt,Q33866,PER,Q33866,Theodore Roosevelt,"```json { ""wikipedia_page"": ""Roosevelt"", ""wikidata_id"": ""Q33866"" } ```",16.294301986694336
hidden_test_fi_1,638,647,Venäjällä,Q34266,LOC,Q159,Venäjä,"```json { ""wikipedia_page"": ""Venäjä"", ""wikidata_id"": ""Q159"" } ```",20.777759552001953
hidden_test_fi_1,743,771,duu- man jäsenen Vostrotinin,NIL,PER,Q313618,Otto Wille Kuusinen,"```json { ""wikipedia_page"": ""Otto Wille Kuusinen"", ""wikidata_id"": ""Q313618"" } ```",10.032886505126953
hidden_test_fi_1,781,789,Poincaré,Q191974,PER,Q191974,Raymond Poincaré,"```json { ""wikipedia_page"": ""Raymond Poincaré"", ""wikidata_id"": ""Q191974"" } ```",20.70476531982422
hidden_test_fi_1,790,801,Toulousesta,Q7880,LOC,Q7880,Toulouse,"```json { ""wikidata_id"": ""Q7880"", ""wikipedia_page"": ""Toulouse"" } ```",23.24056053161621
hidden_test_fi_1,851,859,Poincaré,Q191974,PER,Q191974,Raymond Poincaré,"```json { ""wikipedia_page"": ""Raymond Poincaré"", ""wikidata_id"": ""Q191974"" } ```",22.36163330078125
hidden_test_fi_1,1005,1012,Ranskan,Q70802,LOC,Q58326,Ranskan toinen tasavalta,"```json { ""wikipedia_page"": ""Ranskan toinen tasavalta"", ""wikidata_id"": ""Q58326"" } ```",12.041549682617188
hidden_test_fi_1,1167,1175,Rans-kan,Q70802,LOC,Q70802,Ranskan kolmas tasavalta,"```json { ""wikipedia_page"": ""Ranskan kolmas tasavalta"", ""wikidata_id"": ""Q70802"" } ```",12.352381706237793
hidden_test_fi_1,1367,1377,Pietarissa,Q656,LOC,Q8479,Pietari Suuri,"```json { ""wikipedia_page"": ""Pietari Suuri"", ""wikidata_id"": ""Q8479"" } ```",15.695160865783691
hidden_test_fi_1,1407,1462,Moskovan yliopiston yksityisdo-sentti P. M. Golovatshev,NIL,PER,Q13164,Moskovan valtionyliopisto,"```json { ""wikipedia_page"": ""Moskovan valtionyliopisto"", ""wikidata_id"": ""Q13164"" } ```",21.778453826904297
hidden_test_fi_1,1564,1575,Newyorkista,Q60,LOC,Q60,New York,"```json { ""wikipedia_page"": ""New York"", ""wikidata_id"": ""Q60"" } ```",25.4447078704834
hidden_test_fi_1,1589,1600,Rooseveltin,Q33866,PER,NIL,Rooseveltin,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fi_1,1647,1658,Rooseveltia,Q33866,PER,NIL,Rooseveltia,"```json { ""wikipedia_page"": """", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fi_1,1682,1693,Englannissa,Q21,LOC,Q21,Englanti,"```json { ""wikipedia_page"": ""Englanti"", ""wikidata_id"": ""Q21"" } ```",22.72352409362793
hidden_test_fi_1,1694,1702,Saksassa,Q43287,LOC,Q183,Saksa,"```json { ""wikipedia_page"": ""Saksa"", ""wikidata_id"": ""Q183"" } ```",18.448659896850586
hidden_test_fi_1,1706,1715,Venäjällä,Q34266,LOC,Q159,Venäjä,"```json { ""wikipedia_page"": ""Venäjä"", ""wikidata_id"": ""Q159"" } ```",19.52863883972168
hidden_test_fi_1,1725,1739,San Franciscon,NIL,LOC,Q62,San Francisco,"```json { ""wikipedia_page"": ""San Francisco"", ""wikidata_id"": ""Q62"" } ```",23.248706817626953
hidden_test_fi_1,1759,1768,Roosevelt,Q33866,PER,NIL,Roosevelt,"```json { ""wikipedia_page"": """", ""wikidata_id"": ""NIL"" } ``` Since none of the candidates from the list seem directly related to the context of the input text, which mentions various topics such as historical events, international news, and strikes without any clear reference to a specific individual or entity that matches the provided list of candidates with high confidence, the disambiguation result is set to ""NIL"".",0
