doc_id,surface,start_pos,end_pos,type,identifier
hidden_test_fi_1,valta-kunnanduuman,102,120,ORG,Q844793
hidden_test_fi_1,Venäjällä,638,647,LOC,Q34266
hidden_test_fi_1,duu- man jäsenen Vostrotinin,743,771,PER,NIL
hidden_test_fi_1,Poincaré,781,789,PER,Q191974
hidden_test_fi_1,Poincaré,851,859,PER,Q191974
hidden_test_fi_1,Ranskan,1005,1012,LOC,Q70802
hidden_test_fi_1,Rans-kan,1167,1175,LOC,Q70802
hidden_test_fi_1,Moskovan yliopiston yksityisdo-sentti P. M. Golovatshev,1407,1462,PER,NIL
hidden_test_fi_1,Saksassa,1694,1702,LOC,Q43287
hidden_test_fi_1,Venäjällä,1706,1715,LOC,Q34266
hidden_test_fi_1,San Franciscon,1725,1739,LOC,NIL
hidden_test_fi_1,Yhdysvaltain „Kupari-alueen“,1839,1867,LOC,Q387163
hidden_test_fi_1,We-stern Federation of Miners,2048,2077,ORG,Q7987830
hidden_test_fi_1,Kuparialueella,2097,2111,LOC,Q387163
hidden_test_fi_1,Calumet & Heclan,2395,2411,ORG,Q5024102
hidden_test_fi_1,Saksi-Weimarin,2869,2883,LOC,Q315667
hidden_test_fi_1,Saksi-Weimarinprinsessa Sofia,2960,2989,PER,Q7244832
hidden_test_fi_1,berliniläisen Bleichröder-nimisen finanssimiehen,3239,3287,PER,Q55848545
hidden_test_fi_1,Bleichröderin,3490,3503,PER,Q55848545
hidden_test_fi_1,Na-tionalzeitung,3676,3692,PROD,NIL
hidden_test_fi_1,Saksi-Weimarin prinsessa Sofia,3707,3737,PER,Q7244832
hidden_test_fi_1,Berliner Tageblatt,3980,3998,PROD,Q455014
hidden_test_fi_1,miljonääri Hans vonBleichröderin,4380,4412,PER,Q55848545
hidden_test_fi_2,Pörssikomitean,83,97,ORG,NIL
hidden_test_fi_2,arvo-paperipörssiä,183,201,ORG,NIL
hidden_test_fi_2,MerivakuutusosakeyhtiöTriton,267,295,ORG,NIL
hidden_test_fi_2,merivakuutus-osakeyhtiöTriton,351,380,ORG,NIL
hidden_test_fi_2,Triton,548,554,ORG,NIL
hidden_test_fi_2,Tritonin,645,653,ORG,NIL
hidden_test_fi_2,Triton,1322,1328,ORG,NIL
hidden_test_fi_2,Triton,1545,1551,ORG,NIL
hidden_test_fi_2,kauppaneuvos C. F.Junnelius,1893,1920,PER,NIL
hidden_test_fi_2,kaupp. C. M.Sjöblom,2149,2168,PER,NIL
hidden_test_fi_2,vakuutusjoht. Lennart Törn-udd,2172,2202,PER,NIL
hidden_test_fi_2,merikapt. JohnTengström,2222,2245,PER,NIL
hidden_test_fi_2,varat. Herman Henriksson,2247,2271,PER,NIL
hidden_test_fi_2,Suomen Meijeriyhdistyksen,2487,2512,ORG,NIL
hidden_test_fi_2,Suurbritanniassa,2525,2541,LOC,Q145
hidden_test_fi_2,Manchesterin tukkukauppiasyhdistyk-sen,3215,3253,ORG,NIL
hidden_test_fi_2,Saksassa,3464,3472,LOC,Q43287
hidden_test_fi_2,Irlannissa,4362,4372,LOC,Q22890
hidden_test_fi_2,Alex von Becker,4555,4570,PER,NIL
hidden_test_fi_2,Suomessa,4850,4858,LOC,Q62633
hidden_test_fi_2,Venäjällä,5032,5041,LOC,Q34266
hidden_test_fi_3,senaatinkanslisti Brynolf Jalasmaa,835,869,PER,NIL
hidden_test_fi_3,va-ratuomarit Rob. Näkki,875,899,PER,NIL
hidden_test_fi_3,Harry Nik-lander,901,917,PER,NIL
hidden_test_fi_3,K. K. Järvinen,919,933,PER,NIL
hidden_test_fi_3,Bror Carl-son,937,950,PER,NIL
hidden_test_fi_3,Tuomarniemenmetsänvartijakoulun johtaja ArvidBorg,1360,1409,PER,Q24287904
hidden_test_fi_3,metsänarvoste-lija S. U. Linko,1462,1492,PER,NIL
hidden_test_fi_3,eversti Ivan Timirjaseff,2062,2086,PER,NIL
hidden_test_fi_3,liikemies Alek-sander Maximoff,2088,2118,PER,NIL
hidden_test_fi_3,hotellihovimes-tari Konstantin Lis,2280,2314,PER,NIL
hidden_test_fi_3,proku-risti Georg Heinrichsen,2372,2401,PER,NIL
hidden_test_fi_3,räätäli Edvard Behrsin,2433,2455,PER,NIL
hidden_test_fi_3,sekatyöntekijä Feodor Semenoff,2456,2486,PER,NIL
hidden_test_fi_3,räätäliNikolai Knjaseff,2488,2511,PER,NIL
hidden_test_fi_3,kauppa-apulainen Dimitri Sho-lin,2545,2577,PER,NIL
hidden_test_fi_3,kirjansitoja Johannes Arokas,2579,2607,PER,NIL
hidden_test_fi_3,kaup-pa-apulainen August Karl Cederbaum,2609,2648,PER,NIL
hidden_test_fi_3,vasuntekijä Dimitri Podshivaloff,2649,2681,PER,NIL
hidden_test_fi_3,kaup-pias Aleksander Osokin,2683,2710,PER,NIL
hidden_test_fi_3,kauppa-apulainenAnastasia Rudska,2744,2776,PER,NIL
hidden_test_fi_3,"kansakoulunopettaja-tar, leskirouva Hilja Maria Maleva (Am-sinoff)",2778,2844,PER,NIL
hidden_test_fi_3,filos. kand. Jüri Tilki,2846,2869,PER,NIL
hidden_test_fi_3,kaupanhoitaja Sergei Saha-roffsky,2893,2926,PER,NIL
hidden_test_fi_3,keittiömestari Pavel Semenoff,2928,2957,PER,NIL
hidden_test_fi_3,porsliinikaavailija Alexej Fogolki,3002,3036,PER,NIL
hidden_test_fi_3,pika-ajuriPetter Jegoroff,3066,3091,PER,NIL
hidden_test_fi_3,työnjohtaja Adolf EdvardNandell,3093,3124,PER,NIL
hidden_test_fi_3,kirkkoherra Mikael Mihailov,3156,3183,PER,NIL
hidden_test_fi_3,maanviljelijäIgnati Rytshkoff,3254,3283,PER,NIL
hidden_test_fi_3,agronoomi Nicolai Fabricius,3313,3340,PER,NIL
hidden_test_fi_3,kaup-pias Carl Aleksander August Frantz,3342,3381,PER,NIL
