doc_id,surface,start_pos,end_pos,type,identifier
hidden_test_de_1_sent2,Prag,1478,1482,LOC,Q1085
hidden_test_de_1_sent3,Klub der Vereinigten Linken,14,41,ORG,NIL
hidden_test_de_1_sent3,v. Plener,88,97,PER,Q324918
hidden_test_de_1_sent3,v. Plener,162,171,PER,Q324918
hidden_test_de_1_sent3,v. Plener,413,422,PER,Q324918
hidden_test_de_1_sent5,Thun,876,880,PER,Q79181
hidden_test_de_1_sent6,Kramarsch,91,100,PER,NIL
hidden_test_de_1_sent6,MariePospischil,133,148,PER,NIL
hidden_test_de_1_sent6,Schamanek,450,459,PER,NIL
hidden_test_de_1_sent6,Schamanek,571,580,PER,NIL
hidden_test_de_1_sent6,Thun,627,631,PER,Q79181
hidden_test_de_1_sent6,Thun,1166,1170,PER,Q79181
hidden_test_de_1_sent9,Johann von Wildenradt,23,44,PER,NIL
hidden_test_de_1_sent14,Nikolaus von Salm,263,280,PER,Q26486738
hidden_test_de_1_sent15,"„Obersteierblatt""",110,127,PROD,NIL
hidden_test_de_1_sent87,Wien,15,19,LOC,NIL
hidden_test_de_1_sent91,Josefstadt,15,25,LOC,NIL
hidden_test_de_1_sent92,Rudolfsheim,16,27,LOC,NIL
hidden_test_de_1_sent97,Bruno Zappert,38,51,PER,NIL
hidden_test_de_1_sent100,Aron MandelblühSarah,0,20,PER,NIL
hidden_test_de_1_sent100,Wenzel PawlizekCarl Schauer,32,59,PER,NIL
hidden_test_de_1_sent100,Mitzi Bardi,61,72,PER,NIL
hidden_test_de_1_sent102,Jos. Paulmann,0,13,PER,NIL
hidden_test_de_1_sent103,Franz Graselli,0,14,PER,NIL
hidden_test_de_1_sent106,Kathi Krenn,20,31,PER,NIL
hidden_test_de_1_sent107,Sali,0,4,PER,NIL
hidden_test_de_1_sent107,Ella Carlé,6,16,PER,NIL
hidden_test_de_1_sent108,Elsa Wernier,7,19,PER,NIL
hidden_test_de_1_sent109,Tini Käthi Wernier,0,18,PER,NIL
hidden_test_de_1_sent112,Mitzi Bär,21,30,PER,NIL
