doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
document_000000.html,0,8,Gavinies,Q490205,PER,NIL,Gavinies,"```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
document_000001.html,58,74,Lord Chamberlain,Q541755,PER,Q1355456,Lord Chamberlain,"```json {""wikipedia_page"": ""Lord Chamberlain"", ""wikidata_id"": ""Q1355456""} ```",22.85060691833496
document_000011.html,56,82,Dictionnaire des Musiciens,NIL,MISC,Q14774027,Dizionario Enciclopedico Universale della Musica e dei Musicisti,"```json {""wikipedia_page"":""Dizionario Enciclopedico Universale della Musica e dei Musicisti"", ""wikidata_id"":""Q14774027""} ```",28.49821662902832
document_000013.html,29,39,Miss Orton,NIL,PER,Q16000354,J. O. C. Orton,"```json {""wikipedia_page"":""J. O. C. Orton"", ""wikidata_id"":""Q16000354""} ```",13.432531356811523
document_000014.html,0,9,Mr. Mocre,Q315346,PER,NIL,Mr. Mocre,"```json {""wikipedia_page"": """", ""wikidata_id"": ""NIL""} ```",0
document_000014.html,86,96,Mr. Bishop,Q1200639,PER,Q7787894,Thomas Brigham Bishop,"```json {""wikipedia_page"":""Thomas Brigham Bishop"", ""wikidata_id"":""Q7787894""} ```",9.531521797180176
document_000015.html,2,5,Bow,NIL,PER,Q122607,Bow,"```json { ""wikipedia_page"": ""Bow"", ""wikidata_id"": ""Q122607"" } ```",16.80042839050293
document_000015.html,12,21,E. Carper,NIL,PER,Q9250802,Edward Cowper,"```json {""wikipedia_page"":""Edward Cowper"", ""wikidata_id"":""Q9250802""} ```",17.464439392089844
document_000019.html,12,22,H. Lazarus,Q5724751,PER,NIL,H. Lazarus,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_000019.html,61,70,J. Thomas,Q1701921,PER,NIL,J. Thomas,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
document_000019.html,39,47,F. Ralph,NIL,PER,Q5481469,Francis James Ralph,"```json {""wikipedia_page"":""Francis James Ralph"", ""wikidata_id"":""Q5481469""} ```",15.786556243896484
document_000019.html,49,59,P. Sainton,NIL,PER,Q2443056,Prosper Sainton,"```json {""wikipedia_page"":""Prosper Sainton"", ""wikidata_id"":""Q2443056""} ```",23.42365264892578
document_000020.html,0,7,Batiste,Q274231,PER,NIL,Batiste,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
document_000021.html,137,144,Oedipus,NIL,MISC,Q3719205,Oedipus at Colonus,"```json {""wikipedia_page"":""Oedipus at Colonus"", ""wikidata_id"":""Q3719205""} ```",17.7329158782959
document_000024.html,21,34,Musicat Timzs,Q1757371,ORG,NIL,Musicat Timzs,"```json {""wikipedia_page"":"""",""wikidata_id"":""NIL""} ```",0
document_000025.html,27,41,Earl of Cawdor,Q6224952,PER,Q5325786,Earl Cawdor,"```json { ""wikipedia_page"": ""Earl Cawdor"", ""wikidata_id"": ""Q5325786"" } ```",17.122753143310547
document_000029.html,73,87,Hymn of Praise,Q210536,MISC,Q5691565,Hear My Prayer,"```json {""wikipedia_page"":""Hear My Prayer"", ""wikidata_id"":""Q5691565""} ```",24.942142486572266
document_000031.html,49,60,Louis Dien1,Q19900926,PER,NIL,Louis Dien1,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
