doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
NZZ-1798-01-20-a-p0002,41,44,Rom,Q220,LOC,NIL,Rom,```json {} ```,0
NZZ-1798-01-20-a-p0002,47,59,Buonaparte's,Q517,PER,Q7726,Joseph Bonaparte,"Based on the input text and the list of candidates, it appears that the entities mentioned are likely related to ""Napoleon Bonaparte"" and his family members. The text mentions a brother of Buonaparte's, which is likely referring to Joseph Bonaparte. Therefore, the most appropriate Wikidata entity from the provided list is: ```json { ""wikipedia_page"": ""Joseph Bonaparte"", ""wikidata_id"": ""Q7726"" } ```",11.947212219238281
NZZ-1798-01-20-a-p0002,318,330,Frank reichs,Q142,LOC,NIL,Frank reichs,```json {} ```,0
NZZ-1798-01-20-a-p0002,925,936,Gen. Duphot,Q977001,PER,NIL,Gen. Duphot,```json {} ```,0
NZZ-1798-01-20-a-p0002,1751,1754,Rom,Q220,LOC,NIL,Rom,```json {} ```,0
NZZ-1798-01-20-a-p0002,1769,1781,Basseville's,Q3339973,PER,NIL,Basseville's,no,0
NZZ-1798-01-20-a-p0002,1815,1826,Gen. Duphot,Q977001,PER,Q19043775,Henri Duphot,"Given the contextual information and the list of candidates, the entity [ENT] Gen. Duphot [ENT] likely refers to General Henri Duphot. Hence, the most appropriate Wikidata entity from the list of candidates is Henri Duphot. Here is the JSON-formatted output: ```json {""wikipedia_page"":""Henri Duphot"", ""wikidata_id"":""Q19043775""} ```",7.360331058502197
NZZ-1808-04-29-a-p0002,468,490,danischen Blatte Dagen,Q1768412,PROD,NIL,danischen Blatte Dagen,no,0
NZZ-1808-04-29-a-p0002,580,587,Rußland,Q159,LOC,NIL,Rußland,```json {} ```,0
NZZ-1808-04-29-a-p0002,653,660,Seeland,Q25535,LOC,NIL,Seeland,no,0
NZZ-1808-04-29-a-p0002,774,781,Rußland,Q159,LOC,Q34266,Russisches Kaiserreich,"```json { ""wikipedia_page"": ""Russisches Kaiserreich"", ""wikidata_id"": ""Q34266"" } ```",19.418861389160156
NZZ-1808-04-29-a-p0002,790,808,General Hutchinson,Q321765,PER,NIL,General Hutchinson,no,0
NZZ-1808-04-29-a-p0002,883,901,General Hutchinson,Q321765,PER,NIL,General Hutchinson,no,0
NZZ-1808-04-29-a-p0002,977,987,Kopenhagen,Q1748,LOC,NIL,Kopenhagen,```json {} ```,0
NZZ-1808-04-29-a-p0002,1282,1289,England,Q21,LOC,NIL,England,no,0
NZZ-1808-04-29-a-p0002,1440,1451,Bartenstein,Q809585,LOC,NIL,Bartenstein,"```json {""wikipedia_page"":"""",""wikidata_id"":""""} ```",0
NZZ-1808-04-29-a-p0002,1605,1615,Frankreich,Q142,LOC,NIL,Frankreich,```json {} ```,0
NZZ-1808-04-29-a-p0002,1942,1952,Lord Gower,Q334145,PER,NIL,Lord Gower,no,0
NZZ-1808-04-29-a-p0002,3213,3222,Kronstadt,Q155863,LOC,NIL,Kronstadt,no,0
NZZ-1808-04-29-a-p0002,3527,3536,Kronstadt,Q155863,LOC,NIL,Kronstadt,```json {} ```,0
NZZ-1808-04-29-a-p0002,3737,3745,Dänemark,Q35,LOC,Q756617,Königreich Dänemark," {""wikipedia_page"": ""Königreich Dänemark"", ""wikidata_id"": ""Q756617""}",18.067420959472656
NZZ-1808-04-29-a-p0002,3800,3825,Hamburger-Korrespondenten,Q822923,PROD,NIL,Hamburger-Korrespondenten,"```json {""wikipedia_page"":"""", ""wikidata_id"":""""} ```",0
NZZ-1808-04-29-a-p0002,3875,3904,neuesten Berlinischen Zeitung,Q675003,PROD,Q2309057,Berlinische Nachrichten von Staats- und gelehrten Sachen,"{ ""wikipedia_page"": ""Berlinische Nachrichten von Staats- und gelehrten Sachen"", ""wikidata_id"": ""Q2309057"" }",15.134936332702637
NZZ-1808-04-29-a-p0002,4308,4325,General Burhöyden,NIL,PER,Q50823,Hermann von Boyen,"```json {""wikipedia_page"": ""Hermann von Boyen"", ""wikidata_id"": ""Q50823""} ```",16.816320419311523
NZZ-1818-01-09-a-p0001,430,437,Ansbach,Q14859,LOC,NIL,Ansbach,```json {} ```,0
NZZ-1818-01-09-a-p0001,499,507,Nürnberg,Q2090,LOC,NIL,Nürnberg,no,0
NZZ-1818-01-09-a-p0001,606,629,Königreich Wür¬ temberg,Q159631,LOC,NIL,Königreich Wür¬ temberg,```json {} ```,0
NZZ-1818-01-09-a-p0001,694,703,Steinkopf,NIL,PROD,Q65588474,Johann Friedrich Steinkopf,"Based on the input text and the list of candidates, the entity mentioned between the [ENT] tags is likely to be ""Johann Friedrich Steinkopf,"" a German book dealer, translator, and publisher. ```json {""wikipedia_page"": ""Johann Friedrich Steinkopf"", ""wikidata_id"": ""Q65588474""} ```",15.111607551574707
NZZ-1818-01-09-a-p0001,901,907,Luther,Q9554,PER,NIL,Luther,no,0
NZZ-1818-01-09-a-p0001,934,957,protestantischen Kirche,Q2113518,ORG,Q170111,Evangelische Kirche in Deutschland,"{""wikipedia_page"": ""Evangelische Kirche in Deutschland"", ""wikidata_id"": ""Q170111""}",16.7659912109375
NZZ-1818-01-09-a-p0001,1335,1358,Realschul¬ Buchhandlung,Q2516675,ORG,NIL,Realschul¬ Buchhandlung,no,0
NZZ-1818-01-09-a-p0001,1501,1553,gelehrte und freymü¬ thige Oberhofprediger Dr. Ammon,Q213786,PER,NIL,gelehrte und freymü¬ thige Oberhofprediger Dr. Ammon,no,0
NZZ-1818-01-09-a-p0001,2054,2106,"ehrwürdige Antistes der Zürcheri¬ schen Kirche, Heß,",Q121947,PER,NIL,"ehrwürdige Antistes der Zürcheri¬ schen Kirche, Heß,",```json {} ```,0
NZZ-1818-01-09-a-p0001,2905,2913,Europens,Q46,LOC,NIL,Europens,no,0
NZZ-1818-01-09-a-p0001,3500,3533,Euro¬ päischen Brittischen Inseln,Q38272,LOC,Q23666,Großbritannien,"```json { ""wikipedia_page"": ""Großbritannien"", ""wikidata_id"": ""Q23666"" } ```",13.922210693359375
NZZ-1828-05-21-a-p0001,38,67,große Rath des Standes Luzern,Q27897675,ORG,NIL,große Rath des Standes Luzern,no,0
NZZ-1828-05-21-a-p0001,4462,4470,Freyburg,Q12640,LOC,NIL,Freyburg,no,0
NZZ-1838-03-30-a-p0001,0,6,Schwyz,Q12433,LOC,Q68155,Schwyz,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags is ""Schwyz"". The most appropriate Wikidata entity from the list of candidates is: ```json {""wikipedia_page"":""Schwyz"", ""wikidata_id"":""Q68155""} ```",14.468600273132324
NZZ-1838-03-30-a-p0001,101,118,hohe Stand Schwyz,Q12433,LOC,Q68155,Schwyz,"Based on the provided text and the list of candidates, the entity ""Schwyz"" mentioned between the [ENT] tags corresponds to the Wikidata entity with the ID ""Q68155"" and the Wikipedia page title ""Schwyz"". ```json {""wikipedia_page"":""Schwyz"", ""wikidata_id"":""Q68155""} ```",10.453838348388672
NZZ-1838-03-30-a-p0001,129,145,alte Land Schwyz,Q12433,LOC,NIL,alte Land Schwyz,no,0
NZZ-1838-03-30-a-p0001,794,808,Kantons Schwyz,Q12433,LOC,Q68155,Schwyz,"Based on the provided input text and the JSON list of candidates, the entity mentioned between the [ENT] tags is ""Schwyz"" (the canton of Schwyz). The most appropriate Wikidata entity from the given list of candidates is: ```json { ""wikipedia_page"": ""Schwyz"", ""wikidata_id"": ""Q68155"" } ```",26.86065101623535
NZZ-1838-03-30-a-p0001,1366,1372,Schwyz,Q12433,LOC,NIL,Schwyz,```json {} ```,0
NZZ-1838-03-30-a-p0001,1488,1505,hohe Stand Schwyz,Q12433,LOC,NIL,hohe Stand Schwyz,no,0
NZZ-1838-03-30-a-p0001,1524,1547,hohen Standes Neuenburg,Q12738,LOC,NIL,hohen Standes Neuenburg,no,0
NZZ-1838-03-30-a-p0001,2284,2295,Neuen¬ burg,Q12738,LOC,Q69345,Neuenburg,"Based on the context provided in the input text and the list of candidates, the entity mentioned between the [ENT] tags is likely to be ""Neuenburg"" as a city or a canton in Switzerland. The most appropriate Wikidata entity that matches this description from the given list of candidates is: ```json {""wikipedia_page"":""Neuenburg"", ""wikidata_id"":""Q69345""} ``` This entity corresponds to the city of Neuenburg and is likely the correct disambiguation for the text provided.",18.494173049926758
NZZ-1838-03-30-a-p0001,2316,2322,Schwyz,Q12433,LOC,NIL,Schwyz,```json {} ```,0
NZZ-1838-03-30-a-p0001,2392,2398,Schwyz,Q12433,LOC,NIL,Schwyz,no,0
NZZ-1838-03-30-a-p0001,2606,2612,Schwyz,Q12433,LOC,NIL,Schwyz,no,0
NZZ-1838-03-30-a-p0001,3738,3752,Kantons Schwyz,Q12433,LOC,NIL,Kantons Schwyz,no,0
NZZ-1838-03-30-a-p0001,4659,4676,Eidgenossenschaft,Q39,LOC,NIL,Eidgenossenschaft,```json {} ```,0
NZZ-1848-01-21-a-p0005,435,448,Kanton Zürich,Q11943,LOC,NIL,Kanton Zürich,no,0
NZZ-1848-01-21-a-p0005,556,569,Kanton Zürich,Q11943,LOC,NIL,Kanton Zürich,no,0
NZZ-1848-01-21-a-p0005,1422,1437,Kantonen Zürich,Q11943,LOC,NIL,Kantonen Zürich,```json {} ```,0
NZZ-1848-01-21-a-p0005,1450,1459,Appenzell,Q688257,LOC,NIL,Appenzell,```json {} ```,0
NZZ-1848-01-21-a-p0005,1920,1974,Direktor der Schweiz. National-Vorsichts-Kassa: Cünier,NIL,PER,Q106887411,Direktor,"Based on the input text and the list of candidates, the entities [ENT] correspond to ""Direktor"" and ""Cünier"". The most appropriate Wikidata entities for these are: - ""Direktor"" can be mapped to the Wikidata ID Q106887411 and the Wikipedia page ""Direktor"". - ""Cünier"" does not have a direct corresponding Wikidata ID or Wikipedia page in the provided list of candidates. Therefore, the response is: ```json {""wikipedia_page"": ""Direktor"", ""wikidata_id"": ""Q106887411""} ```",12.137301445007324
NZZ-1858-04-20-a-p0003,384,391,Simplon,Q471166,LOC,Q667559,Simplonstrecke,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags is ""Simplon"". The most appropriate Wikidata entity from the list of candidates is the one with the Wikipedia page title ""Simplonstrecke"" and the Wikidata ID ""Q667559"". Here is the JSON-formatted answer: ```json {""wikipedia_page"":""Simplonstrecke"", ""wikidata_id"":""Q667559""} ```",13.214101791381836
NZZ-1858-04-20-a-p0003,651,657,Zürich,Q11943,LOC,Q72,Zürich,"{""wikipedia_page"":""Zürich"", ""wikidata_id"":""Q72""}",20.262786865234375
NZZ-1858-04-20-a-p0003,727,731,Rüti,Q69752,LOC,NIL,Rüti,No,0
NZZ-1858-04-20-a-p0003,855,861,Zürich,Q11943,LOC,NIL,Zürich,no,0
NZZ-1858-04-20-a-p0003,1164,1174,St. Gallen,Q12746,LOC,NIL,St. Gallen,```json {} ```,0
