doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent2,215,224,Kramarsch,NIL,PER,Q159227,Karel Kramář,"```json { ""wikipedia_page"": ""Karel Kramář"", ""wikidata_id"": ""Q159227"" } ```",17.792062759399414
hidden_test_de_1_sent2,782,786,Thun,Q79181,PER,NIL,Thun,no,0
hidden_test_de_1_sent2,1417,1421,Thun,Q79181,PER,NIL,Thun,No.,0
hidden_test_de_1_sent2,1683,1688,"Thun,",Q79181,PER,NIL,"Thun,",no.,0
hidden_test_de_1_sent3,14,41,Klub der Vereinigten Linken,NIL,ORG,Q882305,Vereinigte Linke,,23.337562561035156
hidden_test_de_1_sent3,88,97,v. Plener,Q324918,PER,Q75186,Paul Verner,,21.501564025878906
hidden_test_de_1_sent3,162,171,v. Plener,Q324918,PER,Q2647610,Yuval Zellner,,22.765899658203125
hidden_test_de_1_sent3,413,422,v. Plener,Q324918,PER,NIL,v. Plener,no,0
hidden_test_de_1_sent5,876,880,Thun,Q79181,PER,Q635917,Thun und Hohenstein,"```json {""wikipedia_page"":""Thun und Hohenstein"", ""wikidata_id"":""Q635917""} ```",15.647997856140137
hidden_test_de_1_sent6,36,40,Thun,Q79181,PER,NIL,Thun,no,0
hidden_test_de_1_sent6,133,148,MariePospischil,NIL,PER,Q12035450,Maria Pospischil,,25.909624099731445
hidden_test_de_1_sent6,222,226,Thun,Q79181,PER,NIL,Thun,no,0
hidden_test_de_1_sent6,330,334,Thun,Q79181,PER,NIL,Thun,No.,0
hidden_test_de_1_sent6,450,459,Schamanek,NIL,PER,Q11721012,Jarosław Szymanek,,24.628053665161133
hidden_test_de_1_sent6,571,580,Schamanek,NIL,PER,Q11721012,Jarosław Szymanek,,23.70965576171875
hidden_test_de_1_sent6,627,631,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"": ""Franz von Thun und Hohenstein"", ""wikidata_id"": ""Q79119""} ```",17.691675186157227
hidden_test_de_1_sent6,683,687,Thun,Q79181,PER,NIL,Thun,no.,0
hidden_test_de_1_sent6,922,926,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"":""Franz von Thun und Hohenstein"", ""wikidata_id"":""Q79119""} ```",17.720199584960938
hidden_test_de_1_sent6,1166,1170,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"":""Franz von Thun und Hohenstein"", ""wikidata_id"":""Q79119""} ```",16.203718185424805
hidden_test_de_1_sent9,23,44,Johann von Wildenradt,NIL,PER,Q10277579,Ryoichi Kano,,26.978660583496094
hidden_test_de_1_sent12,300,307,Golling,NIL,LOC,Q527800,Golling an der Salzach,"```json {""wikipedia_page"":""Golling an der Salzach"", ""wikidata_id"":""Q527800""} ```",15.994821548461914
hidden_test_de_1_sent12,710,725,Dietrichstein's,NIL,PER,Q688530,Dietrichstein,"```json {""wikipedia_page"": ""Dietrichstein"", ""wikidata_id"": ""Q688530""} ```",15.001810073852539
hidden_test_de_1_sent13,4,12,Radstatt,Q260950,LOC,NIL,Radstatt,no,0
hidden_test_de_1_sent14,123,136,Dietrichstein,NIL,PER,Q688530,Dietrichstein,"```json {""wikipedia_page"":""Dietrichstein"", ""wikidata_id"":""Q688530""} ```",18.437673568725586
hidden_test_de_1_sent14,263,280,Nikolaus von Salm,Q26486738,PER,Q77787,Niklas Graf Salm der Ältere,,29.831356048583984
hidden_test_de_1_sent15,110,127,"„Obersteierblatt""",NIL,PROD,Q218612,Zollern-Alb-Kurier,,35.262001037597656
hidden_test_de_1_sent15,1599,1612,Liechtenstein,Q78567,PER,Q698530,Haus Liechtenstein,"```json {""wikipedia_page"":""Haus Liechtenstein"", ""wikidata_id"":""Q698530""} ```",17.777223587036133
hidden_test_de_1_sent15,1616,1625,Liberalen,NIL,ORG,Q6216,Liberalismus,"```json {""wikipedia_page"":""Liberalismus"", ""wikidata_id"":""Q6216""} ```",17.86077117919922
hidden_test_de_1_sent73,0,6,London,NIL,LOC,Q84,London,"```json {""wikipedia_page"": ""London"", ""wikidata_id"": ""Q84""} ```",13.057632446289062
hidden_test_de_1_sent75,1,6,Paris,NIL,LOC,Q90,Paris,"```json {""wikipedia_page"":""Paris"", ""wikidata_id"":""Q90""} ```",15.2584810256958
hidden_test_de_1_sent87,15,19,Wien,NIL,LOC,Q1741,Wien,,26.689189910888672
hidden_test_de_1_sent91,15,25,Josefstadt,NIL,LOC,Q256778,Josefstadt,,21.830123901367188
hidden_test_de_1_sent92,16,27,Rudolfsheim,NIL,LOC,Q2174345,Rudolfsheim,,27.719615936279297
hidden_test_de_1_sent96,27,34,Amerika,NIL,LOC,Q828,Amerika,"```json {""wikipedia_page"":""Amerika"", ""wikidata_id"":""Q828""} ```",18.806991577148438
hidden_test_de_1_sent97,38,51,Bruno Zappert,NIL,PER,Q31794012,Bruno Zappert,,30.925952911376953
hidden_test_de_1_sent100,0,20,Aron MandelblühSarah,NIL,PER,Q64030672,,,21.71769142150879
hidden_test_de_1_sent100,32,59,Wenzel PawlizekCarl Schauer,NIL,PER,Q3168715,Jean-Paul Wenzel,,22.12939453125
hidden_test_de_1_sent100,61,72,Mitzi Bardi,NIL,PER,Q18025001,Marie Bardi,,30.148433685302734
hidden_test_de_1_sent101,5,10,Frank,NIL,PER,Q62243,Adolph Frank,"```json {""wikipedia_page"":""Adolph Frank"", ""wikidata_id"":""Q62243""} ```",8.526296615600586
hidden_test_de_1_sent102,0,13,Jos. Paulmann,NIL,PER,Q1698128,Johannes Paulmann,,27.077247619628906
hidden_test_de_1_sent103,0,14,Franz Graselli,NIL,PER,Q2001370,Francesco Raselli,,29.22170066833496
