doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
NZZ-1798-01-20-a-p0002,41,44,Rom,Q220,LOC,Q220,Rom,"Based on the provided text and the list of candidates, the most appropriate Wikidata entity for the entity mentioned between the [ENT] tags is: ```json {""wikipedia_page"":""Rom"", ""wikidata_id"":""Q220""} ```",16.237071990966797
NZZ-1798-01-20-a-p0002,47,59,Buonaparte's,Q517,PER,NIL,Buonaparte's,no,0
NZZ-1798-01-20-a-p0002,111,114,Rom,Q220,LOC,Q220,Rom,"Based on the provided input text and the list of candidates, the most appropriate Wikidata entity for the entity mentioned between the [ENT] tags is: ```json {""wikipedia_page"": ""Rom"", ""wikidata_id"": ""Q220""} ```",17.89097023010254
NZZ-1798-01-20-a-p0002,318,330,Frank reichs,Q142,LOC,Q146246,Fränkisches Reich,"```json { ""wikipedia_page"": ""Fränkisches Reich"", ""wikidata_id"": ""Q146246"" } ``` The text mentions ""Frank reichs"", which refers to the Frankish Empire, or the Fränkisches Reich.",18.549236297607422
NZZ-1798-01-20-a-p0002,925,936,Gen. Duphot,Q977001,PER,Q977001,Léonard Duphot,"Based on the input text and the list of candidates, the entity mentioned between the [ENT] tags, ""Gen. Duphot"", is best disambiguated to: ```json {""wikipedia_page"":""Léonard Duphot"", ""wikidata_id"":""Q977001""} ```",19.92439842224121
NZZ-1798-01-20-a-p0002,1100,1128,General¬ Lieutenant Sherlöck,NIL,PER,NIL,General¬ Lieutenant Sherlöck,```json {} ```,0
NZZ-1798-01-20-a-p0002,1751,1754,Rom,Q220,LOC,Q220,Rom,"```json { ""wikipedia_page"": ""Rom"", ""wikidata_id"": ""Q220"" } ```",21.29958152770996
NZZ-1798-01-20-a-p0002,1769,1781,Basseville's,Q3339973,PER,NIL,Basseville's,no,0
NZZ-1798-01-20-a-p0002,1815,1826,Gen. Duphot,Q977001,PER,NIL,Gen. Duphot,No.,0
NZZ-1808-04-29-a-p0002,468,490,danischen Blatte Dagen,Q1768412,PROD,Q1157201,Dagen,"Based on the provided text and candidates: The entity mentioned between the [ENT] tags is ""Dänisches Blatte Dagen"". Out of the provided candidates, the most appropriate Wikidata entity is: - Wikipedia Page Title: Dagen - Wikidata ID: Q1157201 ```json { ""wikipedia_page"": ""Dagen"", ""wikidata_id"": ""Q1157201"" } ```",12.512188911437988
NZZ-1808-04-29-a-p0002,580,587,Rußland,Q159,LOC,NIL,Rußland,```json {} ```,0
NZZ-1808-04-29-a-p0002,653,660,Seeland,Q25535,LOC,NIL,Seeland,```json {} ```,0
NZZ-1808-04-29-a-p0002,774,781,Rußland,Q159,LOC,NIL,Rußland,```json {} ```,0
NZZ-1808-04-29-a-p0002,790,808,General Hutchinson,Q321765,PER,NIL,General Hutchinson,no,0
NZZ-1808-04-29-a-p0002,883,901,General Hutchinson,Q321765,PER,NIL,General Hutchinson,```json {} ```,0
NZZ-1808-04-29-a-p0002,977,987,Kopenhagen,Q1748,LOC,Q1748,Kopenhagen,,25.08263397216797
NZZ-1808-04-29-a-p0002,1282,1289,England,Q21,LOC,NIL,England,no,0
NZZ-1808-04-29-a-p0002,1440,1451,Bartenstein,Q809585,LOC,Q459235,Johann Christoph von Bartenstein,"Based on the input text and the provided list of candidates, the most appropriate Wikidata entity for the term ""Bartenstein"" identified between the [ENT] tags is: - Wikidata ID: Q459235 - Wikipedia Page Title: Johann Christoph von Bartenstein Here is the JSON formatted answer: ```json {""wikipedia_page"": ""Johann Christoph von Bartenstein"", ""wikidata_id"": ""Q459235""} ```",10.211258888244629
NZZ-1808-04-29-a-p0002,1562,1570,Dänemark,Q35,LOC,NIL,Dänemark,```json {} ```,0
NZZ-1808-04-29-a-p0002,1605,1615,Frankreich,Q142,LOC,Q142,Frankreich,"```json { ""wikipedia_page"": ""Frankreich"", ""wikidata_id"": ""Q142"" } ```",18.508224487304688
NZZ-1808-04-29-a-p0002,1942,1952,Lord Gower,Q334145,PER,NIL,Lord Gower,```json {} ```,0
NZZ-1808-04-29-a-p0002,2847,2854,Rußland,Q159,LOC,Q159,Russland,,21.789072036743164
NZZ-1808-04-29-a-p0002,3060,3070,Dä¬ nemark,Q35,LOC,NIL,Dä¬ nemark,no,0
NZZ-1808-04-29-a-p0002,3213,3222,Kronstadt,Q155863,LOC,NIL,Kronstadt,```json {} ```,0
NZZ-1808-04-29-a-p0002,3527,3536,Kronstadt,Q155863,LOC,NIL,Kronstadt,no,0
NZZ-1808-04-29-a-p0002,3737,3745,Dänemark,Q35,LOC,Q35,Dänemark,,21.766136169433594
NZZ-1808-04-29-a-p0002,3800,3825,Hamburger-Korrespondenten,Q822923,PROD,NIL,Hamburger-Korrespondenten,```json {} ```,0
NZZ-1808-04-29-a-p0002,3836,3846,Petersburg,Q656,LOC,Q656,Sankt Petersburg,,22.325889587402344
NZZ-1808-04-29-a-p0002,3875,3904,neuesten Berlinischen Zeitung,Q675003,PROD,NIL,neuesten Berlinischen Zeitung,no,0
NZZ-1808-04-29-a-p0002,3926,3941,H. von Rotzebue,NIL,PER,Q23710528,Christian Ludwig Kotzebue,,22.037933349609375
NZZ-1808-04-29-a-p0002,3945,3953,Ehstland,Q191,LOC,Q191,Estland,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags is ""Estland"". The most appropriate Wikidata entity for this is ""Estland"" with Wikidata ID ""Q191"" and Wikipedia page ""Estland"". ```json {""wikipedia_page"":""Estland"", ""wikidata_id"":""Q191""} ```",10.525023460388184
NZZ-1808-04-29-a-p0002,4244,4256,Peters¬ burg,Q656,LOC,Q656,Sankt Petersburg,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags is ""Petersburg"". The most appropriate Wikidata entity from the given list of candidates is: - Wikidata ID: Q656 - Wikipedia Page Title: Sankt Petersburg ```json {""wikipedia_page"":""Sankt Petersburg"", ""wikidata_id"":""Q656""} ```",16.568700790405273
NZZ-1808-04-29-a-p0002,4308,4325,General Burhöyden,NIL,PER,NIL,General Burhöyden,```json {} ```,0
NZZ-1818-01-09-a-p0001,404,426,würdige De¬ kan Kaiser,NIL,PER,Q181765,Römisch-deutscher Kaiser,"Given the input text and the list of candidates, the entities mentioned between the [ENT] tags are the ""würdige De¬ kan Kaiser"" and the ""in Ansbach"". Based on the historical context and the list of candidates, the most appropriate Wikidata entity for the ""würdige De¬ kan Kaiser"" mentioned is ""Kaiser des Heiligen Römischen Reiches"". The most appropriate Wikidata entity for the ""in Ansbach"" is not listed in the provided candidates, so it will be considered as not matching with high confidence. Therefore, the JSON response for the disambiguated entity is: ```json {""wikipedia_page"":""Römisch-deutscher Kaiser"", ""wikidata_id"":""Q181765""} ```",8.982915878295898
NZZ-1818-01-09-a-p0001,430,437,Ansbach,Q14859,LOC,Q14859,Ansbach,,24.061237335205078
NZZ-1818-01-09-a-p0001,499,507,Nürnberg,Q2090,LOC,Q2090,Nürnberg,,24.0393123626709
NZZ-1818-01-09-a-p0001,574,602,"M. Mles, Pfarrer zu Deyzisau",NIL,PER,NIL,"M. Mles, Pfarrer zu Deyzisau",no,0
NZZ-1818-01-09-a-p0001,606,629,Königreich Wür¬ temberg,Q159631,LOC,Q159631,Königreich Württemberg,,31.36882972717285
NZZ-1818-01-09-a-p0001,679,688,Stuttgart,Q1022,LOC,Q1022,Stuttgart,"```json { ""wikipedia_page"": ""Stuttgart"", ""wikidata_id"": ""Q1022"" } ```",17.23969841003418
NZZ-1818-01-09-a-p0001,694,703,Steinkopf,NIL,PROD,NIL,Steinkopf,```json {} ```,0
NZZ-1818-01-09-a-p0001,901,907,Luther,Q9554,PER,Q9554,Martin Luther,,22.915367126464844
NZZ-1818-01-09-a-p0001,934,957,protestantischen Kirche,Q2113518,ORG,Q23540,Protestantismus,"Based on the input text and the provided list of candidates, the entity mentioned between the [ENT] tags is ""Protestantische Kirche"". The most appropriate Wikidata entity from the given list of candidates is: ```json {""wikipedia_page"":""Protestantismus"", ""wikidata_id"":""Q23540""} ``` This selection is made based on the context of the text and the description of the candidates.",18.50625991821289
