doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
document_000000.html,18,28,Stravinski,Q7314,PER,Q7314,Igor' Fëdorovič Stravinskij,"```json { ""wikipedia_page"": ""Igor' Fëdorovič Stravinskij"", ""wikidata_id"": ""Q7314"" } ```",29.806026458740234
document_000000.html,138,144,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",24.37759780883789
document_000001.html,44,50,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",24.659135818481445
document_000001.html,163,169,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",25.599414825439453
document_000001.html,336,342,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",25.468122482299805
document_000001.html,112,116,Bach,Q1339,PER,Q1339,Johann Sebastian Bach,"```json { ""wikipedia_page"": ""Johann Sebastian Bach"", ""wikidata_id"": ""Q1339"" } ```",22.930206298828125
document_000001.html,134,140,Mozart,Q254,PER,Q254,Wolfgang Amadeus Mozart,"```json { ""wikipedia_page"": ""Wolfgang Amadeus Mozart"", ""wikidata_id"": ""Q254"" } ```",26.230606079101562
document_000001.html,142,151,Beethoven,Q255,PER,Q255,Ludwig van Beethoven,"```json {""wikipedia_page"":""Ludwig van Beethoven"", ""wikidata_id"":""Q255""} ```",29.951982498168945
document_000001.html,153,158,Liszt,Q41309,PER,Q41309,Franz Liszt,"```json { ""wikipedia_page"": ""Franz Liszt"", ""wikidata_id"": ""Q41309"" } ```",24.916475296020508
document_000002.html,137,143,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json { ""wikipedia_page"": ""Ferruccio Busoni"", ""wikidata_id"": ""Q219551"" } ```",22.689998626708984
document_000002.html,162,170,Petrarca,Q1401,PER,Q1401,Francesco Petrarca,"```json {""wikipedia_page"":""Francesco Petrarca"", ""wikidata_id"":""Q1401""} ```",20.983436584472656
document_000003.html,0,9,Beethoven,Q255,PER,Q255,Ludwig van Beethoven,"```json {""wikipedia_page"":""Ludwig van Beethoven"", ""wikidata_id"":""Q255""} ```",23.192649841308594
document_000003.html,127,136,Beethoven,Q255,PER,Q255,Ludwig van Beethoven,"```json { ""wikipedia_page"": ""Ludwig van Beethoven"", ""wikidata_id"": ""Q255"" } ```",20.1313419342041
document_000003.html,14,20,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json { ""wikipedia_page"": ""Ferruccio Busoni"", ""wikidata_id"": ""Q219551"" } ```",16.97781753540039
document_000004.html,95,100,Liszt,Q41309,PER,Q41309,Franz Liszt,"```json { ""wikipedia_page"": ""Franz Liszt"", ""wikidata_id"": ""Q41309"" } ```",25.025882720947266
document_000005.html,46,52,Schalk,Q79026,PER,Q79026,Franz Schalk,"```json { ""wikipedia_page"": ""Franz Schalk"", ""wikidata_id"": ""Q79026"" } ```",15.338586807250977
document_000005.html,246,255,Toscanini,Q13003,PER,Q13003,Arturo Toscanini,"```json {""wikipedia_page"":""Arturo Toscanini"", ""wikidata_id"":""Q13003""} ```",27.39811897277832
document_000005.html,335,342,Nikisch,Q57210,PER,Q57210,Arthur Nikisch,"```json { ""wikipedia_page"": ""Arthur Nikisch"", ""wikidata_id"": ""Q57210"" } ```",19.88068199157715
document_000005.html,435,438,Gui,Q920500,PER,Q920500,Vittorio Gui,"```json { ""wikipedia_page"": ""Vittorio Gui"", ""wikidata_id"": ""Q920500"" } ```",10.99671745300293
