doc_id,surface,start_pos,end_pos,type,identifier
hidden_test_fr_1,café Mollard,898,910,LOC,NIL
hidden_test_fr_2,escadrille de chasse numéro103,52,82,ORG,NIL
hidden_test_fr_2,sergent AndreSteuer,192,211,PER,NIL
hidden_test_fr_2,st-James,693,701,ORG,Q3030726
hidden_test_fr_2,St James,1121,1129,ORG,Q3030726
hidden_test_fr_2,St James,1169,1177,ORG,Q3030726
hidden_test_fr_2,Chambredes députés,1928,1946,ORG,Q320283
hidden_test_fr_3,"M. FUNCK-BRENTANOM. Funck-Brentano, l'érudit conserva¬teur de la bibliothèque de l'Arsenal",153,243,PER,NIL
hidden_test_fr_3,Société luxembourgeoise deParis,471,502,ORG,NIL
hidden_test_fr_3,Compagnie de l'Estdes chemins de fer,2019,2055,ORG,NIL
hidden_test_fr_3,HENRI SIMONI,3390,3402,PER,NIL
hidden_test_fr_4,M. Baumann,1264,1274,PER,NIL
hidden_test_fr_4,M. Lucien Baumann,1284,1301,PER,NIL
hidden_test_fr_4,M. Louis Pons,1665,1678,PER,NIL
hidden_test_fr_4,M. Lucien Baumann,2005,2022,PER,NIL
hidden_test_fr_5,PARAMOUNT,0,9,LOC,Q289908
hidden_test_fr_5,IMPÉRIAL-PATHÉ,443,457,LOC,NIL
hidden_test_fr_5,Méliès,724,730,PER,Q152272
hidden_test_fr_5,CLICHY-PALACE,917,930,LOC,NIL
hidden_test_fr_5,Mme Lemaire,4393,4404,PER,NIL
hidden_test_fr_6,M. Tarnowski,234,246,PER,NIL
hidden_test_fr_6,M. HenriMontfort,479,495,PER,NIL
hidden_test_fr_6,M. Ruland,1678,1687,PER,NIL
hidden_test_fr_6,prince Bibesco,1845,1859,PER,NIL
hidden_test_fr_6,colonel Bouscat,1874,1889,PER,Q3425914
hidden_test_fr_6,Saint-Nazaire,2284,2297,LOC,NIL
hidden_test_fr_6,Sainte-Marais,2335,2348,LOC,NIL
hidden_test_fr_6,Normandie,4469,4478,LOC,Q18677875
hidden_test_fr_6,Poitou,4510,4516,LOC,Q954076
hidden_test_fr_6,Bretagne,4643,4651,LOC,Q12130
hidden_test_fr_6,Hollande,4760,4768,LOC,Q102911
hidden_test_fr_6,Normandie,4785,4794,LOC,Q18677875
hidden_test_fr_6,F. POTIGUY,5527,5537,PER,NIL
hidden_test_fr_6,Tardieu-le-Magnifique,5633,5654,PER,Q346648
hidden_test_fr_6,Christoforidis,5693,5707,PER,Q367645
hidden_test_fr_6,Mont¬Blanc,6243,6253,LOC,Q583
hidden_test_fr_8,"6, rue des Halles",945,962,LOC,NIL
hidden_test_fr_9,Philippe,134,142,PER,NIL
hidden_test_fr_9,Philippe,3855,3863,PER,NIL
hidden_test_fr_9,Marcienne,4807,4816,PER,NIL
hidden_test_fr_9,M. Paul Franck,5878,5892,PER,NIL
hidden_test_fr_10,place de la République,5405,5427,LOC,NIL
hidden_test_fr_10,"Fronde, B. T. 7.",6021,6037,LOC,NIL
hidden_test_fr_11,cascade duTrocadéro,2136,2155,LOC,NIL
hidden_test_fr_11,ancien parc des Princes àAuteuil,3904,3936,LOC,Q784536
hidden_test_fr_11,route de Boulogne,4272,4289,LOC,Q21098141
hidden_test_fr_11,Boulogne,4679,4687,LOC,Q172455
hidden_test_fr_12,Francis,342,349,PER,NIL
hidden_test_fr_12,Léopoldine,367,377,PER,NIL
hidden_test_fr_13,Jesson,0,6,PER,NIL
hidden_test_fr_13,Lorinet,40,47,PER,NIL
hidden_test_fr_13,Pierri,2772,2778,PER,NIL
hidden_test_fr_13,"rue Saint-Denis, n° 277, àParis",3529,3560,LOC,Q90
hidden_test_fr_13,M. Bernard,4501,4511,PER,NIL
hidden_test_fr_13,M. Bodkin,5560,5569,PER,NIL
hidden_test_fr_13,"ÉDOUARD BOURDET, avocat",5680,5703,PER,NIL
hidden_test_fr_13,Mario,6737,6742,PER,NIL
hidden_test_fr_13,paternel Lucilio,7655,7671,PER,NIL
hidden_test_fr_13,Lauriane,7909,7917,PER,NIL
hidden_test_fr_14,Chambre,2815,2822,ORG,Q58910280
hidden_test_fr_14,Corps législa¬tif,9648,9665,ORG,Q2997795
hidden_test_fr_14,"S. EXC. M. SEGRIS, ministre de l'instructionpublique",11035,11087,PER,Q2834654
hidden_test_fr_14,Journal officiel,11282,11298,PROD,Q1815103
hidden_test_fr_14,honorable M. Duguéde la Fauconnerie,13590,13625,PER,Q3130409
hidden_test_fr_14,Amiens,18654,18660,LOC,Q41604
hidden_test_fr_14,Lille,18710,18715,LOC,Q648
hidden_test_fr_14,Paris,18794,18799,LOC,Q90
hidden_test_fr_14,Abancourt,18837,18846,LOC,Q1098767
hidden_test_fr_14,Abancourt,19337,19346,LOC,Q1098767
hidden_test_fr_14,Com¬pagnie Lyonnaise,20083,20103,ORG,NIL
hidden_test_fr_14,M. G. Delahante,20110,20125,PER,Q15973156
hidden_test_fr_14,Société ano¬nyme du Crédit Parisien,21449,21484,ORG,NIL
hidden_test_fr_14,"104, rue Ri¬chelieu",21486,21505,ORG,NIL
hidden_test_fr_16,Sphinx,158,164,PER,Q151480
hidden_test_fr_16,Rus¬sie,399,406,LOC,Q159
hidden_test_fr_16,Russie,1291,1297,LOC,Q159
hidden_test_fr_16,Angleterre,1785,1795,LOC,Q21
hidden_test_fr_17,Chambre,186,193,ORG,Q320283
hidden_test_fr_17,Banque de Paris,2922,2937,ORG,Q69404174
hidden_test_fr_17,"M. Bardoux, ministrede l'instruction publique",4681,4726,PER,Q2827377
hidden_test_fr_17,Union républicaine,7258,7276,ORG,Q166079
hidden_test_fr_17,M.de Cumont,10316,10327,PER,Q2865402
hidden_test_fr_17,Banque Parisienne,10468,10485,ORG,NIL
hidden_test_fr_17,Banque Parisienne,10901,10918,ORG,NIL
hidden_test_fr_17,Banque Pari¬sienne,11085,11103,ORG,NIL
hidden_test_fr_17,SÉNAT,11623,11628,ORG,Q215987
hidden_test_fr_17,"M.Verhovay, journaliste hongrois",12879,12911,PER,Q1421087
hidden_test_fr_17,port deMarseille,13270,13286,LOC,NIL
hidden_test_fr_18,19e corps d'Algérie,943,962,ORG,NIL
hidden_test_fr_18,Tonkin,1328,1334,LOC,Q622778
hidden_test_fr_19,New-York C##mercial and Financial Chronicle,1197,1240,PROD,Q5152445
hidden_test_fr_19,MATIN,5413,5418,PROD,Q3224404
hidden_test_fr_19,Philadelphie,6084,6096,LOC,Q1345
hidden_test_fr_19,MATIN,6737,6742,PROD,Q3224404
hidden_test_fr_19,"21, BOULEVARD HAUSSMANN",7125,7148,LOC,NIL
hidden_test_fr_20,Danube,3220,3226,LOC,NIL
hidden_test_fr_20,Paris,3636,3641,LOC,Q90
hidden_test_fr_20,b.Haussmann,3958,3969,LOC,NIL
hidden_test_fr_20,Paris,4297,4302,LOC,Q90
hidden_test_fr_20,Newcastle,5224,5233,LOC,Q57278
hidden_test_fr_20,Benin,6448,6453,LOC,Q64
hidden_test_fr_20,Berlin,7758,7764,LOC,Q64
hidden_test_fr_20,Londres,8860,8867,LOC,Q84
hidden_test_fr_21,Humbert,3210,3217,PER,NIL
hidden_test_fr_21,"rue Etionne-Marcel, 20",3486,3508,LOC,NIL
hidden_test_fr_21,Château-fort de Vincennes,3677,3702,LOC,Q663673
hidden_test_fr_21,Compiègne (Oise),4500,4516,LOC,NIL
hidden_test_fr_21,Trocadéro,5620,5629,LOC,Q3062726
hidden_test_fr_21,Fontainebleau,5852,5865,LOC,Q17560765
hidden_test_fr_21,Versailles,5905,5915,LOC,Q2946
hidden_test_fr_21,Place Denfert-Rochereau,6710,6733,LOC,Q2097879
hidden_test_fr_21,préfecture de la Seine,6836,6858,ORG,Q23654054
hidden_test_fr_21,Hôtel des Ventes,7426,7442,LOC,NIL
hidden_test_fr_21,M. A. Bloche,7677,7689,PER,NIL
hidden_test_fr_21,"Balavaine, entrepreneur de menuiserie",8192,8229,PER,NIL
hidden_test_fr_21,"Boulogne-sur-Seine,boulevard de Strasbourg",8770,8812,LOC,NIL
hidden_test_fr_21,Horace,9479,9485,PER,NIL
hidden_test_fr_21,Nangis,9940,9946,PER,NIL
hidden_test_fr_22,comte de la Guairinière,2709,2732,PER,NIL
hidden_test_fr_22,Riri,4092,4096,PER,NIL
hidden_test_fr_22,Mme Thomas,6828,6838,PER,NIL
hidden_test_fr_22,Rirette,8832,8839,PER,NIL
hidden_test_fr_23,"Infant d'Espagne, duc de Galliera, leprince don Antonio d'Orléans",27,92,PER,Q2303777
hidden_test_fr_23,Me PaulGaye,1134,1145,PER,NIL
hidden_test_fr_23,Sadoul,1690,1696,PER,Q3159955
hidden_test_fr_23,capitaine Sadoul,2372,2388,PER,Q3159955
hidden_test_fr_23,M. de Scavenius,2906,2921,PER,Q731504
hidden_test_fr_23,capitaine Sadoul,3818,3834,PER,Q3159955
hidden_test_fr_23,capitaine Sadoul,4299,4315,PER,Q3159955
hidden_test_fr_23,capitaineSadoul,4370,4385,PER,Q3159955
hidden_test_fr_23,lieutenant Pascal,4551,4568,PER,Q2267959
hidden_test_fr_23,colonel Langlois,4719,4735,PER,NIL
hidden_test_fr_23,France,5416,5422,LOC,Q142
hidden_test_fr_23,Jour¬nal de Petrograd,6257,6278,PROD,NIL
hidden_test_fr_23,Journal de Russie,6303,6320,PROD,NIL
hidden_test_fr_23,France,7075,7081,LOC,Q142
hidden_test_fr_23,Lord Robert Cecil,10992,11009,PER,Q12702
hidden_test_fr_24,Chambre,49,56,ORG,Q320283
hidden_test_fr_24,"Philippe DaudetM. Jean Galmot, député de la Guyane",673,723,PER,Q3172205
hidden_test_fr_24,"magistrat, Me HenryTorrès",908,933,PER,Q1381683
hidden_test_fr_24,Philippe Daudet,948,963,PER,Q2825859
hidden_test_fr_24,M. Galmot,1081,1090,PER,Q3172205
hidden_test_fr_24,M. Barnaud,1103,1113,PER,NIL
hidden_test_fr_24,Me HenryTorrès,1192,1206,PER,NIL
hidden_test_fr_24,Louise-Philomène Boucher,1283,1307,PER,NIL
hidden_test_fr_24,M. Barnaud,1395,1405,PER,NIL
hidden_test_fr_24,France,1934,1940,LOC,Q142
hidden_test_fr_24,"12, rue de Cléry",3785,3801,LOC,NIL
hidden_test_fr_24,Paris,4097,4102,LOC,Q90
hidden_test_fr_24,"42, Grande¬Rue",4279,4293,LOC,NIL
hidden_test_fr_24,Diane,5927,5932,PER,NIL
hidden_test_fr_24,Claude Maltar,11588,11601,PER,NIL
hidden_test_fr_25,Great Northern Pref.,452,472,ORG,NIL
hidden_test_fr_25,New-York Central,529,545,ORG,Q1371464
hidden_test_fr_25,Pensylvania,585,596,ORG,NIL
hidden_test_fr_25,Southern Railway,625,641,ORG,Q741266
hidden_test_fr_25,Calumet et Hecla,718,734,ORG,NIL
hidden_test_fr_25,BethlehemSteel,924,938,ORG,NIL
hidden_test_fr_25,PARIS,1149,1154,LOC,NIL
hidden_test_fr_25,Banque Nat. d'Egypte,1625,1645,ORG,Q4119563
hidden_test_fr_25,Banque d'Algérie,2705,2721,ORG,NIL
hidden_test_fr_25,Banque Nat. de Crédit,2901,2922,ORG,NIL
hidden_test_fr_25,Cacttchoucs indo-Chine,4088,4110,ORG,NIL
hidden_test_fr_25,Brésil,10504,10510,LOC,Q155
hidden_test_fr_25,messageries martimes,12552,12572,ORG,NIL
hidden_test_fr_26,C. G. T.,35,43,ORG,Q1125638
hidden_test_fr_26,général de corps d'armée Corap,997,1027,PER,Q2702473
hidden_test_fr_26,Louis Legras,3461,3473,PER,NIL
hidden_test_fr_27,Crédit Foncier,1623,1637,ORG,Q3006216
hidden_test_fr_27,Malacca,2804,2811,LOC,Q185221
hidden_test_fr_27,Thomson-Houston,3648,3663,ORG,NIL
hidden_test_fr_27,Belgique,4399,4407,LOC,Q31
hidden_test_fr_28,Marie,479,484,PER,NIL
hidden_test_fr_28,rue La Boétie,1367,1380,LOC,NIL
hidden_test_fr_28,banque d’Amsterdam,1524,1542,ORG,Q478744
hidden_test_fr_28,André Camy,2429,2439,PER,NIL
hidden_test_fr_28,André Camy,2683,2693,PER,NIL
hidden_test_fr_28,André Camy,2982,2992,PER,NIL
hidden_test_fr_28,Anne Demeurer,3011,3024,PER,NIL
