doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
lestragdiesdeso00tourgoog_0064,94,100,Homère,Q6691,PER,Q6691,Homère,,0
lestragdiesdeso00tourgoog_0064,102,110,Euripide,Q48305,PER,Q48305,Euripide,,0
lestragdiesdeso00tourgoog_0064,161,173,Iphig. Taur.,Q523227,WORK,Q523227,Iphigénie en Tauride,,0
lestragdiesdeso00tourgoog_0064,211,219,Euripide,Q48305,PER,Q48305,Euripide,,0
lestragdiesdeso00tourgoog_0064,223,235,Phéniciennes,Q1233660,WORK,Q36734,phénicien,,0
lestragdiesdeso00tourgoog_0064,350,356,Lobeck,Q84734,PER,Q84734,Christian Lobeck,,0
lestragdiesdeso00tourgoog_0064,462,468,Laërte,Q748296,PER,Q748296,Laërte,,0
lestragdiesdeso00tourgoog_0064,658,665,Ellendt,Q18411800,PER,Q18411557,Johann Ernst Ellendt,,0
lestragdiesdeso00tourgoog_0064,696,702,ϑυϊάλ5,Q1534037,PER,Q899826,Cyprien le Gaulois,"Based on the provided text, the entity mentioned between the [ENT] tags is ""ἐπίτριπτος ἀ αρτὲ5"". After analyzing the text and comparing it with the given list of candidates, the most appropriate Wikidata entity that matches this entity is ""Cyprien le Gaulois"". Here is the JSON response: ```json { ""wikipedia_page"": ""Cyprien le Gaulois"", ""wikidata_id"": ""Q899826"" } ```",4.510406017303467
lestragdiesdeso00tourgoog_0064,729,737,Andocide,Q391654,PER,Q391654,Andocide,,0
lestragdiesdeso00tourgoog_0064,739,764,discours Sur les Mystères,Q87737021,WORK,Q3706676,Dialogue des dieux,,0
lestragdiesdeso00tourgoog_0064,1249,1256,Eschine,Q317089,PER,Q317089,Eschine,,0
lestragdiesdeso00tourgoog_0064,1258,1282,Discours contre Timurque,Q2995964,WORK,Q2995964,Contre Timarque,,0
lestragdiesdeso00tourgoog_0064,1329,1333,Ajux,Q172725,PER,Q412341,Ajax,"Based on the analysis of the input text and the provided list of candidates, the entity mentioned between the [ENT] tags is ""Ajax"". Therefore, the corresponding Wikipedia page title and Wikidata ID are: ```json {""wikipedia_page"": ""Ajax"", ""wikidata_id"": ""Q412341""} ```",14.953128814697266
lestragdiesdeso00tourgoog_0067,11,18,Ellendt,Q18411800,PER,Q2265847,Elland,"```json { ""wikipedia_page"": ""Elland"", ""wikidata_id"": ""Q2265847"" } ```",10.455548286437988
lestragdiesdeso00tourgoog_0067,205,212,Linwood,NIL,PER,Q18668613,William Linwood,,0
lestragdiesdeso00tourgoog_0067,217,242,hymne homérique à Apollon,Q3798932,WORK,Q215484,hymne olympique,,0
lestragdiesdeso00tourgoog_0067,251,264,"Lemnos,lcarie",Q209576,LOC,Q192483,Lemnos,"```json {""wikipedia_page"":""Lemnos"", ""wikidata_id"":""Q192483""} ```",12.726658821105957
lestragdiesdeso00tourgoog_0067,266,272,Nhodes,Q43048,LOC,Q1369671,Nohèdes,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags ""Nohèdes"" matches with the Wikidata entity ""Nohèdes"" from the list of candidates. Therefore, the JSON-formatted answer is: ```json {""wikipedia_page"":""Nohèdes"",""wikidata_id"":""Q1369671""} ```",13.509503364562988
lestragdiesdeso00tourgoog_0067,276,281,Cnide,Q690575,LOC,Q690575,Cnide,,0
lestragdiesdeso00tourgoog_0067,287,297,les Perses,Q788458,WORK,Q788458,Les Perses,,0
lestragdiesdeso00tourgoog_0067,300,307,Eschyle,Q40939,PER,Q40939,Eschyle,,0
lestragdiesdeso00tourgoog_0067,435,446,Schneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,,0
lestragdiesdeso00tourgoog_0067,608,613,Phil.,Q1415903,WORK,Q504771,Philon de Byblos,,0
lestragdiesdeso00tourgoog_0067,641,647,Rhésus,Q667750,WORK,Q1061782,Rhésos,,0
lestragdiesdeso00tourgoog_0067,678,681,ſi.,Q8275,WORK,NIL,ſi.,"Based on the analysis of the provided text, the entity within the [ENT] tags appears to be ""ſi. [ENT] XIII, 362"". After reviewing the list of candidates, it seems that this entity does not closely match any of the provided options with high confidence. Therefore, the appropriate response is: ```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
lestragdiesdeso00tourgoog_0067,729,737,fragment,NIL,WORK,NIL,fragment,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
lestragdiesdeso00tourgoog_0067,740,747,Eupolis,Q459517,PER,Q459517,Eupolis,,0
lestragdiesdeso00tourgoog_0067,871,877,Lobeck,Q84734,PER,Q84734,Christian Lobeck,,0
lestragdiesdeso00tourgoog_0067,993,1010,Physiognomoniques,Q3303903,WORK,Q841933,physiognomonie,,0
lestragdiesdeso00tourgoog_0067,1013,1024,"d’Aristote,",Q868,PER,Q868,Aristote,,0
lestragdiesdeso00tourgoog_0067,1035,1046,Aristophane,Q43353,PER,Q43353,Aristophane,,0
lestragdiesdeso00tourgoog_0067,1048,1058,Chevaliers,Q1215817,WORK,Q1056721,chevalerie,,0
lestragdiesdeso00tourgoog_0067,1093,1108,OEdipe ἃ Οοίοπε,Q294001,WORK,Q130890,Œdipe,,0
lestragdiesdeso00tourgoog_0067,1499,1507,Euripide,Q48305,PER,Q48305,Euripide,,0
lestragdiesdeso00tourgoog_0067,1509,1526,Iphigénie & Aulis,Q1233770,WORK,Q1233770,Iphigénie à Aulis,,0
lestragdiesdeso00tourgoog_0067,1783,1789,Wunder,Q15438962,PER,Q76161,Johannes Werner,"```json { ""wikipedia_page"": ""Johannes Werner"", ""wikidata_id"": ""Q76161"" } ```",11.493398666381836
lestragdiesdeso00tourgoog_0067,1949,1955,Wander,Q15438962,PER,Q1749935,Wolferdus Senguerdius,"Based on the provided input text and the list of candidates, the entity mentioned between the [ENT] tags is likely referring to a person named ""Wander."" However, none of the provided candidates exactly match ""Wander."" Given the context of historical references and philological texts, the closest match with the highest confidence is ""Wolferdus Senguerdius,"" who is a professor of university. ```json {""wikipedia_page"":""Wolferdus Senguerdius"", ""wikidata_id"":""Q1749935""} ```",9.102474212646484
lestragdiesdeso00tourgoog_0081,312,319,Athènes,Q1524,LOC,Q1524,Athènes,,0
lestragdiesdeso00tourgoog_0081,325,332,Électre,Q733444,WORK,Q131651,Électre,,0
lestragdiesdeso00tourgoog_0081,478,486,OEd. Ro:,Q148643,WORK,NIL,OEd. Ro:,"```json {""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL""} ```",0
lestragdiesdeso00tourgoog_0089,133,143,ΟΕ Δ. (οί.,Q294001,WORK,Q7198,Ovide,"```json {""wikipedia_page"": ""Ovide"", ""wikidata_id"": ""Q7198""} ```",8.533985137939453
lestragdiesdeso00tourgoog_0089,171,183,ISehneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,"Based on the analysis of the input text and the list of candidates, the entity mentioned between the [ENT] tags is highly likely to be ""Friedrich Wilhelm Schneidewin"". Therefore, the corresponding Wikipedia page title and Wikidata ID are: ```json {""wikipedia_page"": ""Friedrich Wilhelm Schneidewin"", ""wikidata_id"": ""Q70043""} ```",14.500842094421387
lestragdiesdeso00tourgoog_0089,474,480,Wunder,Q15438962,PER,Q15438962,Eduard Wunder,"```json { ""wikipedia_page"": ""Eduard Wunder"", ""wikidata_id"": ""Q15438962"" } ```",13.301916122436523
lestragdiesdeso00tourgoog_0089,540,551,Schneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,,0
lestragdiesdeso00tourgoog_0089,642,648,Teucer,Q878184,PER,Q878184,Teucros,,0
lestragdiesdeso00tourgoog_0089,651,658,Ménélas,Q171839,PER,Q171839,Ménélas,,0
lestragdiesdeso00tourgoog_0089,893,900,Électre,Q733444,WORK,Q131651,Électre,,0
lestragdiesdeso00tourgoog_0089,970,981,Scbneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,"```json {""wikipedia_page"": ""Friedrich Wilhelm Schneidewin"", ""wikidata_id"": ""Q70043""} ```",10.289529800415039
lestragdiesdeso00tourgoog_0089,1190,1198,"QEd, Roi",Q148643,WORK,Q19760085,Le Livre au roi,"```json { ""wikipedia_page"": ""Le Livre du roi"", ""wikidata_id"": ""Q19760085"" } ```",6.348285675048828
lestragdiesdeso00tourgoog_0097,29,36,Odyssée,Q35160,WORK,Q35160,Odyssée,,0
lestragdiesdeso00tourgoog_0097,223,231,Eustathe,Q453465,PER,Q453465,Eustathe de Thessalonique,,0
lestragdiesdeso00tourgoog_0097,652,661,"Hérodote,",Q26825,PER,Q26825,Hérodote,,0
lestragdiesdeso00tourgoog_0097,732,741,Eurysacés,Q1378566,PER,Q1378566,Eurysacès,,0
lestragdiesdeso00tourgoog_0097,903,909,Iliade,Q8275,WORK,Q8275,Iliade,,0
lestragdiesdeso00tourgoog_0097,1067,1073,Attius,Q311287,PER,Q311733,Atticus,,0
lestragdiesdeso00tourgoog_0097,1080,1087,Macrobe,Q313934,PER,Q313934,Macrobe,,0
lestragdiesdeso00tourgoog_0097,1143,1150,Virgile,Q1398,PER,Q1398,Virgile,,0
lestragdiesdeso00tourgoog_0097,1152,1158,Énéide,Q60220,WORK,Q60220,Énéide,,0
lestragdiesdeso00tourgoog_0097,1270,1278,Sophocle,Q11950683,PER,Q7235,Sophocle,,0
lestragdiesdeso00tourgoog_0097,1340,1347,ÆRacine,Q742,PER,Q742,Jean Racine,"```json { ""wikipedia_page"": ""Jean Racine"", ""wikidata_id"": ""Q742"" } ```",13.39627742767334
lestragdiesdeso00tourgoog_0097,1496,1505,OEd. Col.,Q294001,WORK,NIL,OEd. Col.,"```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
lestragdiesdeso00tourgoog_0097,1614,1625,Schneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,,0
lestragdiesdeso00tourgoog_0097,1660,1673,Trachiniennes,Q945342,WORK,Q945342,Les Trachiniennes,,0
lestragdiesdeso00tourgoog_0097,1816,1824,»λίϊοοί.,Q1415903,WORK,Q14399,iota,"```json { ""wikipedia_page"": ""iota"", ""wikidata_id"": ""Q14399"" } ```",3.2271182537078857
lestragdiesdeso00tourgoog_0097,1883,1894,Schneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,,0
lestragdiesdeso00tourgoog_0097,1979,1986,Dindorf,Q67533,PER,Q1539802,Gottlieb Immanuel Dindorf,,0
lestragdiesdeso00tourgoog_0121,410,417,Hermann,Q77616,PER,Q241422,Jean Hermann,"```json { ""wikipedia_page"": ""Jean Hermann"", ""wikidata_id"": ""Q241422"" } ```",14.945374488830566
lestragdiesdeso00tourgoog_0121,421,428,Ellendt,Q18411557,PER,Q18411557,Johann Ernst Ellendt,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags is ""Ellendt."" After reviewing the candidates, the most appropriate Wikidata entity is: ```json {""wikipedia_page"":""Johann Ernst Ellendt"", ""wikidata_id"":""Q18411557""} ```",13.374157905578613
lestragdiesdeso00tourgoog_0121,467,480,OEd. à Colone,Q294001,WORK,Q918431,Odilon de Cluny,"```json { ""wikipedia_page"": ""Odilon de Cluny"", ""wikidata_id"": ""Q918431"" } ```",7.545409202575684
lestragdiesdeso00tourgoog_0121,488,494,Wunder,Q15438962,PER,Q15438962,Eduard Wunder,"```json { ""wikipedia_page"": ""Eduard Wunder"", ""wikidata_id"": ""Q15438962"" } ```",11.701133728027344
lestragdiesdeso00tourgoog_0121,498,511,Schneidewin.],Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,,0
lestragdiesdeso00tourgoog_0121,542,550,Tecmesse,Q10796858,PER,Q3516977,Tecmesse,,0
lestragdiesdeso00tourgoog_0121,573,577,Ajax,Q172725,PER,Q172725,Ajax,"{ ""wikipedia_page"": ""Ajax"", ""wikidata_id"": ""Q172725"" }",15.20469856262207
lestragdiesdeso00tourgoog_0121,870,877,Élecrrc,Q733444,WORK,Q131651,Électre,"Based on the provided text, I have disambiguated the entity within the [ENT] tags. Here is the JSON-formatted answer: ```json { ""wikipedia_page"": ""Électre"", ""wikidata_id"": ""Q131651"" } ```",8.920804977416992
lestragdiesdeso00tourgoog_0024,532,539,Elmsley,Q7173848,PER,Q42887230,William Jackson Elmslie,,0
lestragdiesdeso00tourgoog_0024,543,551,Gaisford,Q2424118,PER,Q2424118,Thomas Gaisford,,0
lestragdiesdeso00tourgoog_0024,722,728,Oxford,Q34217,LOC,Q34217,Oxford,,0
lestragdiesdeso00tourgoog_0024,732,749,Guillaume Dindorf,Q67533,PER,Q1539802,Gottlieb Immanuel Dindorf,,0
lestragdiesdeso00tourgoog_0024,810,817,Elmsley,Q7173848,PER,Q7173848,Peter Elmsley,,0
lestragdiesdeso00tourgoog_0024,821,829,Gaisford,Q2424118,PER,Q2424118,Thomas Gaisford,,0
lestragdiesdeso00tourgoog_0024,1003,1023,Démétrius Triclinius,Q2987520,PER,Q2987520,Démétrios Triclinios,,0
lestragdiesdeso00tourgoog_0024,1204,1212,"Dindorf,",Q67533,PER,Q67533,Karl Wilhelm Dindorf,,0
lestragdiesdeso00tourgoog_0024,1221,1232,Schneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,,0
lestragdiesdeso00tourgoog_0024,1247,1252,Nauck,Q95964,PER,Q95964,August Nauck,,0
lestragdiesdeso00tourgoog_0024,1271,1282,Schneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,,0
lestragdiesdeso00tourgoog_0024,2061,2072,Schneidewin,Q70043,PER,Q70043,Friedrich Wilhelm Schneidewin,,0
lestragdiesdeso00tourgoog_0024,2083,2088,Nauck,Q95964,PER,Q15435206,Hugo Nauck,,0
lestragdiesdeso00tourgoog_0025,419,425,Wunder,Q15438962,PER,Q15438962,Eduard Wunder,"```json { ""wikipedia_page"": ""Eduard Wunder"", ""wikidata_id"": ""Q15438962"" } ```",14.410176277160645
lestragdiesdeso00tourgoog_0025,509,517,Sophocle,Q7235,PER,Q7235,Sophocle,,0
lestragdiesdeso00tourgoog_0025,1014,1018,Rhin,Q21198444,LOC,Q584,Rhin,,0
lestragdiesdeso00tourgoog_0025,1473,1477,Neue,NIL,PER,Q124711,Christian Friedrich Neue,,0
lestragdiesdeso00tourgoog_0025,1529,1535,France,Q142,LOC,Q142,France,,0
lestragdiesdeso00tourgoog_0025,1602,1606,Neue,NIL,PER,Q124711,Christian Friedrich Neue,,0
lestragdiesdeso00tourgoog_0025,1694,1702,Sophocle,Q7235,PER,Q7235,Sophocle,,0
lestragdiesdeso00tourgoog_0025,1883,1891,Sophocle,Q7235,PER,Q7235,Sophocle,,0
lestragdiesdeso00tourgoog_0025,1894,1902,Sophocle,Q7235,PER,Q7235,Sophocle,,0
lestragdiesdeso00tourgoog_0025,2008,2012,Neue,NIL,PER,Q124711,Christian Friedrich Neue,"Based on the analysis of the input text and the JSON list of candidates, the entity mentioned between the [ENT] tags is ""Christian Friedrich Neue"". Here is the JSON-formatted answer: ```json { ""wikipedia_page"": ""Christian Friedrich Neue"", ""wikidata_id"": ""Q124711"" } ```",15.345009803771973
lestragdiesdeso00tourgoog_0138,366,374,Antigone,Q241077,WORK,Q241077,Antigone,,0
lestragdiesdeso00tourgoog_0138,410,417,Eschyle,Q40939,PER,Q40939,Eschyle,,0
lestragdiesdeso00tourgoog_0138,419,428,Agamemnon,Q3320792,WORK,Q128176,Agamemnon,,0
lestragdiesdeso00tourgoog_0138,578,584,Eurip.,Q48305,PER,Q48305,Euripide,,0
lestragdiesdeso00tourgoog_0138,587,594,Androm.,Q512802,WORK,Q22906369,Andromachos,,0
lestragdiesdeso00tourgoog_0138,600,607,Heracl.,Q1233835,WORK,Q41155,Héraclite,,0
lestragdiesdeso00tourgoog_0138,616,624,Sophocl.,Q7235,PER,Q7235,Sophocle,,0
lestragdiesdeso00tourgoog_0138,627,635,Trachin.,Q1049466,WORK,Q945342,Les Trachiniennes,,0
lestragdiesdeso00tourgoog_0138,657,664,T. Liv.,Q2039,PER,Q2039,Tite-Live,,0
lestragdiesdeso00tourgoog_0138,678,685,Lucret.,Q47154,PER,Q47154,Lucrèce,,0
lestragdiesdeso00tourgoog_0138,712,728,"Plutarch., Sull.",Q12902611,WORK,Q41523,Plutarque,,0
lestragdiesdeso00tourgoog_0138,738,750,Lu«cull.xv);,Q12902610,WORK,Q242819,Lucullus,"{ ""wikipedia_page"": ""Lucullus"", ""wikidata_id"": ""Q242819"" }",10.30893325805664
lestragdiesdeso00tourgoog_0138,762,769,Phænic.,Q1233660,WORK,Q36734,phénicien,,0
lestragdiesdeso00tourgoog_0138,779,785,Lobeck,Q84734,PER,Q1637369,Lobeck,"Based on the input text and the list of candidates, the entity mentioned between the [ENT] tags is ""Lobeck"". The most appropriate Wikidata entity from the list of candidates is ""Lobeck"" with Wikidata ID Q1637369 and Wikipedia page title ""Lobeck"". ```json {""wikipedia_page"": ""Lobeck"", ""wikidata_id"": ""Q1637369""} ```",14.117180824279785
lestragdiesdeso00tourgoog_0138,910,921,Aristophane,Q43353,PER,Q43353,Aristophane,,0
lestragdiesdeso00tourgoog_0138,923,934,"Chevaliers,",Q1215817,WORK,Q1215817,Les Cavaliers,,0
