doc_id,surface,start_pos,end_pos,type,identifier
hidden_test_fr_1,café Mollard,898,910,LOC,NIL
hidden_test_fr_2,Palais-Bour¬bon,1881,1896,LOC,Q936633
hidden_test_fr_2,Œuvre,2675,2680,PROD,Q1880717
hidden_test_fr_3,Luxembourg,761,771,LOC,Q32
hidden_test_fr_4,Sofia,1079,1084,LOC,Q472
hidden_test_fr_4,M. Lucien Baumann,1284,1301,PER,NIL
hidden_test_fr_4,France,2370,2376,LOC,Q142
hidden_test_fr_5,Jan¬nings,35,44,PER,Q77181
hidden_test_fr_5,"STUDIO 28 10, r. Tholoze",695,719,LOC,Q3500949
hidden_test_fr_5,"21, rue Auber, PARIS (IXe)",952,978,LOC,NIL
hidden_test_fr_5,Paris,1668,1673,LOC,Q90
hidden_test_fr_5,"Paris, 15e arr.",1833,1848,LOC,Q191066
hidden_test_fr_5,"société Générale de Négocianone21, rue Auber, Paris",3030,3081,LOC,NIL
hidden_test_fr_5,Seine-et-Oise,3714,3727,LOC,Q979470
hidden_test_fr_5,20e arrondissement,4427,4445,LOC,Q210720
hidden_test_fr_5,Fresnes,4543,4550,LOC,Q5503154
hidden_test_fr_6,Pologne,270,277,LOC,Q36
hidden_test_fr_6,M. HenriMontfort,479,495,PER,NIL
hidden_test_fr_6,Lyon,1939,1943,LOC,Q456
hidden_test_fr_6,Paris,2763,2768,LOC,Q90
hidden_test_fr_6,Normandie,4616,4625,LOC,Q18677875
hidden_test_fr_7,Coulommiers,77,88,LOC,Q251731
hidden_test_fr_7,Rebais,143,149,LOC,Q840728
hidden_test_fr_8,RUEL (Artisan),383,397,PER,NIL
hidden_test_fr_9,Philippe,3855,3863,PER,NIL
hidden_test_fr_10,"5, ruedes Ursulines",6093,6112,LOC,NIL
hidden_test_fr_10,"64,rue Pigalle",7270,7284,LOC,NIL
hidden_test_fr_11,butte Montmartre,1915,1931,LOC,Q186115
hidden_test_fr_11,"M.Formigé, architecte du service des prome¬nades",3667,3715,PER,Q1685409
hidden_test_fr_11,ancien parc des Princes àAuteuil,3904,3936,LOC,Q784536
hidden_test_fr_11,Auteuil,8252,8259,LOC,Q784536
hidden_test_fr_11,gare dele Lyon,8457,8471,LOC,Q747541
hidden_test_fr_12,Léopoldine,367,377,PER,NIL
hidden_test_fr_12,France,995,1001,LOC,Q142
hidden_test_fr_13,Pierri,2308,2314,PER,NIL
hidden_test_fr_13,France,4101,4107,LOC,Q142
hidden_test_fr_13,Lauriane,7909,7917,PER,NIL
hidden_test_fr_14,Chambre,2120,2127,ORG,Q58910280
hidden_test_fr_14,M. ROUHER,8387,8396,PER,Q3060162
hidden_test_fr_14,Sénat,9462,9467,ORG,Q215987
hidden_test_fr_14,S. EXC. M. SCHNEIDER,10857,10877,PER,Q368966
hidden_test_fr_14,Notre collaborateur Paschal Grousset,15397,15433,PER,Q1118848
hidden_test_fr_14,Nord,19250,19254,LOC,Q659
hidden_test_fr_14,Beauvais,19326,19334,LOC,Q174257
hidden_test_fr_14,Pontoise,19369,19377,LOC,Q201352
hidden_test_fr_14,"104, rue Ri¬chelieu",21486,21505,ORG,NIL
hidden_test_fr_14,MONITEUR DES TIRAGES FINANCIERS,21897,21928,ORG,NIL
hidden_test_fr_14,"Palais-Royal, 70 à 73",22043,22064,LOC,NIL
hidden_test_fr_15,"1l, rue d'Oran",666,680,LOC,NIL
hidden_test_fr_16,Ecole polytechnique,3205,3224,ORG,Q273626
hidden_test_fr_16,M. Emile Littré,3230,3245,PER,Q286107
hidden_test_fr_16,Georges Sand,3617,3629,PER,Q3816
hidden_test_fr_16,Déjazet,6667,6674,PER,Q437167
hidden_test_fr_16,M. LouisMoland,7469,7483,PER,Q18115615
hidden_test_fr_16,Marie-Joseph Ché¬nier,8096,8117,PER,Q736424
hidden_test_fr_16,Ducancel,8343,8351,PER,Q38620548
hidden_test_fr_16,citoyenMaillot,8399,8413,PER,NIL
hidden_test_fr_16,M. Louis Moland,8415,8430,PER,Q18115615
hidden_test_fr_17,Chambre,186,193,ORG,Q320283
hidden_test_fr_17,Banque de Paris,2922,2937,ORG,Q69404174
hidden_test_fr_17,Cham¬bre,7296,7304,ORG,Q320283
