doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent2,215,224,Kramarsch,NIL,PER,Q84714,Karl Karmarsch,"```json {""wikipedia_page"":""Karl Karmarsch"", ""wikidata_id"":""Q84714""} ```",18.277515411376953
hidden_test_de_1_sent2,782,786,Thun,Q79181,PER,NIL,Thun,No.,0
hidden_test_de_1_sent2,1417,1421,Thun,Q79181,PER,Q79119,Franz von Thun und Hohenstein,"```json {""wikipedia_page"": ""Franz von Thun und Hohenstein"", ""wikidata_id"": ""Q79119""} ```",15.099220275878906
hidden_test_de_1_sent2,1478,1482,Prag,Q1085,LOC,NIL,Prag,no.,0
hidden_test_de_1_sent2,1683,1688,"Thun,",Q79181,PER,Q14790934,Franz Anton II. von Thun und Hohenstein,"```json {""wikipedia_page"":""Franz Anton II. von Thun und Hohenstein"", ""wikidata_id"":""Q14790934""} ```",10.614337921142578
hidden_test_de_1_sent3,88,97,v. Plener,Q324918,PER,NIL,v. Plener,no,0
hidden_test_de_1_sent3,162,171,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,"```json {""wikipedia_page"":""Ignaz von Plener"", ""wikidata_id"":""Q78834""} ```",19.985506057739258
hidden_test_de_1_sent3,413,422,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,"```json {""wikipedia_page"": ""Ignaz von Plener"", ""wikidata_id"": ""Q78834""} ```",19.238040924072266
hidden_test_de_1_sent4,138,147,v. Plener,Q324918,PER,Q78834,Ignaz von Plener,"```json {""wikipedia_page"":""Ignaz von Plener"", ""wikidata_id"":""Q78834""} ```",19.783489227294922
hidden_test_de_1_sent5,289,298,v. Plener,Q324918,PER,NIL,v. Plener,no,0
hidden_test_de_1_sent5,876,880,Thun,Q79181,PER,NIL,Thun,no.,0
hidden_test_de_1_sent6,36,40,Thun,Q79181,PER,NIL,Thun,no.,0
hidden_test_de_1_sent6,133,148,MariePospischil,NIL,PER,Q12035450,Maria Pospischil,"```json {""wikipedia_page"":""Maria Pospischil"", ""wikidata_id"":""Q12035450""} ```",25.909624099731445
hidden_test_de_1_sent6,222,226,Thun,Q79181,PER,NIL,Thun,no,0
hidden_test_de_1_sent6,330,334,Thun,Q79181,PER,NIL,Thun,No,0
