doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
sn83030483-1790-01-02-a-i0004,227,242,Uni¬ ted Stares,Q30,LOC,Q30,United States of America,"Based on the input text and the list of candidates provided, the entity mentioned between the [ENT] tags is ""United States of America"". The most appropriate Wikidata entity from the list of candidates is: ```json {""wikipedia_page"":""United States of America"", ""wikidata_id"":""Q30""} ```",13.933012008666992
sn83030483-1790-01-02-a-i0004,428,449,Journal of the Senate,Q7891333,PROD,Q7891333,United States Senate Journal,"Based on the input text, the entities tagged by [ENT] are ""Journal of the Senate"" and ""Senate."" Given the list of candidates, the most suitable and highly confident matches are: 1. ""United States Senate Journal"" (Wikidata ID: Q7891333) 2. ""United States Senate"" (Wikidata ID: Q66096) Here is the JSON response: ```json { ""wikipedia_page"": ""United States Senate Journal"", ""wikidata_id"": ""Q7891333"" } ``` These entities are directly referenced in the context of the document and match the candidate list provided.",18.807186126708984
sn83030483-1790-02-10-a-i0002,43,49,Senate,Q1525949,ORG,Q1525949,New Hampshire Senate,"```json {""wikipedia_page"":""New Hampshire Senate"", ""wikidata_id"":""Q1525949""} ```",21.717857360839844
sn83030483-1790-02-10-a-i0002,54,80,House ^/'Represen¬ tatives,Q1525939,ORG,Q1525939,New Hampshire House of Representatives,"```json { ""wikipedia_page"": ""New Hampshire House of Representatives"", ""wikidata_id"": ""Q1525939"" } ```",24.75440216064453
sn83030483-1790-02-10-a-i0002,85,98,New-Hampshire,Q759,LOC,Q759,New Hampshire,"```json {""wikipedia_page"": ""New Hampshire"", ""wikidata_id"": ""Q759""} ```",26.833240509033203
sn83030483-1790-02-10-a-i0002,569,582,New-Humpfhire,Q759,LOC,Q759,New Hampshire,"```json {""wikipedia_page"":""New Hampshire"", ""wikidata_id"":""Q759""} ```",21.296201705932617
sn83030483-1790-02-10-a-i0002,1420,1433,United States,Q30,LOC,Q30,United States of America,"```json { ""wikipedia_page"": ""United States of America"", ""wikidata_id"": ""Q30"" } ```",23.806842803955078
sn83030483-1790-02-10-a-i0002,1535,1549,New-Hampffiire,Q759,LOC,Q759,New Hampshire,"Based on the provided text and the list of candidates, the most appropriate Wikidata entity for the entity tagged with [ENT] in the text is ""New Hampshire"". The Wikidata ID for New Hampshire is Q759 and the Wikipedia page title is ""New Hampshire"". Here is the JSON-formatted response: ```json { ""wikipedia_page"": ""New Hampshire"", ""wikidata_id"": ""Q759"" } ```",21.606151580810547
sn83030483-1790-02-10-a-i0002,1593,1606,Federal Court,Q194907,ORG,Q194907,United States federal courts,"```json { ""wikipedia_page"": ""United States federal courts"", ""wikidata_id"": ""Q194907"" } ```",16.084453582763672
sn83030483-1790-02-10-a-i0002,3097,3124,Senate of the United States,Q66096,ORG,Q66096,United States Senate,"Based on the provided text and the JSON list of candidates, the entity mentioned between the [ENT] tags is likely referring to the ""United States Senate"". This is the most appropriate Wikidata entity given the historical context and the available candidates. Therefore, the JSON response should be: ```json {""wikipedia_page"": ""United States Senate"", ""wikidata_id"": ""Q66096""} ```",25.91305923461914
