doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_sv_1,552,558,Viborg,Q14657,LOC,Q14657,Viborg,,22.360347747802734
hidden_test_sv_1,570,580,Petersburg,Q656,LOC,Q656,Sankt Petersburg,,21.0201358795166
hidden_test_sv_1,774,804,villaägarin-nan E. M. Schalien,NIL,PER,NIL,villaägarin-nan E. M. Schalien,"```json {""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL""} ```",0
hidden_test_sv_1,973,1012,"Fru Alma Fohström, vårcelebra sångerska",Q4948406,PER,Q4948406,Alma Fohström,"```json {""wikipedia_page"": ""Alma Fohström"", ""wikidata_id"": ""Q4948406""} ```",14.017291069030762
hidden_test_sv_1,1133,1139,fru F.,Q4948406,PER,Q4948406,Alma Fohström,"```json {""wikipedia_page"": ""Alma Fohström"", ""wikidata_id"": ""Q4948406""} ```",10.611488342285156
hidden_test_sv_1,1172,1193,Kejs. operan i Moskva,Q138908,ORG,Q138908,Bolsjojteatern,"```json {""wikipedia_page"": ""Bolsjojteatern"", ""wikidata_id"": ""Q138908""} ```",18.936779022216797
hidden_test_sv_1,1347,1353,fru F.,Q4948406,PER,Q4948406,Alma Fohström,"```json {""wikipedia_page"": ""Alma Fohström"", ""wikidata_id"": ""Q4948406""} ```",8.657441139221191
hidden_test_sv_1,1419,1435,Svenska teaterns,Q926046,ORG,Q926046,Svenska Teatern,,33.01322555541992
hidden_test_sv_1,1519,1530,Z. Topelius,Q139549,PER,Q139549,Zacharias Topelius,,23.534929275512695
hidden_test_sv_1,2008,2034,Akademiska sångför-eningen,Q4411935,PER,Q4411935,Akademiska Sångföreningen,,24.394378662109375
hidden_test_sv_1,2064,2086,statsrådet Z. Topelius,Q139549,PER,Q139549,Zacharias Topelius,"```json {""wikipedia_page"": ""Zacharias Topelius"", ""wikidata_id"": ""Q139549""} ```",15.451251029968262
hidden_test_sv_1,2303,2309,Pacius,Q327024,PER,Q327024,Fredrik Pacius,"```json {""wikipedia_page"": ""Fredrik Pacius"", ""wikidata_id"": ""Q327024""} ```",16.608489990234375
hidden_test_sv_1,2325,2331,Collan,Q1730669,PER,Q1730669,Karl Collan,"```json {""wikipedia_page"": ""Karl Collan"", ""wikidata_id"": ""Q1730669""} ```",18.495454788208008
hidden_test_sv_1,2376,2385,Merikanto,Q455630,PER,Q455630,Oskar Merikanto,"```json {""wikipedia_page"": ""Oskar Merikanto"", ""wikidata_id"": ""Q455630""} ```",17.69576072692871
