doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fi_1,790,801,Toulousesta,Q7880,LOC,Q7880,Toulouse,,0
hidden_test_fi_1,1367,1377,Pietarissa,Q656,LOC,Q656,Pietari,,0
hidden_test_fi_1,1564,1575,Newyorkista,Q60,LOC,Q60,New York,,0
hidden_test_fi_1,1682,1693,Englannissa,Q21,LOC,Q21,Englanti,,0
hidden_test_fi_1,1887,1899,Kuparisaaren,Q5168740,LOC,Q5168740,Kuparisaari,"```json {""wikipedia_page"": ""Kuparisaari"", ""wikidata_id"": ""Q5168740""} ```",17.429279327392578
hidden_test_fi_1,2869,2883,Saksi-Weimarin,Q315667,LOC,Q315667,,,0
hidden_test_fi_1,2909,2923,Heidelbergissä,Q2966,LOC,Q2966,Heidelberg,,0
hidden_test_fi_1,3389,3397,Weimarin,Q3955,LOC,Q3955,Weimar,"```json {""wikipedia_page"": ""Weimar"", ""wikidata_id"": ""Q3955""} ```",16.31236457824707
hidden_test_fi_1,3650,3660,Berlinistä,Q64,LOC,Q64,Berliini,,0
hidden_test_fi_1,3980,3998,Berliner Tageblatt,Q455014,PROD,Q455014,,,0
hidden_test_fi_1,4053,4067,Heidelbergissä,Q2966,LOC,Q2966,Heidelberg,,0
hidden_test_fi_1,4099,4109,Wei-mariin,Q3955,LOC,Q3955,Weimar,,0
hidden_test_fi_1,4511,4524,Paul Sabatier,Q104575,PER,Q104575,Paul Sabatier,,0
hidden_test_fi_1,4531,4540,Toulousen,Q7880,LOC,Q7880,Toulouse,,0
hidden_test_fi_1,4613,4697,"yliopiston professorin,Nobelin viimevuotisen kemianpalkin-non saajan Paul Sabatier’n",Q104575,PER,Q104575,Paul Sabatier,"```json {""wikipedia_page"": ""Paul Sabatier"", ""wikidata_id"": ""Q104575""} ```",15.037687301635742
hidden_test_fi_1,4710,4730,Presidentti Poincaré,Q191974,PER,Q191974,Raymond Poincaré,"```json {""wikipedia_page"": ""Raymond Poincaré"", ""wikidata_id"": ""Q191974""} ```",19.450685501098633
hidden_test_fi_1,4759,4768,Toulousea,Q7880,LOC,Q7880,Toulouse,,0
hidden_test_fi_1,4877,4896,prof. Saba-tier’lle,Q104575,PER,Q104575,Paul Sabatier,"```json {""wikipedia_page"": ""Paul Sabatier"", ""wikidata_id"": ""Q104575""} ```",19.1950740814209
hidden_test_fi_2,29,45,Helsingin pörssi,Q581755,ORG,Q581755,Helsingin pörssi,,0
hidden_test_fi_2,1825,1853,kauppaneuvosVictor Forselius,Q17380259,PER,Q17380259,Victor Forselius,,0
hidden_test_fi_2,1866,1889,merikapt.G. E. Mattsson,Q17382504,PER,Q17382504,Gustaf Edvard Mattson,,0
