doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
lestragdiesdeso00tourgoog_0064,658,665,Ellendt,Q18411800,PER,Q18411557,Johann Ernst Ellendt,"```json { ""wikipedia_page"": ""Johann Ernst Ellendt"", ""wikidata_id"": ""Q18411557"" } ```",21.65277099609375
lestragdiesdeso00tourgoog_0064,696,702,ϑυϊάλ5,Q1534037,PER,NIL,ϑυϊάλ5,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
lestragdiesdeso00tourgoog_0064,739,764,discours Sur les Mystères,Q87737021,WORK,Q7091433,Sur les Symmories,"```json { ""wikipedia_page"": ""Discours sur les Mystères"", ""wikidata_id"": ""Q7091433"" } ```",16.109373092651367
lestragdiesdeso00tourgoog_0064,1329,1333,Ajux,Q172725,PER,Q412341,Ajax,"```json { ""wikipedia_page"": ""Ajax"", ""wikidata_id"": ""Q412341"" } ```",14.953128814697266
lestragdiesdeso00tourgoog_0067,11,18,Ellendt,Q18411800,PER,Q2265847,Elland,"```json { ""wikipedia_page"": ""Elland"", ""wikidata_id"": ""Q2265847"" } ```",10.455548286437988
lestragdiesdeso00tourgoog_0067,205,212,Linwood,NIL,PER,Q3044423,John Lindow,"```json { ""wikipedia_page"":""William Lindow"", ""wikidata_id"":""Q3044423"" } ```",14.857781410217285
lestragdiesdeso00tourgoog_0067,217,242,hymne homérique à Apollon,Q3798932,WORK,Q329342,Hymnes homériques," ```json {""wikipedia_page"":""Hymnes homériques"", ""wikidata_id"":""Q329342""} ```",18.392454147338867
lestragdiesdeso00tourgoog_0067,251,264,"Lemnos,lcarie",Q209576,LOC,Q192483,Lemnos,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags is ""Lemnos"". The most appropriate Wikidata entity from the list of candidates for this entity is ""Lemnos"" with the Wikidata ID ""Q192483"". Here is the JSON-formatted answer: ```json {""wikipedia_page"":""Lemnos"", ""wikidata_id"":""Q192483""} ```",12.726658821105957
lestragdiesdeso00tourgoog_0067,266,272,Nhodes,Q43048,LOC,Q1369671,Nohèdes,"Based on the input text and the given list of candidates, the entity mentioned between the [ENT] tags is ""Nohèdes"". Among the candidates, the most appropriate Wikidata entity is ""Nohèdes"" with Wikidata ID ""Q1369671"". Here's the JSON-formatted answer: ```json { ""wikipedia_page"": ""Nohèdes"", ""wikidata_id"": ""Q1369671"" } ```",13.509503364562988
lestragdiesdeso00tourgoog_0067,608,613,Phil.,Q1415903,WORK,Q334570,Philon de Byzance,"{""wikipedia_page"": ""Philon de Byzance"", ""wikidata_id"": ""Q334570""} The entity ""Philon de Byzance"" is the most suitable match from the given candidates.",15.386138916015625
lestragdiesdeso00tourgoog_0067,641,647,Rhésus,Q667750,WORK,Q1061782,Rhésos,"```json {""wikipedia_page"":""Rhésos"", ""wikidata_id"":""Q1061782""} ```",19.419157028198242
lestragdiesdeso00tourgoog_0067,678,681,ſi.,Q8275,WORK,NIL,ſi.,"Based on the input text provided and the list of candidates, the entity mentioned between the [ENT] tags is not present in the list of candidates with high confidence. Therefore, the Wikidata ID is selected as ""NIL"". ```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
