doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent2,215,224,Kramarsch,NIL,PER,NIL,Kramarsch,No,0
hidden_test_de_1_sent4,583,592,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"""yes""",19.267915725708008
hidden_test_de_1_sent4,727,736,v. Plener,Q324918,PER,Q324918,Ernst von Plener,yes,18.682601928710938
hidden_test_de_1_sent5,555,564,v. Plener,Q324918,PER,Q324918,Ernst von Plener,yes,22.117963790893555
hidden_test_de_1_sent6,91,100,Kramarsch,NIL,PER,NIL,Kramarsch,no,0
hidden_test_de_1_sent14,123,136,Dietrichstein,NIL,PER,NIL,Dietrichstein,no,0
hidden_test_de_1_sent15,1616,1625,Liberalen,NIL,ORG,NIL,Liberalen,No.,0
hidden_test_de_1_sent107,0,4,Sali,NIL,PER,NIL,Sali,No,0
hidden_test_de_1_sent112,0,5,Jenny,NIL,PER,NIL,Jenny,"""no""",0
hidden_test_de_1_sent112,21,30,Mitzi Bär,NIL,PER,NIL,Mitzi Bär,no,0
hidden_test_de_1_sent115,0,8,Steffens,NIL,PER,NIL,Steffens,no,0
hidden_test_de_1_sent115,54,66,Gustav Marik,NIL,PER,NIL,Gustav Marik,"""no""",0
hidden_test_de_1_sent132,1,8,Venedig,NIL,LOC,NIL,Venedig,no,0
hidden_test_de_1_sent132,12,16,Wien,NIL,LOC,NIL,Wien,no,0
hidden_test_de_1_sent157,32,36,Wien,NIL,LOC,NIL,Wien,no,0
hidden_test_de_1_sent184,490,501,Ignaz Brand,NIL,PER,NIL,Ignaz Brand,"""no""",0
hidden_test_de_1_sent184,502,506,Wien,NIL,LOC,NIL,Wien,no,0
hidden_test_de_1_sent194,142,146,Wien,NIL,LOC,NIL,Wien,"""no""",0
hidden_test_de_1_sent195,119,125,Aspang,NIL,LOC,NIL,Aspang,no,0
hidden_test_de_1_sent195,205,220,Kaltenleutgeben,NIL,LOC,NIL,Kaltenleutgeben,no,0
hidden_test_de_1_sent195,805,820,Kaltenleutgeben,NIL,LOC,NIL,Kaltenleutgeben,No,0
hidden_test_de_1_sent197,13,21,Hainfeld,NIL,LOC,NIL,Hainfeld,No,0
hidden_test_de_1_sent197,23,33,Gutenstein,NIL,LOC,NIL,Gutenstein,no,0
hidden_test_de_1_sent197,692,701,Laxrnburg,NIL,LOC,NIL,Laxrnburg,no,0
hidden_test_de_1_sent197,1001,1012,Leobersdorf,NIL,LOC,NIL,Leobersdorf,no,0
hidden_test_de_1_sent200,349,355,Zsolna,NIL,LOC,NIL,Zsolna,no,0
hidden_test_de_1_sent221,58,64,Aussig,NIL,LOC,NIL,Aussig,no,0
hidden_test_de_1_sent295,57,61,Wien,NIL,LOC,NIL,Wien,No.,0
hidden_test_de_2_sent0,452,467,Marquis de Sade,Q123867,PER,Q123867,Donatien Alphonse François de Sade,"""yes""",28.102399826049805
hidden_test_de_2_sent3,66,75,Dänemarks,Q35,LOC,Q35,Dänemark,Yes,21.244043350219727
hidden_test_de_2_sent3,323,344,BoulevardMontparnasse,Q2922078,LOC,Q2922078,Boulevard du Montparnasse,yes,22.21253776550293
hidden_test_de_2_sent3,420,428,New=York,Q60,LOC,Q60,New York City,yes,30.445785522460938
hidden_test_de_2_sent132,0,7,Leipzig,Q2079,LOC,Q2079,Leipzig,yes,33.64166259765625
hidden_test_de_2_sent134,161,174,Prodanowitsch,NIL,PER,NIL,Prodanowitsch,no,0
hidden_test_de_2_sent143,0,6,Madrid,Q2807,LOC,Q2807,Madrid,yes,31.44335174560547
hidden_test_de_2_sent173,91,96,Wien:,Q1741,LOC,Q1741,Wien,yes,20.457971572875977
hidden_test_de_2_sent189,123,127,9191,NIL,LOC,NIL,9191,no,0
hidden_test_de_2_sent189,300,305,22421,NIL,LOC,NIL,22421,no,0
hidden_test_de_2_sent197,49,57,Bienerth,Q79052,PER,Q79052,Richard von Bienerth-Schmerling,yes,23.0013427734375
hidden_test_de_2_sent197,523,531,Bienerth,Q79052,PER,Q79052,Richard von Bienerth-Schmerling,yes,23.253875732421875
hidden_test_de_2_sent205,682,687,Satan,Q35230,PER,Q35230,Satan,yes,22.474782943725586
hidden_test_de_2_sent205,1834,1850,Herr v. Bilinski,Q688332,PER,Q688332,Leon Biliński,yes,15.132270812988281
hidden_test_de_2_sent205,2570,2579,Bienerths,Q79052,PER,Q79052,Richard von Bienerth-Schmerling,yes,14.809488296508789
hidden_test_de_2_sent205,3091,3099,Bienerth,Q79052,PER,Q79052,Richard von Bienerth-Schmerling,yes,21.63522720336914
hidden_test_de_2_sent205,4335,4340,Satan,Q35230,PER,Q35230,Satan,yes,24.990896224975586
hidden_test_de_2_sent207,17,34,Volksküchenverein,NIL,ORG,NIL,Volksküchenverein,no,0
hidden_test_de_2_sent207,110,128,Beköstigungsverein,NIL,ORG,NIL,Beköstigungsverein,no,0
hidden_test_de_2_sent211,14,31,Volksküchenverein,NIL,ORG,NIL,Volksküchenverein,No.,0
hidden_test_de_2_sent211,806,820,Maurice Donnay,Q1251496,PER,Q1251496,Maurice Donnay,yes,34.67909622192383
hidden_test_de_2_sent214,444,467,Zeitschrift der Pariser,NIL,PROD,NIL,Zeitschrift der Pariser,no,0
hidden_test_de_2_sent214,945,953,Finnland,Q33,LOC,Q33,Finnland,yes,25.799854278564453
hidden_test_de_2_sent214,1069,1080,Herzegowina,Q189863,LOC,Q189863,Herzegowina,"""Yes.""",21.51034927368164
hidden_test_de_2_sent214,1135,1147,Skandinavien,Q21195,LOC,Q21195,Skandinavien,yes,24.31510353088379
hidden_test_de_2_sent215,687,692,Japan,Q17,LOC,Q17,Japan,yes,24.777982711791992
hidden_test_de_2_sent215,987,1014,Maria Theresien=Schlößchens,Q1801194,LOC,Q1801194,Maria-Theresien-Schlössel,"""yes""",21.399869918823242
hidden_test_de_2_sent215,1018,1025,Döbling,Q267360,LOC,Q267360,Döbling,yes,29.398664474487305
hidden_test_de_2_sent215,1592,1603,Heilanstalt,NIL,ORG,NIL,Heilanstalt,no,0
hidden_test_de_2_sent277,49,60,Stein¬brück,NIL,LOC,NIL,Stein¬brück,no,0
hidden_test_de_2_sent280,14,21,Köflach,NIL,LOC,NIL,Köflach,no,0
hidden_test_de_2_sent284,2,8,Triest,NIL,LOC,NIL,Triest,no,0
hidden_test_de_2_sent284,37,44,Rovigno,NIL,LOC,NIL,Rovigno,No,0
hidden_test_de_2_sent284,54,58,Brod,NIL,LOC,NIL,Brod,No.,0
hidden_test_de_2_sent292,16,24,Neu¬berg,NIL,LOC,NIL,Neu¬berg,No,0
hidden_test_de_2_sent297,11,24,Stein¬amanger,NIL,LOC,NIL,Stein¬amanger,No,0
hidden_test_de_2_sent301,2,9,Kanizsa,NIL,LOC,NIL,Kanizsa,no,0
hidden_test_de_2_sent306,26,29,Rom,NIL,LOC,NIL,Rom,no,0
hidden_test_de_2_sent306,47,51,Pola,NIL,LOC,NIL,Pola,"""No.""",0
hidden_test_de_2_sent306,68,74,Sissek,NIL,LOC,NIL,Sissek,no,0
hidden_test_de_2_sent308,14,27,Franzensfeste,NIL,LOC,NIL,Franzensfeste,no,0
hidden_test_de_2_sent312,24,27,Rom,NIL,LOC,NIL,Rom,no,0
hidden_test_de_2_sent312,44,51,Rovigno,NIL,LOC,NIL,Rovigno,no,0
hidden_test_de_2_sent315,25,32,Venedig,NIL,LOC,NIL,Venedig,No,0
hidden_test_de_2_sent316,33,42,Wolfsberg,NIL,LOC,NIL,Wolfsberg,No,0
hidden_test_de_2_sent320,29,34,Agram,NIL,LOC,NIL,Agram,no.,0
hidden_test_de_2_sent328,69,74,Agram,NIL,LOC,NIL,Agram,no,0
hidden_test_de_2_sent349,2,12,Steinbrück,NIL,LOC,NIL,Steinbrück,No.,0
hidden_test_de_2_sent349,14,18,Graz,NIL,LOC,NIL,Graz,no,0
hidden_test_de_2_sent357,43,49,Sissek,NIL,LOC,NIL,Sissek,No.,0
hidden_test_de_2_sent357,67,75,Gonobitz,NIL,LOC,NIL,Gonobitz,No.,0
hidden_test_de_2_sent361,15,24,Pon¬tafel,NIL,LOC,NIL,Pon¬tafel,No.,0
hidden_test_de_2_sent363,484,497,M. DukesNachf,NIL,ORG,NIL,M. DukesNachf,"""no""",0
hidden_test_de_2_sent371,65,81,Dr. Viktor Adler,Q366845,PER,Q366845,Victor Adler,yes,24.210411071777344
hidden_test_de_7_sent1,196,209,Erlerstraße 5,NIL,LOC,NIL,Erlerstraße 5,No.,0
hidden_test_de_7_sent1,224,233,Innsbruck,Q1735,LOC,Q1735,Innsbruck,yes,29.686063766479492
hidden_test_de_7_sent15,118,127,U 22=5=95,NIL,LOC,NIL,U 22=5=95,no,0
hidden_test_de_7_sent21,0,9,Innsbruck,Q1735,LOC,Q1735,Innsbruck,Yes,13.673955917358398
hidden_test_de_7_sent22,920,941,Vaterländischen Front,Q695482,ORG,Q695482,Vaterländische Front,yes,27.453989028930664
hidden_test_de_7_sent26,171,187,Deutschen Reiche,Q1206012,LOC,Q1206012,Deutsches Reich,Yes,22.719633102416992
hidden_test_de_7_sent28,60,81,Vaterländischen Front,Q695482,ORG,Q695482,Vaterländische Front,yes,14.388225555419922
hidden_test_de_7_sent29,42,67,BundeskanzlersDr. Dollfuß,Q11734,PER,Q11734,Engelbert Dollfuß,yes,20.169031143188477
hidden_test_de_7_sent29,183,194,Ministerrat,NIL,ORG,NIL,Ministerrat,no,0
hidden_test_de_7_sent34,420,447,Amtlichen Nachrichtenstelle,NIL,ORG,NIL,Amtlichen Nachrichtenstelle,No,0
hidden_test_de_7_sent34,839,861,Bundes¬kanzler Dollfuß,Q11734,PER,Q11734,Engelbert Dollfuß,yes,20.79640007019043
hidden_test_de_7_sent90,26,40,A. Sachsenheim,NIL,ORG,NIL,A. Sachsenheim,no,0
hidden_test_de_7_sent95,44,68,Maria=Threresien=Str. 25,Q647485,LOC,Q647485,Maria-Theresien-Straße,yes,15.234850883483887
hidden_test_de_8_sent10,208,215,"Krakau,",Q31487,LOC,Q31487,Krakau,yes,28.111560821533203
hidden_test_de_8_sent21,526,543,Franz Leibetzeder,NIL,PER,NIL,Franz Leibetzeder,no,0
hidden_test_de_8_sent25,60,77,Alexander=Kaserne,NIL,LOC,NIL,Alexander=Kaserne,No,0
hidden_test_de_8_sent47,180,186,Triest,Q546,LOC,Q546,Triest,"""yes""",23.58690643310547
hidden_test_de_8_sent47,264,277,Maria Brenner,NIL,PER,NIL,Maria Brenner,"""no""",0
hidden_test_de_8_sent48,146,175,Sanitäts¬inspektor Dr. Markhl,NIL,PER,NIL,Sanitäts¬inspektor Dr. Markhl,No.,0
hidden_test_de_8_sent48,313,325,Marie Soldan,NIL,PER,NIL,Marie Soldan,no,0
hidden_test_de_8_sent51,32,41,Debrezin.,Q79880,LOC,Q79880,Debrecen,yes,17.393569946289062
hidden_test_de_8_sent369,0,19,Theater an der Wien,Q374336,ORG,Q374336,Theater an der Wien,yes,25.239763259887695
hidden_test_de_8_sent401,2,9,Leipzig,Q2079,LOC,Q2079,Leipzig,yes,20.067007064819336
hidden_test_de_8_sent438,0,22,"Wien, I., Wollzeile 9.",NIL,LOC,NIL,"Wien, I., Wollzeile 9.",No.,0
