doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
lestragdiesdeso00tourgoog_0064,161,173,Iphig. Taur.,Q523227,WORK,NIL,Iphig. Taur.,```json {} ```,0
lestragdiesdeso00tourgoog_0064,223,235,Phéniciennes,Q1233660,WORK,NIL,Phéniciennes,no,0
lestragdiesdeso00tourgoog_0064,462,468,Laërte,Q748296,PER,Q2471533,Laërte,"```json {""wikipedia_page"":""Laërte"", ""wikidata_id"":""Q2471533""} ```",13.462610244750977
lestragdiesdeso00tourgoog_0064,658,665,Ellendt,Q18411800,PER,Q18411557,Johann Ernst Ellendt,"```json {""wikipedia_page"":""Johann Ernst Ellendt"", ""wikidata_id"":""Q18411557""} ```",21.65277099609375
lestragdiesdeso00tourgoog_0064,696,702,ϑυϊάλ5,Q1534037,PER,NIL,ϑυϊάλ5,No.,0
lestragdiesdeso00tourgoog_0064,729,737,Andocide,Q391654,PER,NIL,Andocide,no,0
lestragdiesdeso00tourgoog_0064,739,764,discours Sur les Mystères,Q87737021,WORK,NIL,discours Sur les Mystères,```json {} ```,0
lestragdiesdeso00tourgoog_0064,1329,1333,Ajux,Q172725,PER,Q244212,Ajoux,"Based on the provided text, the entity mentioned between the [ENT] tags is ""Ajux Ajoux"". From the given list of candidates, the most appropriate Wikidata entity that matches this name is ""Ajoux"". Here is the JSON response: ```json {""wikipedia_page"": ""Ajoux"", ""wikidata_id"": ""Q244212""} ```",14.017461776733398
lestragdiesdeso00tourgoog_0067,11,18,Ellendt,Q18411800,PER,Q2265847,Elland,"Based on the input text and the provided list of candidates, the entity mentioned between the [ENT] tags seems to be ""Ellendt"". Among the candidates, the most appropriate one is: - Elland Here is the JSON response: ```json {""wikipedia_page"": ""Elland"", ""wikidata_id"": ""Q2265847""} ``` The entity ""Elland"" appears to be a British locality, which matches the context given.",10.455548286437988
lestragdiesdeso00tourgoog_0067,205,212,Linwood,NIL,PER,Q18668613,William Linwood,"```json {""wikipedia_page"": ""William Linwood"", ""wikidata_id"": ""Q18668613""} ```",18.009571075439453
lestragdiesdeso00tourgoog_0067,217,242,hymne homérique à Apollon,Q3798932,WORK,NIL,hymne homérique à Apollon,no,0
lestragdiesdeso00tourgoog_0067,251,264,"Lemnos,lcarie",Q209576,LOC,NIL,"Lemnos,lcarie",no,0
