doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
NZZ-1798-01-20-a-p0002,41,44,Rom,Q220,LOC,Q220,Rom,yes,16.237071990966797
NZZ-1798-01-20-a-p0002,47,59,Buonaparte's,Q517,PER,Q517,Napoleon Bonaparte,yes,16.811119079589844
NZZ-1798-01-20-a-p0002,111,114,Rom,Q220,LOC,Q220,Rom,yes,17.89097023010254
NZZ-1798-01-20-a-p0002,318,330,Frank reichs,Q142,LOC,Q43482,Franken,yes,16.65113067626953
NZZ-1798-01-20-a-p0002,925,936,Gen. Duphot,Q977001,PER,NIL,Gen. Duphot,no,0
NZZ-1798-01-20-a-p0002,1100,1128,General¬ Lieutenant Sherlöck,NIL,PER,NIL,General¬ Lieutenant Sherlöck,no,0
NZZ-1798-01-20-a-p0002,1751,1754,Rom,Q220,LOC,NIL,Rom,no,0
NZZ-1798-01-20-a-p0002,1769,1781,Basseville's,Q3339973,PER,Q3339973,Nicolas Jean Hugon de Bassville,yes,12.506052017211914
NZZ-1798-01-20-a-p0002,1815,1826,Gen. Duphot,Q977001,PER,NIL,Gen. Duphot,no,0
NZZ-1808-04-29-a-p0002,468,490,danischen Blatte Dagen,Q1768412,PROD,Q35,Dänemark,yes,12.746357917785645
NZZ-1808-04-29-a-p0002,580,587,Rußland,Q159,LOC,NIL,Rußland,no,0
NZZ-1808-04-29-a-p0002,653,660,Seeland,Q25535,LOC,Q25535,Seeland,yes,17.66101837158203
NZZ-1808-04-29-a-p0002,774,781,Rußland,Q159,LOC,Q159,Russland,yes,19.934825897216797
NZZ-1808-04-29-a-p0002,883,901,General Hutchinson,Q321765,PER,NIL,General Hutchinson,no,0
NZZ-1808-04-29-a-p0002,977,987,Kopenhagen,Q1748,LOC,Q1748,Kopenhagen,,0
NZZ-1808-04-29-a-p0002,1282,1289,England,Q21,LOC,Q21,England,yes,20.527667999267578
NZZ-1808-04-29-a-p0002,1440,1451,Bartenstein,Q809585,LOC,Q1010904,Burg Bartenstein,yes,10.023670196533203
NZZ-1808-04-29-a-p0002,1562,1570,Dänemark,Q35,LOC,NIL,Dänemark,no,0
NZZ-1808-04-29-a-p0002,1605,1615,Frankreich,Q142,LOC,NIL,Frankreich,no,0
NZZ-1808-04-29-a-p0002,1942,1952,Lord Gower,Q334145,PER,NIL,Lord Gower,no,0
