doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fi_1,102,120,valta-kunnanduuman,Q844793,ORG,Q1649453,Venäjän keisarikunnan valtakunnanduuma,"```json { ""wikipedia_page"": ""Venäjän keisarikunnan valtakunnanduuma"", ""wikidata_id"": ""Q1649453"" } ```",8.783946990966797
hidden_test_fi_1,617,626,Roosevelt,Q33866,PER,NIL,Roosevelt,no,0
hidden_test_fi_1,638,647,Venäjällä,Q34266,LOC,Q161414,Venäjän historia,"```json { ""wikipedia_page"": ""Venäjän historia"", ""wikidata_id"": ""Q161414"" } ```",13.854358673095703
hidden_test_fi_1,743,771,duu- man jäsenen Vostrotinin,NIL,PER,NIL,duu- man jäsenen Vostrotinin,No.,0
hidden_test_fi_1,781,789,Poincaré,Q191974,PER,NIL,Poincaré,no,0
hidden_test_fi_1,790,801,Toulousesta,Q7880,LOC,NIL,Toulousesta,No.,0
hidden_test_fi_1,851,859,Poincaré,Q191974,PER,Q81082,Henri Poincaré,,24.832021713256836
hidden_test_fi_1,1005,1012,Ranskan,Q70802,LOC,Q58326,Ranskan toinen tasavalta,"```json { ""wikipedia_page"": ""Ranskan toinen tasavalta"", ""wikidata_id"": ""Q58326"" } ```",12.041549682617188
hidden_test_fi_1,1167,1175,Rans-kan,Q70802,LOC,Q70802,Ranskan kolmas tasavalta,"```json { ""wikipedia_page"": ""Ranskan kolmas tasavalta"", ""wikidata_id"": ""Q70802"" } ```",12.352381706237793
hidden_test_fi_1,1367,1377,Pietarissa,Q656,LOC,Q656,Pietari,"```json { ""wikipedia_page"": ""Pietari"", ""wikidata_id"": ""Q656"" } ```",22.116777420043945
hidden_test_fi_1,1407,1462,Moskovan yliopiston yksityisdo-sentti P. M. Golovatshev,NIL,PER,NIL,Moskovan yliopiston yksityisdo-sentti P. M. Golovatshev,no,0
hidden_test_fi_1,1564,1575,Newyorkista,Q60,LOC,Q60,New York,,25.4447078704834
hidden_test_fi_1,1589,1600,Rooseveltin,Q33866,PER,Q8007,Franklin D. Roosevelt,,25.58303451538086
hidden_test_fi_1,1647,1658,Rooseveltia,Q33866,PER,Q8007,Franklin D. Roosevelt,,24.09410858154297
hidden_test_fi_1,1682,1693,Englannissa,Q21,LOC,NIL,Englannissa,no,0
hidden_test_fi_1,1694,1702,Saksassa,Q43287,LOC,NIL,Saksassa,no,0
hidden_test_fi_1,1706,1715,Venäjällä,Q34266,LOC,NIL,Venäjällä,no,0
hidden_test_fi_1,1725,1739,San Franciscon,NIL,LOC,Q62,San Francisco,"```json {""wikipedia_page"": ""San Francisco"", ""wikidata_id"": ""Q62""} ```",23.248706817626953
hidden_test_fi_1,1759,1768,Roosevelt,Q33866,PER,Q8007,Franklin D. Roosevelt,,26.91094398498535
hidden_test_fi_1,1839,1867,Yhdysvaltain „Kupari-alueen“,Q387163,LOC,Q188540,Yhdysvaltain talous,"```json { ""wikipedia_page"": ""Yhdysvaltain talous"", ""wikidata_id"": ""Q188540"" } ```",13.606990814208984
hidden_test_fi_1,1887,1899,Kuparisaaren,Q5168740,LOC,Q5168740,Kuparisaari,"```json { ""wikipedia_page"": ""Kuparisaari"", ""wikidata_id"": ""Q5168740"" } ```",17.429279327392578
hidden_test_fi_1,2048,2077,We-stern Federation of Miners,Q7987830,ORG,NIL,We-stern Federation of Miners,no,0
hidden_test_fi_1,2097,2111,Kuparialueella,Q387163,LOC,Q5168740,Kuparisaari,"```json { ""wikipedia_page"": ""Kuparisaari"", ""wikidata_id"": ""Q5168740"" } ```",16.00477409362793
hidden_test_fi_1,2395,2411,Calumet & Heclan,Q5024102,ORG,Q5024063,Calumet & Hecla Band,"```json { ""wikipedia_page"": ""Calumet & Hecla Band"", ""wikidata_id"": ""Q5024063"" } ```",9.144261360168457
hidden_test_fi_1,2869,2883,Saksi-Weimarin,Q315667,LOC,NIL,Saksi-Weimarin,no,0
hidden_test_fi_1,2909,2923,Heidelbergissä,Q2966,LOC,Q2966,Heidelberg,,24.734472274780273
hidden_test_fi_1,2960,2989,Saksi-Weimarinprinsessa Sofia,Q7244832,PER,Q4430034,,,24.352298736572266
hidden_test_fi_1,3239,3287,berliniläisen Bleichröder-nimisen finanssimiehen,Q55848545,PER,NIL,berliniläisen Bleichröder-nimisen finanssimiehen,no,0
hidden_test_fi_1,3389,3397,Weimarin,Q3955,LOC,NIL,Weimarin,no,0
hidden_test_fi_1,3490,3503,Bleichröderin,Q55848545,PER,NIL,Bleichröderin,no,0
hidden_test_fi_1,3650,3660,Berlinistä,Q64,LOC,NIL,Berlinistä,no,0
hidden_test_fi_1,3676,3692,Na-tionalzeitung,NIL,PROD,Q1124535,,"```json {""wikipedia_page"": ""Saksi-Weimarin prinsessa Sofie"", ""wikidata_id"": ""Q1124535""} ```",17.417556762695312
hidden_test_fi_1,3707,3737,Saksi-Weimarin prinsessa Sofia,Q7244832,PER,Q241254,Sofia av Sverige,"```json {""wikipedia_page"": ""Sofia av Sverige"", ""wikidata_id"": ""Q241254""} ```",20.765605926513672
hidden_test_fi_1,3980,3998,Berliner Tageblatt,Q455014,PROD,Q455014,,,27.53986358642578
hidden_test_fi_1,4053,4067,Heidelbergissä,Q2966,LOC,Q2966,Heidelberg,,27.255218505859375
hidden_test_fi_1,4099,4109,Wei-mariin,Q3955,LOC,Q3955,Weimar,"```json { ""wikipedia_page"": ""Weimar"", ""wikidata_id"": ""Q3955"" } ```",21.12015724182129
hidden_test_fi_1,4380,4412,miljonääri Hans vonBleichröderin,Q55848545,PER,NIL,miljonääri Hans vonBleichröderin,"```json {""wikipedia_page"": ""Bleichröder"", ""wikidata_id"": ""Q21156973""} ```",0
