doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fr_1,279,297,Ernest la Jeunesse,Q3732124,PER,Q3732124,Ernest La Jeunesse,"```json {""wikipedia_page"":""Ernest La Jeunesse"", ""wikidata_id"":""Q3732124""} ```",26.120695114135742
hidden_test_fr_2,192,211,sergent AndreSteuer,NIL,PER,NIL,sergent AndreSteuer,"```json { ""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL"" } ```",0
hidden_test_fr_2,228,252,sergent François Ro¬mans,NIL,PER,NIL,sergent François Ro¬mans,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,637,645,Antilles,Q166131,LOC,Q166131,Antilles,"```json { ""wikipedia_page"": ""Antilles"", ""wikidata_id"": ""Q166131"" } ```",18.875835418701172
hidden_test_fr_2,693,701,st-James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json {""wikipedia_page"":""distillerie Saint-James"", ""wikidata_id"":""Q3030726""} ```",13.775276184082031
hidden_test_fr_2,1010,1018,St James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json {""wikipedia_page"": ""distillerie Saint-James"", ""wikidata_id"": ""Q3030726""} ```",18.15184211730957
hidden_test_fr_2,1121,1129,St James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json { ""wikipedia_page"": ""distillerie Saint-James"", ""wikidata_id"": ""Q3030726"" } ```",16.474056243896484
hidden_test_fr_2,1208,1214,Europe,Q46,LOC,Q46,Europe,"```json {""wikipedia_page"":""Europe"", ""wikidata_id"":""Q46""} ```",26.074602127075195
hidden_test_fr_2,1396,1434,"Mme EmilienHannoque, née Denise Vaquez",NIL,PER,NIL,"Mme EmilienHannoque, née Denise Vaquez","```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,1445,1505,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »",NIL,PER,NIL,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »","```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
hidden_test_fr_2,1563,1580,professeur Vaquez,NIL,PER,NIL,professeur Vaquez,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fr_2,1616,1637,église de L'Isle¬Adam,Q3582807,ORG,Q3582807,église Saint-Martin de L'Isle-Adam,"```json {""wikipedia_page"": ""église Saint-Martin de L'Isle-Adam"", ""wikidata_id"": ""Q3582807""} ```",25.9290771484375
hidden_test_fr_2,1707,1713,Mériel,Q1457512,LOC,Q1457512,Mériel,"```json {""wikipedia_page"":""Mériel"", ""wikidata_id"":""Q1457512""} ```",24.35757064819336
hidden_test_fr_2,1849,1868,M. Gaston Doumergue,Q296064,PER,Q296064,Gaston Doumergue,"```json { ""wikipedia_page"": ""Gaston Doumergue"", ""wikidata_id"": ""Q296064"" } ```",28.670949935913086
hidden_test_fr_2,1881,1896,Palais-Bour¬bon,Q936633,LOC,Q936633,palais Bourbon,"```json {""wikipedia_page"":""palais Bourbon"", ""wikidata_id"":""Q936633""} ```",26.431869506835938
