doc_id,surface,start_pos,end_pos,type,identifier
hidden_test_de_1_sent2,Kramarsch,215,224,PER,NIL
hidden_test_de_1_sent2,Thun,782,786,PER,Q79181
hidden_test_de_1_sent2,Thun,1417,1421,PER,Q79181
hidden_test_de_1_sent2,Prag,1478,1482,LOC,Q1085
hidden_test_de_1_sent2,"Thun,",1683,1688,PER,Q79181
hidden_test_de_1_sent3,v. Plener,88,97,PER,Q324918
hidden_test_de_1_sent3,v. Plener,162,171,PER,Q324918
hidden_test_de_1_sent3,v. Plener,413,422,PER,Q324918
hidden_test_de_1_sent4,v. Plener,138,147,PER,Q324918
hidden_test_de_1_sent5,v. Plener,289,298,PER,Q324918
hidden_test_de_1_sent5,Thun,876,880,PER,Q79181
hidden_test_de_1_sent6,Thun,36,40,PER,Q79181
hidden_test_de_1_sent6,MariePospischil,133,148,PER,NIL
hidden_test_de_1_sent6,Thun,222,226,PER,Q79181
hidden_test_de_1_sent6,Thun,330,334,PER,Q79181
hidden_test_de_1_sent6,Schamanek,571,580,PER,NIL
hidden_test_de_1_sent6,Thun,627,631,PER,Q79181
hidden_test_de_1_sent6,Thun,683,687,PER,Q79181
hidden_test_de_1_sent6,Kramarsch,807,816,PER,NIL
hidden_test_de_1_sent6,Thun,922,926,PER,Q79181
hidden_test_de_1_sent6,Thun,1166,1170,PER,Q79181
hidden_test_de_1_sent8,Klausen,19,26,LOC,Q378095
hidden_test_de_1_sent12,Golling,300,307,LOC,NIL
hidden_test_de_1_sent12,Dietrichstein's,710,725,PER,NIL
hidden_test_de_1_sent13,Radstatt,4,12,LOC,Q260950
hidden_test_de_1_sent14,Dietrichstein,123,136,PER,NIL
hidden_test_de_1_sent14,Nikolaus von Salm,263,280,PER,Q26486738
hidden_test_de_1_sent15,Mur,0,3,LOC,Q259893
hidden_test_de_1_sent15,Kielmansegg,207,218,PER,NIL
hidden_test_de_1_sent15,Liechtenstein,1599,1612,PER,Q78567
hidden_test_de_1_sent15,Liberalen,1616,1625,ORG,NIL
hidden_test_de_1_sent73,London,0,6,LOC,NIL
hidden_test_de_1_sent75,Paris,1,6,LOC,NIL
hidden_test_de_1_sent87,Wien,15,19,LOC,NIL
hidden_test_de_1_sent92,Rudolfsheim,16,27,LOC,NIL
hidden_test_de_1_sent97,Bruno Zappert,38,51,PER,NIL
hidden_test_de_1_sent100,Mitzi Bardi,61,72,PER,NIL
hidden_test_de_1_sent104,Marianka,0,8,PER,NIL
hidden_test_de_1_sent108,Kathi,0,5,PER,NIL
hidden_test_de_1_sent115,Steffens,0,8,PER,NIL
hidden_test_de_1_sent119,Tschibi,0,7,PER,NIL
hidden_test_de_1_sent120,Tschibe,0,7,PER,NIL
hidden_test_de_1_sent120,Carl Haßmann,20,32,PER,NIL
hidden_test_de_1_sent124,Amerika,62,69,LOC,NIL
hidden_test_de_1_sent132,Venedig,1,8,LOC,NIL
hidden_test_de_1_sent132,Wien,12,16,LOC,NIL
hidden_test_de_1_sent144,Hainfeld,109,117,LOC,NIL
hidden_test_de_1_sent147,Franz Lütgenau,8,22,PER,NIL
hidden_test_de_1_sent153,Wilhelm Liebknecht,4,22,PER,NIL
hidden_test_de_1_sent154,Wien,110,114,LOC,NIL
