doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
cu31924087948174_0022,75,80,Jahnl,Q66001,PER,NIL,Jahnl,no,0
cu31924087948174_0059,54,57,1].,Q8275,WORK,NIL,1].,No.,0
cu31924087948174_0059,67,70,Od.,Q35160,WORK,Q172891,Elements,"{""wikipedia_page"":""Elements"", ""wikidata_id"":""Q172891""}",10.63720417022705
cu31924087948174_0059,80,91,Hes. Theog.,Q156498,WORK,Q156498,Theogony,,22.323572158813477
cu31924087948174_0059,249,252,1].,Q8275,WORK,NIL,1].,no,0
cu31924087948174_0059,365,369,Ajax,Q172725,PER,Q172725,Ajax the Great,"{""wikipedia_page"": ""Ajax the Great"", ""wikidata_id"": ""Q172725""}",19.00199317932129
cu31924087948174_0059,587,598,Plat. Soph.,Q471715,WORK,NIL,Plat. Soph.,no,0
cu31924087948174_0059,810,814,Ant.,Q241077,WORK,Q8934183,Greek Anthology,"```json { ""wikipedia_page"": ""Greek Anthology"", ""wikidata_id"": ""Q8934183"" } ```",11.056631088256836
cu31924087948174_0059,980,992,Aesch. Pers.,Q788458,WORK,NIL,Aesch. Pers.,no,0
cu31924087948174_0059,1043,1046,Ag.,Q3320792,WORK,Q3606338,Agamestor of Pharsalus,"Based on the input text and the provided list of candidates, the entities [ENT] Ag. [ENT] are likely referring to the following Wikidata entity: ```json {""wikipedia_page"":""Agamestor of Pharsalus"", ""wikidata_id"":""Q3606338""} ```",9.806203842163086
cu31924087948174_0059,1192,1196,Ajax,Q172725,PER,Q172725,Ajax the Great,,20.714929580688477
cu31924087948174_0059,1377,1381,Ajax,Q172725,PER,Q172725,Ajax the Great,"```json { ""wikipedia_page"": ""Ajax the Great"", ""wikidata_id"": ""Q172725"" } ```",18.07391929626465
cu31924087948174_0059,1432,1436,Zeus,Q34201,PER,Q34201,Zeus,,21.105045318603516
cu31924087948174_0059,1475,1479,Zeus,Q34201,PER,Q34201,Zeus,,25.217538833618164
cu31924087948174_0059,1484,1491,Phoebus,Q3382132,PER,NIL,Phoebus,no,0
cu31924087948174_0059,1988,1996,Odysseus,Q47231,PER,Q47231,Odysseus,,30.869333267211914
cu31924087948174_0059,2021,2029,Sisyphus,Q102561,PER,Q102561,Sisyphus,,28.29780387878418
cu31924087948174_0059,2066,2075,Sophocles,Q11950683,PER,Q7235,Sophocles,,33.509681701660156
cu31924087948174_0059,2160,2165,Phil.,Q1415903,WORK,NIL,Phil.,"``` { ""wikipedia_page"":"""", ""wikidata_id"":"""" } ```",0
cu31924087948174_0059,2314,2318,Ant.,Q241077,WORK,NIL,Ant.,No.,0
cu31924087948174_0059,2350,2359,Cleopatra,NIL,PER,Q635,Cleopatra,,21.13123321533203
cu31924087948174_0059,2381,2391,Erechtheus,Q301219,PER,Q301219,Erechtheus,,25.59130859375
cu31924087948174_0060,88,95,Hermann,Q77616,PER,Q241422,Johann Hermann,"{ ""wikipedia_page"": ""Johann Hermann"", ""wikidata_id"": ""Q241422"" }",15.668445587158203
cu31924087948174_0060,281,285,Ajax,Q172725,PER,Q172725,Ajax the Great,,21.112430572509766
cu31924087948174_0060,302,310,Odysseus,Q47231,PER,Q47231,Odysseus,,22.98387336730957
cu31924087948174_0060,405,409,Ajax,Q172725,PER,Q172725,Ajax the Great,,20.859905242919922
cu31924087948174_0060,510,514,Ajax,Q172725,PER,Q172725,Ajax the Great,,23.766679763793945
cu31924087948174_0060,892,912,Shak. Ant. and Cleo.,Q606830,WORK,Q606830,Antony and Cleopatra,"{""wikipedia_page"": ""Antony and Cleopatra"", ""wikidata_id"": ""Q606830""}",10.129362106323242
cu31924087948174_0060,1166,1177,Eur. Phoen.,Q1233660,WORK,Q1248812,Helen,"Based on the provided input text and the list of candidates, the entities tagged with [ENT] are the titles of works by Euripides. The most relevant candidate from the list for the entity mentioned is: - **Euripides' ""Helen""**: - Wikipedia page: ""Helen"" - Wikidata ID: Q1248812 Thus, the JSON response is: ```json {""wikipedia_page"":""Helen"", ""wikidata_id"":""Q1248812""} ```",13.89183235168457
cu31924087948174_0060,2365,2368,11.,Q8275,WORK,NIL,11.,no,0
