doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fr_1,279,297,Ernest la Jeunesse,Q3732124,PER,Q3732124,Ernest La Jeunesse,,26.120695114135742
hidden_test_fr_2,21,29,Nieuport,Q1231877,ORG,Q1231877,Société anonyme des Établissements Nieuport,,26.183713912963867
hidden_test_fr_2,192,211,sergent AndreSteuer,NIL,PER,NIL,sergent AndreSteuer,"Based on the provided text and candidates, I cannot find a confident match for the entity ""sergent AndreSteuer"" with a high degree of certainty. Therefore, the Wikidata ID is set to ""NIL"". ```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fr_2,317,326,Rau¬court,Q227538,LOC,Q227538,Raucourt,,22.470849990844727
hidden_test_fr_2,637,645,Antilles,Q166131,LOC,Q166131,Antilles,"```json { ""wikipedia_page"": ""Antilles"", ""wikidata_id"": ""Q166131"" } ```",18.875835418701172
hidden_test_fr_2,1010,1018,St James,Q3030726,ORG,Q3030726,distillerie Saint-James,"```json { ""wikipedia_page"": ""distillerie Saint-James"", ""wikidata_id"": ""Q3030726"" } ```",18.15184211730957
hidden_test_fr_2,1208,1214,Europe,Q46,LOC,Q46,Europe,,26.074602127075195
hidden_test_fr_2,1396,1434,"Mme EmilienHannoque, née Denise Vaquez",NIL,PER,NIL,"Mme EmilienHannoque, née Denise Vaquez","```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fr_2,1445,1505,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »",NIL,PER,NIL,"M. AI¬bert Vaquez, ancien président de la Société« La Soie »","```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fr_2,1523,1552,"M. Ernest Criquet,naturaliste",NIL,PER,NIL,"M. Ernest Criquet,naturaliste","Based on the analysis of the input text, the entities within the [ENT] tags are ""M. Ernest Criquet"" and ""naturaliste"". There are no candidates that match ""M. Ernest Criquet"" or ""naturaliste"" with high confidence. Here is the JSON-formatted answer: ```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
hidden_test_fr_2,1616,1637,église de L'Isle¬Adam,Q3582807,ORG,Q3582807,église Saint-Martin de L'Isle-Adam,,25.9290771484375
hidden_test_fr_2,1707,1713,Mériel,Q1457512,LOC,Q1457512,Mériel,,24.35757064819336
hidden_test_fr_2,1849,1868,M. Gaston Doumergue,Q296064,PER,Q296064,Gaston Doumergue,,28.670949935913086
