doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_fr_1,898,910,café Mollard,NIL,LOC,Q2924015,brasserie Mollard,yes,23.21965217590332
hidden_test_fr_2,1881,1896,Palais-Bour¬bon,Q936633,LOC,NIL,Palais-Bour¬bon,no,0
hidden_test_fr_2,2019,2026,Conseil,Q2993836,ORG,Q2993836,Conseil des ministres,yes,12.945405960083008
hidden_test_fr_2,2675,2680,Œuvre,Q1880717,PROD,NIL,Œuvre,no,0
hidden_test_fr_2,2926,2935,Hen¬nezel,Q593153,LOC,Q593153,Hennezel,Yes.,28.875625610351562
hidden_test_fr_2,2937,2959,"Henri Menier, bûcheron",NIL,PER,NIL,"Henri Menier, bûcheron",no,0
hidden_test_fr_3,598,642,grande-duchesse Marie¬Adélaïde de Luxembourg,Q159075,PER,Q159075,"Grande-Duchesse Marie-Adélaïde I, Grande-Duchesse de Luxembourg",yes,26.607383728027344
hidden_test_fr_3,761,771,Luxembourg,Q32,LOC,NIL,Luxembourg,no,0
hidden_test_fr_3,1114,1121,Antonia,Q266142,PER,Q266142,Antonia de Luxembourg,"""yes""",25.771465301513672
hidden_test_fr_3,1130,1155,prince Ruprecht deBavière,Q44893,PER,Q44893,Rupprecht de Bavière,yes,24.341625213623047
hidden_test_fr_3,1963,1969,France,Q142,LOC,Q142,France,Yes,19.854450225830078
hidden_test_fr_3,2019,2055,Compagnie de l'Estdes chemins de fer,NIL,ORG,NIL,Compagnie de l'Estdes chemins de fer,No,0
hidden_test_fr_3,4112,4130,M. Jules Siegfried,Q3188910,PER,Q3188910,Jules Siegfried,yes,22.538745880126953
hidden_test_fr_3,4385,4403,M. Jules Siegfried,Q3188910,PER,Q3188910,Jules Siegfried,yes,20.057945251464844
hidden_test_fr_3,4570,4585,Alsace-Lorraine,Q155144,LOC,Q155144,Alsace-Lorraine,yes,15.63055419921875
hidden_test_fr_4,334,339,Sofia,Q472,LOC,Q472,Sofia,yes,21.01020050048828
hidden_test_fr_4,1079,1084,Sofia,Q472,LOC,NIL,Sofia,no,0
hidden_test_fr_4,1284,1301,M. Lucien Baumann,NIL,PER,Q3265363,Lucien Baumann,yes,32.06652069091797
hidden_test_fr_4,1551,1649,"M. Adolphe Salles, président duConseil d'administration de la Sociétédes Grands Moulins de Corbeil",NIL,PER,NIL,"M. Adolphe Salles, président duConseil d'administration de la Sociétédes Grands Moulins de Corbeil",no,0
hidden_test_fr_4,2005,2022,M. Lucien Baumann,NIL,PER,NIL,M. Lucien Baumann,No.,0
hidden_test_fr_4,2370,2376,France,Q142,LOC,NIL,France,no,0
hidden_test_fr_4,2819,2825,Alsace,Q1142,LOC,Q1142,Alsace,yes,23.53596305847168
hidden_test_fr_5,35,44,Jan¬nings,Q77181,PER,NIL,Jan¬nings,No,0
hidden_test_fr_5,695,719,"STUDIO 28 10, r. Tholoze",Q3500949,LOC,NIL,"STUDIO 28 10, r. Tholoze",no,0
hidden_test_fr_5,952,978,"21, rue Auber, PARIS (IXe)",NIL,LOC,Q204622,19e arrondissement de Paris,Yes.,12.326483726501465
hidden_test_fr_5,1668,1673,Paris,Q90,LOC,Q3278478,Ville de Paris,yes,14.00527286529541
