doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
hidden_test_de_1_sent1,0,4,Wien,NIL,LOC,NIL,Wien,No,0
hidden_test_de_1_sent2,356,360,Prag,Q1085,LOC,Q1085,Prag,"```json {""wikipedia_page"":""Prag"", ""wikidata_id"":""Q1085""} ```",22.98206329345703
hidden_test_de_1_sent2,475,479,Prag,Q1085,LOC,Q1085,Prag,"```json {""wikipedia_page"":""Prag"", ""wikidata_id"":""Q1085""} ```",21.995054244995117
hidden_test_de_1_sent2,950,956,Böhmen,Q39193,LOC,Q39193,Böhmen,"```json {""wikipedia_page"": ""Böhmen"", ""wikidata_id"": ""Q39193""} ```",23.963550567626953
hidden_test_de_1_sent2,1353,1357,Prag,Q1085,LOC,Q1085,Prag,"```json {""wikipedia_page"":""Prag"", ""wikidata_id"":""Q1085""} ```",22.55647087097168
hidden_test_de_1_sent3,14,41,Klub der Vereinigten Linken,NIL,ORG,NIL,Klub der Vereinigten Linken,no.,0
hidden_test_de_1_sent4,583,592,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"":""Ernst von Plener"", ""wikidata_id"":""Q324918""} ```",19.267915725708008
hidden_test_de_1_sent4,727,736,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"":""Ernst von Plener"", ""wikidata_id"":""Q324918""} ```",18.682601928710938
hidden_test_de_1_sent5,187,196,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"":""Ernst von Plener"", ""wikidata_id"":""Q324918""} ```",21.241228103637695
hidden_test_de_1_sent5,246,255,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json { ""wikipedia_page"": ""Ernst von Plener"", ""wikidata_id"": ""Q324918"" } ```",21.073528289794922
hidden_test_de_1_sent5,555,564,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"":""Ernst von Plener"", ""wikidata_id"":""Q324918""} ```",22.117963790893555
hidden_test_de_1_sent5,774,783,v. Plener,Q324918,PER,Q324918,Ernst von Plener,"```json {""wikipedia_page"":""Ernst von Plener"", ""wikidata_id"":""Q324918""} ```",20.422639846801758
hidden_test_de_1_sent6,91,100,Kramarsch,NIL,PER,NIL,Kramarsch,No,0
hidden_test_de_1_sent6,199,203,Prag,Q1085,LOC,Q1085,Prag,"```json {""wikipedia_page"":""Prag"", ""wikidata_id"":""Q1085""} ```",29.01042366027832
hidden_test_de_1_sent6,278,285,Brzorad,Q14971052,PER,Q14971052,Josef Brzorád,"```json {""wikipedia_page"":""Josef Brzorád"", ""wikidata_id"":""Q14971052""} ```",11.115403175354004
hidden_test_de_1_sent6,450,459,Schamanek,NIL,PER,NIL,Schamanek,no,0
hidden_test_de_1_sent6,664,668,Prag,Q1085,LOC,Q1085,Prag,"```json {""wikipedia_page"": ""Prag"", ""wikidata_id"": ""Q1085""} ```",24.230558395385742
hidden_test_de_1_sent9,23,44,Johann von Wildenradt,NIL,PER,NIL,Johann von Wildenradt,no.,0
hidden_test_de_1_sent10,368,376,Gaißmayr,NIL,PER,NIL,Gaißmayr,No.,0
hidden_test_de_1_sent10,381,389,Matthäus,NIL,PER,NIL,Matthäus,no.,0
hidden_test_de_1_sent11,68,81,Michel Gruber,NIL,PER,NIL,Michel Gruber,No.,0
hidden_test_de_1_sent12,322,335,Thomas Reustl,NIL,PER,NIL,Thomas Reustl,no.,0
hidden_test_de_1_sent12,539,547,Radstatt,Q260950,LOC,Q260950,Radstadt,"```json {""wikipedia_page"": ""Radstadt"", ""wikidata_id"": ""Q260950""} ```",21.08115005493164
hidden_test_de_1_sent13,22,28,Reustl,NIL,PER,NIL,Reustl,no.,0
hidden_test_de_1_sent13,184,194,Schladming,Q254221,LOC,Q254221,Schladming,"```json {""wikipedia_page"":""Schladming"", ""wikidata_id"":""Q254221""} ```",19.626583099365234
hidden_test_de_1_sent15,80,95,Bruck an derMur,Q259893,LOC,Q259893,Bruck an der Mur,"```json {""wikipedia_page"":""Bruck an der Mur"", ""wikidata_id"":""Q259893""} ```",35.697540283203125
hidden_test_de_1_sent15,110,127,"„Obersteierblatt""",NIL,PROD,NIL,"„Obersteierblatt""",no,0
hidden_test_de_1_sent72,0,9,Amsterdam,NIL,LOC,NIL,Amsterdam,No.,0
hidden_test_de_1_sent91,15,25,Josefstadt,NIL,LOC,NIL,Josefstadt,no,0
hidden_test_de_1_sent96,27,34,Amerika,NIL,LOC,NIL,Amerika,"```json {""wikipedia_page"":"""", ""wikidata_id"":""""} ```",0
hidden_test_de_1_sent99,0,29,William BoltonMarie Geiringer,NIL,PER,NIL,William BoltonMarie Geiringer,No.,0
hidden_test_de_1_sent100,0,20,Aron MandelblühSarah,NIL,PER,NIL,Aron MandelblühSarah,no.,0
hidden_test_de_1_sent100,32,59,Wenzel PawlizekCarl Schauer,NIL,PER,NIL,Wenzel PawlizekCarl Schauer,No,0
hidden_test_de_1_sent101,5,10,Frank,NIL,PER,NIL,Frank,no.,0
hidden_test_de_1_sent102,0,13,Jos. Paulmann,NIL,PER,NIL,Jos. Paulmann,no,0
hidden_test_de_1_sent103,0,14,Franz Graselli,NIL,PER,NIL,Franz Graselli,No.,0
hidden_test_de_1_sent104,22,35,Gisela Magnus,NIL,PER,NIL,Gisela Magnus,no,0
hidden_test_de_1_sent105,0,28,Johann Degelmeier Ed. Lunzer,NIL,PER,NIL,Johann Degelmeier Ed. Lunzer,no.,0
hidden_test_de_1_sent106,0,4,Mali,NIL,PER,NIL,Mali,no,0
hidden_test_de_1_sent106,20,31,Kathi Krenn,NIL,PER,NIL,Kathi Krenn,no,0
hidden_test_de_1_sent107,0,4,Sali,NIL,PER,NIL,Sali,no,0
hidden_test_de_1_sent107,6,16,Ella Carlé,NIL,PER,NIL,Ella Carlé,No,0
hidden_test_de_1_sent108,7,19,Elsa Wernier,NIL,PER,NIL,Elsa Wernier,no,0
hidden_test_de_1_sent109,0,18,Tini Käthi Wernier,NIL,PER,NIL,Tini Käthi Wernier,no.,0
hidden_test_de_1_sent110,0,4,Susi,NIL,PER,NIL,Susi,no.,0
hidden_test_de_1_sent110,6,18,Mitzi Ganser,NIL,PER,NIL,Mitzi Ganser,no,0
hidden_test_de_1_sent111,0,18,Thildi Käthi Hanke,NIL,PER,NIL,Thildi Käthi Hanke,no,0
hidden_test_de_1_sent112,0,5,Jenny,NIL,PER,NIL,Jenny,no.,0
hidden_test_de_1_sent112,21,30,Mitzi Bär,NIL,PER,NIL,Mitzi Bär,no,0
hidden_test_de_1_sent113,0,4,Emmy,NIL,PER,NIL,Emmy,```json {} ```,0
hidden_test_de_1_sent113,6,16,Lina Stöhr,NIL,PER,NIL,Lina Stöhr,No,0
hidden_test_de_1_sent114,0,4,Mary,NIL,PER,NIL,Mary,```json {} ```,0
hidden_test_de_1_sent114,6,18,Mitzi Theser,NIL,PER,NIL,Mitzi Theser,No.,0
hidden_test_de_1_sent115,21,43,Carl OesterreicherJohn,NIL,PER,NIL,Carl OesterreicherJohn,no,0
hidden_test_de_1_sent115,54,66,Gustav Marik,NIL,PER,NIL,Gustav Marik,no,0
hidden_test_de_1_sent116,0,5,Willy,NIL,PER,NIL,Willy,no,0
hidden_test_de_1_sent116,7,18,Josef Frank,NIL,PER,NIL,Josef Frank,No.,0
hidden_test_de_1_sent117,0,13,Hevesy Istwan,NIL,PER,NIL,Hevesy Istwan,No.,0
hidden_test_de_1_sent117,18,36,Julius KnaackKnoll,NIL,PER,NIL,Julius KnaackKnoll,No.,0
hidden_test_de_1_sent117,53,67,Arthur Lorette,NIL,PER,NIL,Arthur Lorette,no.,0
hidden_test_de_1_sent118,0,5,Maier,NIL,PER,NIL,Maier,no,0
hidden_test_de_1_sent118,23,37,Arthur Müllner,NIL,PER,NIL,Arthur Müllner,No.,0
hidden_test_de_1_sent119,19,34,Adolf Karlinger,NIL,PER,NIL,Adolf Karlinger,No.,0
hidden_test_de_1_sent121,0,7,Fru=Fru,NIL,PER,NIL,Fru=Fru,no,0
