doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
sn83030483-1790-01-02-a-i0004,428,449,Journal of the Senate,Q7891333,PROD,Q7891333,United States Senate Journal,"Based on the input text, the entity [ENT] Journal of the Senate [ENT] can be disambiguated as follows: ```json {""wikipedia_page"":""United States Senate Journal"", ""wikidata_id"":""Q7891333""} ```",18.807186126708984
sn83030483-1790-01-02-a-i0004,967,1000,RICHARD HENRY LEE WILLIAM GRAYSON,NIL,PER,NIL,RICHARD HENRY LEE WILLIAM GRAYSON,no,0
sn83030483-1790-02-10-a-i0002,54,80,House ^/'Represen¬ tatives,Q1525939,ORG,Q1525939,New Hampshire House of Representatives,"Based on the input text and the provided list of candidates, the entity mentioned between the [ENT] tags is ""House of Representatives."" The most appropriate Wikidata entity from the given list of candidates is: ```json {""wikipedia_page"": ""New Hampshire House of Representatives"", ""wikidata_id"": ""Q1525939""} ```",24.75440216064453
sn83030483-1790-02-10-a-i0002,85,98,New-Hampshire,Q759,LOC,Q759,New Hampshire,"Based on the input text provided, the entity mentioned between the [ENT] tags is ""New-Hampshire"". The most appropriate Wikidata entity from the given list of candidates is ""New Hampshire"" with the Wikidata ID ""Q759"". The Wikipedia page title is ""New Hampshire"". ```json {""wikipedia_page"":""New Hampshire"", ""wikidata_id"":""Q759""} ```",26.833240509033203
sn83030483-1790-02-10-a-i0002,569,582,New-Humpfhire,Q759,LOC,Q759,New Hampshire,"```json { ""wikipedia_page"": ""New Hampshire"", ""wikidata_id"": ""Q759"" } ```",21.296201705932617
sn83030483-1790-02-10-a-i0002,1535,1549,New-Hampffiire,Q759,LOC,Q759,New Hampshire,"```json {""wikipedia_page"":""New Hampshire"", ""wikidata_id"":""Q759""} ```",21.606151580810547
sn83030483-1790-02-10-a-i0002,3549,3562,United States,Q30,LOC,Q30,United States of America,"```json {""wikipedia_page"":""United States of America"", ""wikidata_id"":""Q30""} ```",18.899272918701172
sn83030483-1790-03-03-a-i0004,0,6,LONDON,Q84,LOC,Q84,London,"```json { ""wikipedia_page"": ""London"", ""wikidata_id"": ""Q84"" } ```",25.20684814453125
sn83030483-1790-03-03-a-i0004,232,240,Brufiels,Q239,LOC,Q239,City of Brussels,"```json {""wikipedia_page"":""City of Brussels"", ""wikidata_id"":""Q239""} ```",15.281267166137695
sn83030483-1790-03-03-a-i0004,701,715,Grand Pa¬ lace,NIL,LOC,NIL,Grand Pa¬ lace,no,0
sn83030483-1790-03-03-a-i0004,1120,1132,great market,Q215429,LOC,Q215429,Grand-Place,"Based on the input text and the provided list of candidates, the entity mentioned between the [ENT] tags is likely ""Grand-Place"". Given the historical context and the mention of ""Grand Pa¬ lace"" in the text, it is reasonable to assume that the correct entity is ""Grand-Place"" from Brussels, Belgium. Here is the JSON formatted answer: ```json {""wikipedia_page"":""Grand-Place"",""wikidata_id"":""Q215429""} ```",6.388361930847168
sn84026272-1800-07-09-a-i0003,108,114,Philad,NIL,LOC,NIL,Philad,```json {} ```,0
sn84026272-1800-07-09-a-i0003,189,202,United States,Q30,LOC,Q30,United States of America,"```json { ""wikipedia_page"": ""United States of America"", ""wikidata_id"": ""Q30"" } ```",22.63433074951172
sn84026272-1800-07-09-a-i0003,1240,1247,America,Q30,LOC,Q30,United States of America,"```json {""wikipedia_page"":""United States of America"", ""wikidata_id"":""Q30""} ```",15.554813385009766
sn84026272-1800-07-09-a-i0003,4212,4219,America,Q30,LOC,Q30,United States of America,"Based on the input text and the list of candidates, the most appropriate Wikidata entity for the entities mentioned between [ENT] tags is ""United States of America"" (Q30). ```json {""wikipedia_page"":""United States of America"", ""wikidata_id"":""Q30""} ```",20.034351348876953
sn84026272-1800-10-16-a-i0001,138,162,United States of America,Q30,LOC,Q30,United States of America,"Based on the provided text and the given list of candidates, the entity mentioned between the [ENT] tags is ""United States of America"". The most appropriate Wikidata entity from the list of candidates is: ```json { ""wikipedia_page"": ""United States of America"", ""wikidata_id"": ""Q30"" } ```",26.054393768310547
sn84026272-1800-10-16-a-i0001,870,925,"D.C * I.DWELL, Clerl of lie DiJtriEl of Peonsyl v aoisA",NIL,PER,NIL,"D.C * I.DWELL, Clerl of lie DiJtriEl of Peonsyl v aoisA",no,0
sn84026272-1800-12-27-a-i0002,23,38,Hereford street,NIL,LOC,NIL,Hereford street,no,0
sn82014385-1810-01-06-a-i0001,121,143,"Col. Thomas Duff, Esq.",NIL,PER,NIL,"Col. Thomas Duff, Esq.",No.,0
sn82014385-1810-01-06-a-i0001,162,180,Newport—consisting,Q755805,LOC,Q755805,Newport,"```json { ""wikipedia_page"": ""Newport"", ""wikidata_id"": ""Q755805"" } ```",12.70960807800293
sn82014385-1810-01-06-a-i0001,402,411,Lancaster,NIL,LOC,NIL,Lancaster,no,0
sn82014385-1810-01-06-a-i0001,1094,1115,"TIICWAS DUFF, Esquire",NIL,PER,NIL,"TIICWAS DUFF, Esquire",```json {} ```,0
sn82014385-1810-01-06-a-i0001,1129,1141,Mrs. FIug™ns,NIL,PER,NIL,Mrs. FIug™ns,No,0
sn82014385-1810-04-04-a-i0003,12,17,SPAIN,Q29,LOC,Q29,Spain,"Based on the provided text and list of candidates, the most appropriate Wikidata entity for the entity mentioned between [ENT] tags is: ```json {""wikipedia_page"":""Spain"", ""wikidata_id"":""Q29""} ```",19.723915100097656
sn82014385-1810-04-04-a-i0003,153,166,Sierra Morena,Q686362,LOC,Q686362,Sierra Morena,"Based on the provided text and the list of candidates, the most appropriate Wikidata entity for the entity tagged with [ENT] Sierra Morena is: ```json { ""wikipedia_page"": ""Sierra Morena"", ""wikidata_id"": ""Q686362"" } ```",25.216449737548828
sn82014385-1810-04-04-a-i0003,178,191,Seville—drove,Q8717,LOC,Q8717,Seville,"```json { ""wikipedia_page"": ""Seville"", ""wikidata_id"": ""Q8717"" } ```",15.393403053283691
sn82014385-1810-04-04-a-i0003,239,248,Cadiz—cap,Q15682,LOC,Q15682,Cádiz,"Based on the input text, the entity mentioned between the [ENT] tags is ""Cadiz"". The most appropriate Wikidata entity from the given list of candidates is ""Cádiz"" (Q15682). ``` { ""wikipedia_page"": ""Cádiz"", ""wikidata_id"": ""Q15682"" } ```",17.48401641845703
sn82014385-1810-04-04-a-i0003,310,315,Cadiz,Q15682,LOC,Q15682,Cádiz,"```json { ""wikipedia_page"": ""Cádiz"", ""wikidata_id"": ""Q15682"" } ```",20.980281829833984
sn82014385-1810-04-04-a-i0003,485,490,Cadiz,Q15682,LOC,Q15682,Cádiz,"```json {""wikipedia_page"":""Cádiz"", ""wikidata_id"":""Q15682""} ```",20.14168930053711
