doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
Wecklein1894_0008,11,20,Achilleus,Q41746,PER,Q41746,Achilleus,"```json { ""wikipedia_page"": ""Achilleus"", ""wikidata_id"": ""Q41746"" } ```",19.9017276763916
Wecklein1894_0008,67,75,Odyſſeus,Q47231,PER,Q47231,Odysseus,,0
Wecklein1894_0008,137,141,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0008,200,208,Odyſſeus,Q47231,PER,Q47231,Odysseus,,0
Wecklein1894_0008,487,496,Sophokles,Q11950683,PER,Q7235,Sophokles,,0
Wecklein1894_0008,501,509,Äſchylos,Q40939,PER,Q40939,Aischylos,,0
Wecklein1894_0008,534,542,Θροῇσσαι,NIL,WORK,Q1216943,Die Troerinnen,,0
Wecklein1894_0008,581,599,"Stüc>""OnJw» κοίσις",NIL,WORK,Q1216139,Die Schutzflehenden,"```json {""wikipedia_page"":""Die Schutzflehenden"", ""wikidata_id"":""Q1216139""} ```",13.325203895568848
Wecklein1894_0008,622,632,Σαλαμίνιαι,NIL,WORK,Q113157511,,,0
Wecklein1894_0008,654,666,Ὅπλων κρίσις,NIL,WORK,Q30648004,Schlacht am Halys,,0
Wecklein1894_0008,771,778,Θοῇσσαι,NIL,WORK,NIL,Θοῇσσαι,"```json {""wikipedia_page"": ""Thethra"", ""wikidata_id"": ""Q1180173""} ```",0
Wecklein1894_0008,878,882,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0008,897,906,Sophokles,Q11950683,PER,Q7235,Sophokles,,0
Wecklein1894_0008,1015,1023,Odyſſeus,Q47231,PER,Q47231,Odysseus,,0
Wecklein1894_0008,1059,1068,Sophokles,Q11950683,PER,Q7235,Sophokles,,0
Wecklein1894_0008,1091,1099,Odyſſeus,Q47231,PER,Q47231,Odysseus,,0
Wecklein1894_0008,1104,1108,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0008,1216,1220,Aias,Q172725,PER,Q172725,Aias der Telamonier,"{ ""wikipedia_page"": ""Aias der Telamonier"", ""wikidata_id"": ""Q172725"" }",21.204551696777344
Wecklein1894_0008,1359,1363,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0008,1442,1450,Odyſſeus,Q47231,PER,Q47231,Odysseus,,0
Wecklein1894_0008,1529,1533,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0008,1665,1674,Sophokles,Q11950683,PER,Q7235,Sophokles,,0
Wecklein1894_0008,1707,1711,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0022,31,35,Ant.,Q241077,WORK,Q131779,Antonym,"Based on the analysis of the input text, the entity ""[ENT] Ant."" can be disambiguated as follows: ```json {""wikipedia_page"":""Antonym"", ""wikidata_id"":""Q131779""} ```",7.832515239715576
Wecklein1894_0022,289,294,Phil.,Q1415903,WORK,Q495527,Klassische Philologie,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags appears to be ""Philologie"" or ""Klassische Philologie"". Given the context and the provided candidates, the most appropriate entity is: ```json {""wikipedia_page"": ""Klassische Philologie"", ""wikidata_id"": ""Q495527""} ```",12.398083686828613
Wecklein1894_0022,723,729,Benob.,Q189699,PER,Q3816169,Eugène Benoist,"```json {""wikipedia_page"":""Eugène Benoist"", ""wikidata_id"":""Q3816169""} ```",12.9942626953125
Wecklein1894_0022,1077,1081,Ant.,Q241077,WORK,NIL,Ant.,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
Wecklein1894_0022,1251,1254,Od.,Q35160,WORK,Q35160,Odyssee,"{ ""wikipedia_page"": ""Odyssee"", ""wikidata_id"": ""Q35160"" }",11.469710350036621
Wecklein1894_0022,1502,1511,Eur. Med.,Q286381,WORK,NIL,Eur. Med.,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
Wecklein1894_0023,251,260,Eur. Hek.,Q1115611,WORK,NIL,Eur. Hek.,"Based on the input text provided and the list of candidates, the entity mentioned between the [ENT] tags is ""Euripides"" or ""Euripides, Hekateus, Hekateus"". However, none of the candidates exactly match either of these names. Therefore, the most appropriate response is to classify the entity with a NIL value. ```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
Wecklein1894_0023,384,390,Eurip.,Q48305,PER,Q48305,Euripides,"{ ""wikipedia_page"": ""Euripides"", ""wikidata_id"": ""Q48305"" }",16.186954498291016
Wecklein1894_0023,631,635,Ant.,Q241077,WORK,Q16166243,Antonis Andrellis,"Based on the provided text and the list of candidates, the entity mentioned between the [ENT] tags is ""Ant."" This entity is highly likely to refer to the person ""Antonis Andrellis"" based on the context and the provided list of candidates. Therefore, the disambiguated Wikidata entity is ""Antonis Andrellis"" with the following details: ```json {""wikipedia_page"":""Antonis Andrellis"", ""wikidata_id"":""Q16166243""} ```",9.57590103149414
Wecklein1894_0023,759,767,Odyſſeus,Q47231,PER,Q47231,Odysseus,,0
Wecklein1894_0023,841,845,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0023,852,860,Odyſſeus,Q47231,PER,Q47231,Odysseus,,0
Wecklein1894_0023,1063,1074,Pind. Pyth.,Q3411444,WORK,Q3411444,,,0
Wecklein1894_0023,1125,1131,Athena,Q37122,PER,Q37122,Athene,,0
Wecklein1894_0023,1151,1155,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0023,1325,1329,Eur.,Q48305,PER,NIL,Eur.,"{ ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" }",0
Wecklein1894_0031,185,189,Hom.,Q6691,PER,Q6691,Homer,"```json {""wikipedia_page"": ""Homer"", ""wikidata_id"": ""Q6691""} ```",13.156436920166016
Wecklein1894_0031,368,373,Herm.,Q77616,PER,Q1610870,Hermann Daniel Hermes,"```json {""wikipedia_page"": ""Hermann Hermes"", ""wikidata_id"": ""Q1610870""} ```",12.650148391723633
Wecklein1894_0031,401,404,Od.,Q35160,WORK,Q35160,Odyssee,"Based on the provided input text and the list of candidates, the entity mentioned between the [ENT] tags is likely to be ""Odyssee"" (Wikidata ID: Q35160). The text mentions ""Od. [ENT] K. 529,"" which is a reference to the Odyssey, the epic poem attributed to Homer. Therefore, the disambiguated entity is: ```json {""wikipedia_page"":""Odyssee"",""wikidata_id"":""Q35160""} ```",10.56416130065918
Wecklein1894_0039,53,58,Phil.,Q1415903,WORK,Q40634,Philologie,"Based on the input text and the list of candidates, the entity between the [ENT] tags is ""Philologie"". The most appropriate Wikidata entity from the list of candidates is: ```json {""wikipedia_page"": ""Philologie"", ""wikidata_id"": ""Q40634""} ```",15.570282936096191
Wecklein1894_0039,301,311,Äſch. Cho.,Q11688406,WORK,Q256797,Äsop-Roman,"```json { ""wikipedia_page"": ""Äsop-Roman"", ""wikidata_id"": ""Q256797"" } ```",11.177153587341309
Wecklein1894_0039,481,489,Tekmeſſa,Q10796858,PER,Q10796858,Tekmessa,"```json { ""wikipedia_page"": ""Tekmessa"", ""wikidata_id"": ""Q10796858"" } ```",21.259769439697266
Wecklein1894_0039,529,533,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0039,660,667,Teukros,Q878184,PER,Q878184,Teukros,"```json {""wikipedia_page"":""Teukros"", ""wikidata_id"":""Q878184""} ```",19.673032760620117
Wecklein1894_0039,693,697,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0039,747,754,Teukros,Q878184,PER,Q878184,Teukros,"``` { ""wikipedia_page"": ""Teukros"", ""wikidata_id"": ""Q878184"" } ```",17.0699405670166
Wecklein1894_0039,1495,1500,Poll.,Q548104,PER,Q11240778,Pollianos,"```json {""wikipedia_page"": ""Pollianos"", ""wikidata_id"": ""Q11240778""} ```",9.443126678466797
Wecklein1894_0047,185,193,Odyſſeus,Q47231,PER,Q47231,Odysseus,,0
Wecklein1894_0047,263,269,Trach.,Q945342,WORK,Q945342,Trachiniai,"```json {""wikipedia_page"": ""Trachiniai"", ""wikidata_id"": ""Q945342""} ```",12.80261516571045
Wecklein1894_0047,688,692,Hom.,Q6691,PER,Q6691,Homer,"```json { ""wikipedia_page"": ""Homer"", ""wikidata_id"": ""Q6691"" } ```",11.7363920211792
Wecklein1894_0047,1041,1050,Eur. Med.,Q286381,WORK,NIL,Eur. Med.,"```json { ""wikipedia_page"": ""Euripides"", ""wikidata_id"": ""Q1178"" } ```",0
Wecklein1894_0047,1086,1090,Hom.,Q6691,PER,Q990062,Homerisches Griechisch,"Based on the provided input text and the list of candidates, the entity tagged with [ENT] is ""Homer"". The most appropriate Wikidata entity from the list of candidates for ""Homer"" is 'Homerisches Griechisch', with the following details: - Wikipedia Page Title: ""Homerisches Griechisch"" - Wikidata ID: ""Q990062"" Thus, the JSON response is: ```json { ""wikipedia_page"": ""Homerisches Griechisch"", ""wikidata_id"": ""Q990062"" } ```",9.663074493408203
sophokle1v3soph_0049,96,99,11.,Q8275,WORK,NIL,11.,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
sophokle1v3soph_0049,156,160,Aias,Q242319,PER,Q172725,Aias der Telamonier,,0
sophokle1v3soph_0049,162,168,Oileus,Q975447,PER,Q975447,Oileus,,0
sophokle1v3soph_0049,407,410,Od.,Q47231,PER,Q47231,Odysseus,"```json {""wikipedia_page"": ""Odysseus"", ""wikidata_id"": ""Q47231""} ```",10.479023933410645
sophokle1v3soph_0049,436,439,11.,Q8275,WORK,Q12471890,Sprüche 11,"Based on the provided input text, I have analyzed the entities mentioned between the [ENT] tags. After comparing the entities with the given list of candidates, I have selected the most appropriate Wikidata entity for each [ENT] tag. Here is the JSON-formatted answer: ```json { ""wikipedia_page"": ""Sprüche 11"", ""wikidata_id"": ""Q12471890"" } ```",5.217751979827881
sophokle1v3soph_0049,622,626,Ant.,Q241077,WORK,Q8934183,Griechische Anthologie,"```json { ""wikipedia_page"": ""Griechische Anthologie"", ""wikidata_id"": ""Q8934183"" } ```",9.385176658630371
sophokle1v3soph_0049,775,780,Soph.,Q11950683,PER,Q7235,Sophokles,"{ ""wikipedia_page"": ""Sophokles"", ""wikidata_id"": ""Q7235"" }",16.859970092773438
sophokle1v3soph_0049,876,881,O. R.,Q148643,WORK,NIL,O. R.,"Based on the provided text and the list of candidates, the entity between the [ENT] tags ""O. R."" cannot be confidently matched to any of the provided candidates. Therefore, the result is: ```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
sophokle1v3soph_0049,1068,1072,Ant.,Q241077,WORK,Q272006,Antaios,"Based on the provided input text and the list of candidates, the disambiguated entity is: ```json { ""wikipedia_page"": ""Antaios"", ""wikidata_id"": ""Q272006"" } ```",9.50944709777832
sophokle1v3soph_0049,1177,1185,Odysseus,Q47231,PER,Q47231,Odysseus,,0
sophokle1v3soph_0049,1215,1219,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
sophokle1v3soph_0049,1344,1350,Athene,Q37122,PER,Q37122,Athene,,0
sophokle1v3soph_0049,1469,1472,Od.,Q47231,PER,Q47231,Odysseus,"{ ""wikipedia_page"": ""Odysseus"", ""wikidata_id"": ""Q47231"" }",11.720965385437012
sophokle1v3soph_0051,5,8,El.,Q733444,WORK,Q35470,Elamisch,"Based on the input text and the provided list of candidates, the entity ""Elamisch"" was mentioned between the [ENT] tags. The most appropriate Wikidata entity related to this mention is ""Elamisch"" with the Wikipedia page title ""Elamisch"" and Wikidata ID ""Q35470"". Here is the JSON response: ```json {""wikipedia_page"":""Elamisch"", ""wikidata_id"":""Q35470""} ```",6.883358955383301
sophokle1v3soph_0051,328,331,Od.,Q47231,PER,NIL,Od.,"Based on the input text, the entities mentioned within [ENT] tags are ""Od."" and ""Od."". After examining the provided list of candidates, neither of these entities matches with high confidence to any of the candidates. Consequently, the output will be: ```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
sophokle1v3soph_0051,509,513,Aias,Q172725,PER,Q172725,Aias der Telamonier,"```json { ""wikipedia_page"": ""Aias der Telamonier"", ""wikidata_id"": ""Q172725"" } ```",16.91313934326172
sophokle1v3soph_0051,1274,1278,Ant.,Q241077,WORK,Q576066,Antike und Abendland,"```json { ""wikipedia_page"": ""Antike und Abendland"", ""wikidata_id"": ""Q576066"" } ```",6.703292369842529
Wecklein1894_0055,24,32,Odyſſeus,Q47231,PER,Q47231,Odysseus,"```json { ""wikipedia_page"": ""Odysseus"", ""wikidata_id"": ""Q47231"" } ```",20.79806137084961
Wecklein1894_0055,296,300,Ant.,Q241077,WORK,NIL,Ant.,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
Wecklein1894_0055,429,433,Hom.,Q6691,PER,Q6691,Homer,"Based on the provided text and the list of candidates, I can disambiguate the entities mentioned between the [ENT] tags. The text mentions ""Hom. [ENT] Ζ 418"" and ""Homer"". The candidate for Homer is listed as follows: - **wikipedia_page**: Homer - **wikidata_id**: Q6691 Given the context and the reference to Homer's works, the entity mentioned is highly confidently associated with the Wikidata entity for Homer. Therefore, the JSON response is: ```json {""wikipedia_page"": ""Homer"", ""wikidata_id"": ""Q6691""} ```",13.455248832702637
Wecklein1894_0055,576,580,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0055,607,615,Tekmeſſa,Q10796858,PER,Q10796858,Tekmessa,"Based on the provided text and candidates, the entity mentioned between the [ENT] tags is ""Tekmesesa"". Among the candidates, ""Tekmessa"" (Q10796858) is the most appropriate match. Here is the JSON-formatted response: ```json {""wikipedia_page"":""Tekmessa"", ""wikidata_id"":""Q10796858""} ```",18.00003433227539
Wecklein1894_0055,865,869,Hom.,Q6691,PER,Q6691,Homer,"Based on the provided text and the list of candidates, the entities ""Hom. [ENT] τ 457"" and ""Hom. [ENT]"" mentioned between the [ENT] tags are highly confidently associated with the Wikidata entity ""Homer"" (wikipedia_page: ""Homer"", wikidata_id: ""Q6691""). Here is the JSON-formatted answer: ```json {""wikipedia_page"": ""Homer"", ""wikidata_id"": ""Q6691""} ```",12.781074523925781
Wecklein1894_0055,898,902,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0055,1074,1078,Ant.,Q241077,WORK,NIL,Ant.,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
Wecklein1894_0055,1097,1101,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0063,4,12,Zaleukos,Q145090,PER,Q145090,Zaleukos,"Based on the given input text and the list of candidates, the entity mentioned between the [ENT] tags is ""Zaleukos"". The most appropriate Wikidata entity from the list of candidates that matches ""Zaleukos"" is ""Zaleukos"" with Wikidata ID ""Q145090"" and Wikipedia page title ""Zaleukos"" (Gesetzgeber in Lokroi). Here is the JSON response: ```json {""wikipedia_page"":""Zaleukos"", ""wikidata_id"":""Q145090""} ```",11.794822692871094
Wecklein1894_0063,14,19,Diod.,Q171241,PER,Q171241,Diodor,"```json { ""wikipedia_page"": ""Diodor"", ""wikidata_id"": ""Q171241"" } ```",19.314390182495117
Wecklein1894_0063,34,47,Cic. de amic.,Q675210,WORK,Q675210,Laelius de amicitia,"```json {""wikipedia_page"": ""Laelius de amicitia"", ""wikidata_id"": ""Q675210""} ```",20.523971557617188
Wecklein1894_0063,83,92,Eur. Hel.,Q1248812,WORK,Q912761,Petrus Helie,"```json { ""wikipedia_page"": ""Petrus Helie"", ""wikidata_id"": ""Q912761"" } ```",15.760435104370117
Wecklein1894_0063,321,327,Öd. T.,Q148643,WORK,Q1389329,Odo von Châteauroux,"```json {""wikipedia_page"":""Odo von Châteauroux"", ""wikidata_id"":""Q1389329""} ```",11.77015495300293
Wecklein1894_0063,594,598,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0063,725,728,El.,Q733444,WORK,Q1316633,El,"```json { ""wikipedia_page"": ""El"", ""wikidata_id"": ""Q1316633"" } ```",9.065935134887695
Wecklein1894_0063,841,845,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0063,863,871,Tekmeſſa,Q10796858,PER,Q10796858,Tekmessa,,0
Wecklein1894_0063,938,942,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
Wecklein1894_0063,1028,1031,Pan,Q132582,PER,Q132582,Pan,,0
Wecklein1894_0063,1036,1043,Apollon,Q37340,PER,Q37340,Apollon,,0
Wecklein1894_0063,1157,1161,Aias,Q172725,PER,Q172725,Aias der Telamonier,"```json {""wikipedia_page"": ""Aias der Telamonier"", ""wikidata_id"": ""Q172725""} ```",19.85402488708496
sophokle1v3soph_0067,47,52,Phil.,Q1415903,WORK,Q495527,Klassische Philologie,"{ ""wikipedia_page"": ""Klassische Philologie"", ""wikidata_id"": ""Q495527"" }",13.848575592041016
sophokle1v3soph_0067,59,63,Ant.,Q241077,WORK,Q16166243,Antonis Andrellis,"Based on the provided text, the entity ""Ant. [ENT]"" appears to refer to ""Antonis Andrellis"" as he was a prominent figure in the 19th century. Given the context and the list of candidates, the most appropriate Wikidata entity is ""Antononis Andrellis"" with the corresponding Wikipedia page title ""Antononis Andrellis"" and Wikidata ID ""Q16166243"". Here is the JSON response: ```json {""wikipedia_page"": ""Antononis Andrellis"", ""wikidata_id"": ""Q16166243""} ```",13.314371109008789
sophokle1v3soph_0067,105,113,Tekmessa,Q10796858,PER,NIL,Tekmessa,"The provided text mentions the entities ""Tekmessa"" and ""Aias."" These entities are not present in the list of candidates with high confidence. Therefore, the response will be: ```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
sophokle1v3soph_0067,122,126,Aias,Q172725,PER,Q412341,Ajax,"```json {""wikipedia_page"": ""Ajax"", ""wikidata_id"": ""Q412341""} ```",15.07004165649414
sophokle1v3soph_0067,244,249,Phil.,Q1415903,WORK,Q504771,Herennios Philon,"```json { ""wikipedia_page"": ""Herennios Philon"", ""wikidata_id"": ""Q504771"" } ```",17.988235473632812
sophokle1v3soph_0067,461,465,Ant.,Q241077,WORK,NIL,Ant.,"Based on the input text and the provided list of candidates, the entity mentioned between [ENT] tags is likely ""Antaios,"" a Riese from Greek mythology. However, there is no exact match in the given list of candidates. Given the ambiguity and the lack of high confidence, it is appropriate to classify the entity with a NIL value. ```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
sophokle1v3soph_0067,470,480,Aesch. Ag.,Q3320792,WORK,Q317089,Aischines,"```json {""wikipedia_page"":""Aischines"", ""wikidata_id"":""Q317089""} ```",16.621177673339844
sophokle1v3soph_0067,512,514,1.,Q8275,WORK,NIL,1.,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
sophokle1v3soph_0067,533,537,Aias,Q172725,PER,Q172725,Aias der Telamonier,"```json { ""wikipedia_page"": ""Aias der Telamonier"", ""wikidata_id"": ""Q172725"" } ```",20.426345825195312
sophokle1v3soph_0067,648,654,Ibykos,Q332802,PER,Q332802,Ibykos,"```json { ""wikipedia_page"": ""Ibykos"", ""wikidata_id"": ""Q332802"" } ```",17.964500427246094
sophokle1v3soph_0067,851,855,Aias,Q172725,PER,Q172725,Aias der Telamonier,"```json {""wikipedia_page"": ""Aias der Telamonier"", ""wikidata_id"": ""Q172725""} ```",21.04092788696289
sophokle1v3soph_0067,974,978,Aias,Q172725,PER,Q172725,Aias der Telamonier,,0
sophokle1v3soph_0067,1088,1094,Trach.,Q945342,WORK,Q945342,Trachiniai,"```json {""wikipedia_page"":""Trachiniai"", ""wikidata_id"":""Q945342""} ```",14.303851127624512
sophokle1v3soph_0067,1100,1103,El.,Q733444,WORK,NIL,El.,"{""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""}",0
sophokle1v3soph_0067,1166,1174,Tekmessa,Q10796858,PER,Q10796858,Tekmessa,,0
sophokle1v3soph_0067,1254,1258,Aias,Q172725,PER,Q412341,Ajax,"```json {""wikipedia_page"":""Ajax"", ""wikidata_id"":""Q412341""} ```",17.916133880615234
sophokle1v3soph_0067,1350,1358,Tekmessa,Q10796858,PER,Q10796858,Tekmessa,,0
sophokle1v3soph_0067,1560,1575,Soph. Laocoont.,NIL,WORK,Q7235,Sophokles,"```json { ""wikipedia_page"": ""Sophokles"", ""wikidata_id"": ""Q7235"" } ```",12.2384033203125
sophokle1v3soph_0075,342,347,Homer,Q6691,PER,Q6691,Homer,,0
sophokle1v3soph_0075,466,472,Trach.,Q945342,WORK,Q61702504,Rudolf Trache,"```json {""wikipedia_page"":""Rudolf Trache"", ""wikidata_id"":""Q61702504""} ```",13.984920501708984
sophokle1v3soph_0075,499,504,O. R.,Q148643,WORK,NIL,O. R.,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
sophokle1v3soph_0075,742,747,0. (.,Q294001,WORK,NIL,0. (.,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
