doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
document_000004.html,71,77,Busont,Q219551,PER,Q113957536,Luigino Busatto,"{ ""wikipedia_page"": ""Buson"", ""wikidata_id"": ""Q113957536"" }",8.963199615478516
document_000004.html,124,164,cia funebre dell’imperatore Massimiliano,NIL,MISC,Q150726,Maximilian I,"{ ""wikipedia_page"": ""Massimiliano I"", ""wikidata_id"": ""Q150726"" }",9.69255542755127
document_000005.html,72,92,gran maestro di Bonn,Q255,PER,Q879897,Franz von Blon,"{ ""wikipedia_page"": ""Franz von Blon"", ""wikidata_id"": ""Q879897"" }",9.313404083251953
document_000006.html,112,117,Baden,Q486450,LOC,Q4100,Baden-Baden,"{ ""wikipedia_page"": ""Baden-Baden"", ""wikidata_id"": ""Q4100"" }",18.617815017700195
document_000006.html,132,147,alla pera d’oro,NIL,LOC,Q820872,Ca' d'Oro,"{ ""wikipedia_page"": ""Ca' d'Oro"", ""wikidata_id"": ""Q820872"" }",11.018677711486816
document_000006.html,208,217,Guarnieri,Q1165357,PER,Q949032,Luigi Guarnieri,"{ ""wikipedia_page"": ""Luigi Guarnieri"", ""wikidata_id"": ""Q949032"" }",20.131664276123047
document_000006.html,249,258,Guarnieri,Q1165357,PER,Q453267,Giuseppe Guarneri,"{ ""wikipedia_page"": ""Giuseppe Guarneri"", ""wikidata_id"": ""Q453267"" }",18.574989318847656
document_000006.html,224,230,Wendel,Q1303289,PER,NIL,Wendel,"{ ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" }",0
document_000007.html,36,51,Quinta sinfonia,Q188709,MISC,Q240314,Symphony No. 5,"{ ""wikipedia_page"": ""Symphony No. 5"", ""wikidata_id"": ""Q240314"" }",18.079843521118164
document_000008.html,356,363,Cellini,Q277846,MISC,Q190116,Benvenuto Cellini,"{ ""wikipedia_page"": ""Benvenuto Cellini"", ""wikidata_id"": ""Q190116"" }",19.094053268432617
document_000008.html,438,442,Roma,Q220,LOC,Q18287233,Roma,"{ ""wikipedia_page"": ""Roma"", ""wikidata_id"": ""Q18287233"" }",11.444849014282227
document_000009.html,109,122,delVPAugusteo,Q3616668,LOC,Q3516747,Teatro Augusteo,"{ ""wikipedia_page"": ""Teatro Augusteo"", ""wikidata_id"": ""Q3516747"" }",11.758094787597656
document_000010.html,84,96,all’Augusteo,Q3616668,LOC,NIL,all’Augusteo,"{ ""wikipedia_page"": ""Teatro dell'Augusteo"", ""wikidata_id"": ""Q379313"" }",0
document_000011.html,0,6,Coates,Q1230717,PER,Q2595770,Albert Coates,"{ ""wikipedia_page"": ""Albert Coates"", ""wikidata_id"": ""Q2595770"" }",21.854633331298828
document_000011.html,358,364,Coates,Q1230717,PER,Q2595770,Albert Coates,"{ ""wikipedia_page"": ""Albert Coates"", ""wikidata_id"": ""Q2595770"" }",18.717124938964844
document_000013.html,37,45,Juventus,Q109001794,MISC,Q1422,Juventus FC,"{ ""wikipedia_page"": ""Juventus FC"", ""wikidata_id"": ""Q1422"" }",16.155208587646484
document_000013.html,52,60,DiSabata,Q464890,PER,NIL,DiSabata,"{ ""wikipedia_page"": ""Giovanni Maria Giuseppe Di Sabato"", ""wikidata_id"": ""NIL"" }",0
document_000013.html,256,265,Becthoven,Q255,PER,Q48666,Beethoven,"{ ""wikipedia_page"": ""Beethoven"", ""wikidata_id"": ""Q48666"" }",15.577683448791504
document_000013.html,513,519,Italia,Q38,LOC,Q172579,Kingdom of Italy,"{ ""wikipedia_page"": ""Kingdom of Italy"", ""wikidata_id"": ""Q172579"" }",18.564210891723633
document_000013.html,662,674,all’Augusteo,Q3616668,LOC,Q3516747,Teatro Augusteo,"{ ""wikipedia_page"": ""Teatro Augusteo"", ""wikidata_id"": ""Q3516747"" }",10.423249244689941
document_000014.html,71,77,Sorima,NIL,PER,Q3723102,Eliodoro Sollima,"{ ""wikipedia_page"": ""Eliodoro Sollima"", ""wikidata_id"": ""Q3723102"" }",22.56339454650879
