doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
NZZ-1798-01-20-a-p0002,318,330,Frank reichs,Q142,LOC,NIL,Frank reichs,"Here is the analysis and disambiguation of the entity mentioned between the [ENT] tags in the provided text: **Input Text:** ``` Neuigkeiten. (Mißhandlung der Franken in Rom.] Buonaparte's Bruder hat die neulich schon erzählten Vorfälle in Rom ans Directorium berichtet, und die verdächtige Weise, mit der die römische Regierung sich dabey betrug in ein sehr klares Licht gesezt. Er hatte schon den 25. Dec. einige der Aufrührer, die im Vertrauen [ENT] Frank reichs [ENT] Schutz und Beystand erflehten sehr dringend „und derb abgewiesen, und vom ganzen Vorhaben dem Kardinal Staatssekretär Nachricht gegeben, damit er Sicherheitsanstalten träfe. Derselbe ver¬ sprach, Abends um 6 Uhr den franz. Gesandten in seiner Wohnung zu besuchen, und mit ihm noch nähere Maßregeln zu verabreden. Aller dieser Vor¬ sicht ungeachtet ward der Ausbruch des Auflaufs von pästlichen Emissarien selbst, die am lautesten Vivat riefen, veranstaltet und geleitet. Man ver¬ letzten die Freyheit ``` ",0
NZZ-1798-01-20-a-p0002,1815,1826,Gen. Duphot,Q977001,PER,NIL,Gen. Duphot,"```json {""wikipedia_page"":"""", ""wikidata_id"":""NIL""} ```",0
NZZ-1808-04-29-a-p0002,468,490,danischen Blatte Dagen,Q1768412,PROD,Q35,Dänemark,"```json {""wikipedia_page"":""Dänemark"", ""wikidata_id"":""Q35""} ```",12.746357917785645
NZZ-1808-04-29-a-p0002,580,587,Rußland,Q159,LOC,Q34266,Russisches Kaiserreich,"```json { ""wikipedia_page"": ""Russisches Kaiserreich"", ""wikidata_id"": ""Q34266"" } ```",19.812044143676758
NZZ-1808-04-29-a-p0002,774,781,Rußland,Q159,LOC,Q34266,Russisches Kaiserreich,"```json { ""wikipedia_page"": ""Russisches Kaiserreich"", ""wikidata_id"": ""Q34266"" } ```",19.418861389160156
NZZ-1808-04-29-a-p0002,790,808,General Hutchinson,Q321765,PER,Q1892842,Thomas Hutchinson,"{ ""wikipedia_page"": ""Thomas Hutchinson"", ""wikidata_id"": ""Q1892842"" }",16.24713706970215
NZZ-1808-04-29-a-p0002,883,901,General Hutchinson,Q321765,PER,Q5593220,Graham Seton Hutchison,"```json { ""wikipedia_page"": ""Graham Seton Hutchison"", ""wikidata_id"": ""Q5593220"" } ```",17.001651763916016
NZZ-1808-04-29-a-p0002,1282,1289,England,Q21,LOC,Q145,Vereinigtes Königreich,"```json {""wikipedia_page"":""Vereinigtes Königreich"", ""wikidata_id"":""Q145""} ```",15.889225959777832
NZZ-1808-04-29-a-p0002,1440,1451,Bartenstein,Q809585,LOC,Q809253,Bartenstein (Berg),"To disambiguate the entity mentioned between the [ENT] tags in the provided text, I will select the most appropriate Wikidata entity from the list of candidates. Here is the JSON object with the corresponding Wikipedia page title and Wikidata ID of the selected entity: ```json { ""wikipedia_page"": ""Bartenstein (Berg)"", ""wikidata_id"": ""Q809253"" } ``` Please note that if none of the candidates match with high confidence, the entity tagged with [ENT] will be classified as ""NIL"".",9.89365291595459
NZZ-1808-04-29-a-p0002,1942,1952,Lord Gower,Q334145,PER,Q336200,"John Leveson-Gower, 1. Earl Gower","Based on the provided text and candidates, the most appropriate Wikidata entity for the [ENT] Lord Gower mentioned within the [ENT] tags is: ```json { ""wikipedia_page"": ""John Leveson-Gower, 1. Earl Gower"", ""wikidata_id"": ""Q336200"" } ```",18.531835556030273
